Head_x,Head_y
405.921,191.842
405.921,191.842
405.921,191.842
404.535,188.229
403.587,185.361
402.523,181.491
401.803,179.767
400.412,176.764
399.129,173.26
397.901,171.208
396.372,168.9
396.179,166.734
396.179,166.658
396.179,166.658
396.564,166.658
396.755,167.271
397.414,169.152
398.324,170.84
399.15,172.146
399.557,173.803
400.107,175.551
401.916,177.307
403.314,179.327
404.705,180.942
405.884,181.331
407.541,182.229
408.73,183.338
409.715,184.355
410.344,184.453
411.193,185.4
412.41,187.038
413.068,188.089
413.346,188.416
413.675,188.741
413.675,189.595
413.675,189.595
413.348,189.595
412.615,189.357
412.145,188.979
411.641,188.421
410.707,187.38
408.324,185.283
406.902,183.365
404.995,181.293
403.763,178.913
402.043,175.529
400.648,172.875
399.396,170.015
397.857,167.189
397.758,165.028
397.758,164.621
397.758,164.604
398.168,164.604
398.514,164.604
399.295,165.328
399.605,165.898
400.73,168.691
402.34,171.51
402.987,174.162
405.246,176.701
407.117,179.813
408.727,181.674
410.3,184.484
411.839,187.088
413.133,188.867
414.451,190.123
417.023,193.434
418.487,195.212
420.27,197.411
422.855,199.131
425.352,201.521
427.395,203.199
428.786,204.897
429.053,205.246
429.053,205.414
429.053,205.414
428.704,205.414
428.174,204.894
427.124,202.964
425.686,200.98
424.371,199.295
423.715,198.391
422.715,198.004
422.459,197.07
422.219,196.419
421.788,194.885
420.245,193.262
418.892,191.35
418.564,187.218
416.773,182.494
416.498,179.077
414.783,174.328
414.209,172.413
412.279,167.635
411.272,165.02
410.038,160.086
408.377,156.662
407.07,152.516
405.151,149.977
403.792,148.179
402.637,144.949
400.543,142.27
399.225,141.063
398.715,140.498
398.715,140.498
398.715,140.498
399.02,140.924
399.551,141.768
401.281,144.258
401.838,145.682
402.551,147.201
403.249,149.09
403.503,150.197
404.823,152.164
405.492,154.228
406.518,155.893
406.582,156.913
407.988,158.77
409.439,160.396
410.52,162.98
410.948,164.5
411.439,164.914
411.894,165.144
412.237,165.144
412.493,165.144
412.521,164.585
412.631,163.997
412.758,161.951
412.758,160.441
412.822,158.775
412.832,157.387
412.832,156.375
412.705,154.937
412.478,152.844
412.478,152.455
412.478,152.455
413.289,152.455
413.289,156.654
413.289,158.549
413.233,159.43
413.122,159.43
413.031,159.889
412.681,159.979
412.681,161.211
412.681,162.079
413.335,163.752
413.65,164.817
413.831,165.788
413.932,167.088
414.07,169.988
414.07,172.744
414.018,174.541
414.018,177.262
413.973,179.852
413.541,180.739
413.411,180.739
413.362,180.739
412.688,178.905
412.332,176.73
412.094,174.197
412.094,172.774
412.332,166.961
412.977,163.353
413.538,159.504
414.902,154.495
415.102,149.239
417.121,146.082
417.504,141.751
418.694,135.428
420.474,131.868
420.474,131.868
420.474,131.868
419.326,133.335
418.638,134.486
418.148,135.832
416.975,139.684
416.975,142.498
416.975,144.865
417.158,148.46
419.128,152.389
419.547,158.248
422.627,165.669
422.814,169.264
424.633,177.25
425.102,183.23
425.396,184.924
427.978,187.446
429.358,187.446
430.596,187.446
431.945,181.536
434.418,178.522
437.035,173.457
438.207,170.153
439.287,166.346
440.02,164.636
441.244,163.065
441.859,162.373
443.149,162.373
443.923,162.373
444.803,163.156
445.847,164.898
445.847,166.551
445.847,170.1
445.809,172.735
445.015,175.072
444.703,178.138
444.017,179.759
443.71,179.759
443.71,179.759
443.694,179.715
443.607,178.889
443.607,177.717
443.601,176.773
443.53,175.566
443.505,174.639
443.505,173.96
443.505,173.066
444.279,170.799
444.423,167.527
444.87,166.551
445.137,166.328
445.679,166.08
445.719,166.08
445.719,166.08
445.719,166.299
445.524,166.438
445.524,166.867
445.524,168.416
446.084,170.571
446.307,172.375
446.41,173.525
446.887,175.533
447.697,178.765
448.43,181.792
449.814,185.275
450.119,189.96
451.964,193.324
452.551,197.47
452.551,199.625
452.551,202.095
452.509,202.095
452.118,202.095
451.084,200.486
450.166,199.18
449.424,198.246
448.887,196.845
448.762,194.646
448.535,193.105
448.762,191.658
448.762,190.863
448.943,190.324
449.355,189.619
450.015,188.607
451.147,187.43
452.155,187.43
452.155,187.43
452.155,187.813
451.933,188.889
451.484,189.5
451.484,189.998
451.484,190.758
452.037,192.314
453.495,194.674
453.98,197.649
455.176,200.355
455.453,204.049
456.828,207.631
457.547,211.807
458.027,215.164
458.027,219.322
458.027,222.529
456.959,225.129
456.473,227.628
456.004,229.161
455.385,229.161
454.736,229.161
454.654,227.915
454.27,225.787
454.008,223.199
454.008,220.495
454.008,217.08
454.393,214.238
456.129,210.585
457.613,206.801
460.379,202.458
463.363,198.006
467.913,193.938
470.566,190.129
474.986,185.629
477.068,181.834
480.098,178.818
483.537,175.887
485.089,173.097
487.201,170.272
488.719,167.861
488.719,166.07
488.719,165.422
488.633,165.422
488.199,165.422
486.271,165.477
484.524,165.685
483.603,166.719
481.932,167.352
480.264,168.91
480.094,171.455
479.24,173.875
478.891,175.736
478.398,180.1
477.373,182.514
477.208,186.915
476.696,189.575
475.606,192.184
473.701,196.686
473.34,199.814
471.375,204.28
470.184,208.641
468.836,211.48
466.683,215.271
464.988,218.369
463.328,222.359
461.169,226.33
460.71,228.129
459.128,230.146
458.168,231.441
457.037,233.928
456.066,235.157
455.061,236.817
453.59,238.016
452.918,239.111
452.661,239.111
452.661,239.111
452.661,238.959
452.81,238.684
453.22,237.081
453.73,236.24
454.135,234.383
454.617,232.92
455.961,231.08
456.758,229.338
458.01,226.671
460.239,222.568
462.189,221.262
464.646,217.58
468.22,214.721
471.277,212.117
474.565,208.461
477.909,205.559
480.232,201.48
483.097,198.127
486.213,193.988
487.91,191.209
490.606,188.665
492.699,185.924
493.592,181.968
494.99,180.284
496.703,177.986
497.365,175.723
498.071,173.99
499.699,171.888
500.559,169.586
501.782,168.406
501.782,166.668
501.799,166.324
501.799,166.324
501.776,166.324
501.205,167.375
500.648,168.02
499.239,168.691
497.803,169.205
496.695,169.758
496.297,170.734
495.025,172.186
493.246,172.477
491.824,172.526
490.988,173.194
490.363,173.909
489.771,174.844
489.455,175.1
489.449,175.609
489.102,176.027
488.801,176.445
488.801,176.445
488.875,176.445
488.984,176.414
488.984,176.406
489.303,176.297
489.408,176.297
489.408,176.297
489.408,176.297
489.402,176.297
489.207,176.523
488.834,176.523
487.967,176.656
487.762,177.281
486.492,177.812
485.368,177.814
484.101,177.834
483.378,178.435
482.474,178.83
481.199,180.666
479.523,181.042
476.687,181.042
475.86,180.825
474.378,180.815
473.729,180.815
473.729,180.754
473.729,180.68
474.204,180.278
474.791,178.81
475.409,177.711
475.987,177.148
476.765,174.842
479.18,174.514
481.205,173.739
482.933,171.656
483.643,169.82
485.756,168.184
489.141,165.425
491.869,161.809
493.527,161.666
495.963,158.596
499.017,156.387
499.963,154.468
500.099,153.76
500.225,153.445
500.452,153.445
500.571,153.445
500.571,153.494
500.452,155.126
500.085,155.715
499.069,156.172
497.664,156.172
497.297,156.85
496.59,156.941
496.215,156.85
495.135,156.28
494.232,156.28
494.09,156.108
493.019,154.978
491.453,151.514
489.277,149.458
487.881,148.69
487.111,147.934
486.262,147.698
485.361,147.119
484.609,147.119
484.609,147.119
484.609,148.649
484.666,149.987
485.046,151.541
486.184,155.937
486.871,158.268
489.465,164.188
