Head_x,Head_y
417.805,104.807
417.914,104.812
417.932,104.838
417.955,104.83
417.955,104.83
417.955,104.838
417.949,104.84
417.916,104.846
417.916,104.846
417.916,104.846
417.916,104.832
417.916,104.832
417.916,104.832
417.857,104.84
417.84,104.844
417.83,104.848
417.797,104.85
417.775,104.863
417.775,104.887
417.77,104.896
417.77,104.896
417.77,104.896
417.875,104.875
417.945,104.846
417.945,104.846
417.945,104.846
417.912,104.844
417.848,104.844
417.826,104.836
417.826,104.822
417.826,104.816
417.838,104.791
417.838,104.789
417.838,104.789
417.832,104.789
417.812,104.873
417.811,104.926
417.811,104.926
417.812,104.928
417.812,104.93
417.812,104.936
417.816,104.936
417.816,104.936
417.816,104.934
417.812,104.924
417.818,104.924
417.818,104.928
417.812,104.934
417.812,104.934
417.764,104.967
417.764,104.988
417.764,104.988
417.801,104.988
417.801,104.984
417.801,104.963
417.795,104.955
417.715,104.955
417.715,104.951
417.715,104.951
417.85,104.951
417.85,104.951
417.85,104.951
417.703,104.959
417.703,104.959
417.703,104.959
417.832,104.955
417.832,104.955
417.832,104.955
417.738,104.98
417.721,104.98
417.721,104.98
417.721,104.979
417.723,104.967
417.723,104.967
417.723,104.967
417.715,104.967
417.715,104.967
417.715,104.955
417.768,104.938
417.771,104.936
417.771,104.928
417.771,104.928
417.721,104.928
417.641,104.938
417.541,104.953
417.541,104.953
417.541,104.961
417.611,104.961
417.637,104.955
417.654,104.953
417.654,104.953
417.656,104.951
417.689,104.949
417.699,104.924
417.74,104.883
417.74,104.883
417.74,104.883
417.738,104.887
417.738,104.908
417.738,104.908
417.748,104.916
417.748,104.91
417.76,104.91
417.76,104.91
417.76,104.91
417.768,104.887
417.789,104.859
417.789,104.826
417.789,104.795
417.719,104.637
417.531,104.541
417.262,104.271
417.045,104.078
417.045,103.941
417.045,103.93
417.145,103.941
417.15,103.941
417.285,103.924
417.449,103.92
417.453,103.91
417.516,103.902
417.516,103.895
417.514,103.895
417.514,103.895
417.424,103.887
417.42,103.887
417.42,103.879
417.42,103.879
417.422,103.887
417.422,103.926
417.422,103.902
417.379,104.074
417.244,104.074
417.16,104.023
416.988,103.918
416.85,103.918
416.111,102.98
415.031,102.258
414.6,101.195
411.733,99.917
410.949,97.418
410.736,96.148
410.186,96.148
410.186,96.148
410.186,98.247
410.481,100.967
411.241,102.367
411.72,103.574
412.151,104.062
412.151,104.062
412.151,104.062
409.699,101.506
407.031,92.697
405.152,80.764
402.002,65.443
401.996,49.264
401.186,31.949
400.172,17.939
395.362,13.208
391.895,10.978
391.197,9.557
391.01,5.832
389.027,5.832
389.027,5.832
391.197,474.258
387.542,478.086
169.896,1022.617
347.331,478.086
347.331,478.086
347.331,22.021
352.062,19.578
352.062,15.771
352.062,19.578
352.668,22.021
351.145,15.771
347.565,15.605
347.565,24.146
350.695,24.146
350.695,24.146
358.836,39.613
364.835,54.727
365.855,71.137
368.129,96.168
373.866,130.223
382.045,174.57
391.02,222.932
401.725,267.071
416.064,311.729
416.064,359.881
416.064,417.916
170.529,1022.59
170.529,1022.621
170.529,1022.621
170.532,1022.637
170.532,1022.637
170.532,1022.637
170.467,1022.621
170.467,1022.627
170.451,1022.621
170.451,1022.619
170.45,1022.619
170.444,1022.619
170.444,1022.619
170.45,1022.617
170.481,1022.617
170.483,1022.607
170.516,1022.598
170.53,1022.598
170.532,1022.594
170.538,1022.59
170.553,1022.529
170.864,1022.518
170.912,1022.514
170.912,1022.514
