Head_x,Head_y
363.432,916.308
363.455,916.308
363.519,916.308
363.534,916.307
363.577,916.307
363.704,916.025
363.736,915.797
363.81,915.707
364.006,915.707
364.274,915.707
364.385,915.721
364.432,915.826
364.435,915.841
364.451,915.854
364.451,915.854
364.451,915.877
364.348,915.906
364.311,916.015
364.161,916.254
364.161,916.548
364.161,916.689
364.235,916.689
364.33,916.689
364.555,916.689
367.031,916.766
367.031,916.765
364.767,916.878
364.767,916.878
367.285,916.818
367.656,916.818
368.289,916.878
369.172,916.918
370.052,916.987
370.739,917.026
371.87,917.207
372.586,917.389
372.604,917.435
373.707,917.864
374.547,918.201
374.688,918.223
374.816,918.297
374.816,918.297
374.816,918.314
374.859,918.314
374.816,918.314
374.809,918.107
374.293,917.664
373.777,916.717
372.871,916.32
372.546,916.319
371.39,916.049
370.95,915.861
370.848,915.672
370.775,915.66
370.662,915.6
370.566,915.424
370.558,915.424
370.558,915.424
370.566,915.577
370.614,915.65
370.614,915.765
370.63,915.774
370.614,915.868
370.614,915.933
370.662,916.193
370.691,916.203
370.741,916.203
370.761,916.257
370.773,916.227
371.014,916.227
371.198,916.295
371.208,916.369
371.267,916.369
371.594,916.369
371.743,916.327
371.973,916.265
372.006,916.265
372.21,916.265
372.239,916.278
372.261,916.292
372.261,916.292
372.24,916.292
372.24,916.26
372.217,916.215
372.07,916.208
371.929,916.2
371.918,916.02
371.805,916.02
371.263,916.02
371.208,915.999
370.686,915.984
370.678,915.968
370.507,915.78
370.084,915.78
368.967,915.703
368.189,915.78
367.75,915.797
363.956,915.797
362.718,915.748
361.156,915.748
358.938,915.535
357.938,915.436
356.528,915.436
353.514,915.535
346.1,915.871
345.248,915.871
343.84,915.871
343.84,915.706
343.84,915.706
342.453,915.706
341.742,915.763
341.742,915.763
341.742,915.763
342.141,915.685
343.414,915.685
344.768,915.574
344.768,915.685
346.244,915.74
346.925,916.135
347.395,916.172
347.537,916.281
347.609,916.281
347.696,916.426
347.735,916.496
347.864,916.561
347.864,916.561
347.921,916.561
351.934,915.742
351.969,915.725
351.969,915.725
351.969,915.742
351.969,915.787
352.004,915.808
352.004,915.834
352.004,915.876
352.004,915.919
352.004,916.018
351.977,916.236
351.977,916.306
351.977,916.312
351.977,916.321
351.883,916.312
351.883,916.306
351.883,916.288
352.061,916.271
352.512,916.271
352.787,916.208
355.948,916.271
355.948,916.271
355.948,916.208
353.852,916.189
353.109,915.954
352.938,915.93
352.67,915.636
352.047,915.636
351.777,915.636
351.777,915.684
351.777,915.684
352.111,915.727
352.133,915.727
352.338,915.727
352.338,915.806
352.232,915.836
352.232,916.054
351.961,916.618
239.17,957.774
239.17,957.774
239.17,957.774
241.586,951.672
243.264,946.228
249.209,942.787
251.242,937.404
255.59,933.254
260.232,926.842
264.176,920.908
264.375,910.287
269.103,899.379
276.94,897.277
282.771,892.146
285.641,888.176
285.641,888.176
285.641,888.176
285.213,890.828
284.565,895.531
281.848,901.362
278.572,907.499
276.699,916.995
270.34,924.857
257.777,924.857
242.73,924.857
229.134,913.436
229.134,897.111
228.867,889.107
228.867,888.51
228.867,885.77
212.198,880.824
212.198,875.761
210.865,868.231
209.215,867.358
209.215,863.742
209.215,858.158
209.215,853.287
209.215,849.523
210.791,846.449
215.457,842.267
216.955,839.961
218.099,838.965
219.467,837.087
222.381,834.444
223.223,834.293
223.732,833.668
223.732,829.635
223.846,829.446
224.074,826.213
224.074,824.711
224.074,823.928
224.074,823.453
224.033,817.898
224.033,807.652
224.033,807.652
224.75,807.652
226.238,812.415
226.238,812.503
226.238,812.503
224.766,812.503
224.766,812.503
224.766,812.503
225.023,812.778
225.191,813.486
225.191,814.078
225.184,816.424
225.023,818.264
224.359,821.285
223.693,824.514
223.605,826.107
222.904,838.949
222.613,844.64
221.998,849.471
221.998,854.012
221.998,854.012
251.809,860.385
281.297,882.992
285.551,896.285
285.551,896.602
285.551,896.602
285.551,896.602
284.921,896.039
260.865,886.281
243.04,870.395
243.04,866.245
243.04,864.512
248.168,861.62
251.863,861.017
257.994,859.736
260.737,859.419
262.477,859.419
262.477,859.419
262.477,859.97
262.025,861.647
261.55,864.494
260.007,867.418
258.238,869.996
257.174,872.512
256.932,874.034
256.338,874.782
256.338,874.782
256.338,874.782
257.434,873.986
260.649,870.566
262.598,867.833
268.175,864.898
272.232,862.818
279.516,860.042
286.893,855.555
293.395,850.314
301.4,848.396
307.094,845.881
311.594,843.552
316.142,841.947
318.168,840.803
318.168,840.803
318.168,840.803
315.104,842.691
311.396,843.584
307.954,845.296
304.652,846.969
302.973,847.082
301.654,847.516
298.294,848.359
294.412,848.631
291.252,849.686
289.266,850.913
287.762,852.088
285.355,853.47
284.475,854.078
284.475,854.305
284.475,854.305
284.595,854.305
286.1,851.948
287.365,850.911
288.449,850.609
291.222,849.027
293.929,847.293
299.029,845.314
304.354,843.552
308.622,841.287
313.34,839.738
318.424,837.805
323.525,835.447
329.834,833.594
332.741,832.623
335.363,832.182
336.25,832.182
336.25,832.182
336.25,832.762
333.096,835.473
330.539,835.512
327.934,837.944
324.497,840.154
321.865,840.986
319.484,842.656
317.446,843.741
314.962,844.591
313.795,844.591
312.662,844.591
311.934,844.517
311.531,844.36
311.031,844.203
310.754,844.203
310.24,844.36
309.634,844.15
308.163,844.059
304.744,841.691
301.537,841.129
300.91,839.328
300.91,838.09
300.91,837.27
301.433,835.886
301.939,835.773
305.711,835.04
305.711,835.04
307.237,835.04
309.582,841.027
331.185,885.93
336.055,889.654
341.201,895.109
353.17,904.029
367.482,904.029
375.043,904.029
572.421,848.305
573.436,831.045
573.44,831.027
573.44,831.027
573.44,831.045
385.23,912.643
380.455,912.643
365.328,912.643
337.357,897.658
333.998,895.588
308.332,853.062
307.813,851.64
307.785,851.598
307.765,851.596
307.739,851.598
307.691,851.598
307.579,851.662
307.579,851.665
307.579,851.67
307.587,851.766
307.59,851.766
307.593,851.766
307.713,851.677
308.018,851.604
308.018,851.508
308.018,851.468
307.97,851.468
307.97,851.468
307.93,851.559
307.97,851.563
308.093,853.918
334.168,896.025
336.359,898.326
357.055,912.398
361.186,922.632
361.193,926.631
361.623,949.408
361.623,949.408
361.623,949.408
361.623,923.83
361.623,913.025
354.175,906.814
346.002,906.814
333.524,899.164
333.313,899.083
307.763,869.777
306.618,864.52
306.322,864.277
306.373,864.107
306.373,864.051
306.373,864.029
306.409,864.029
306.409,863.992
306.409,863.93
306.307,863.879
306.23,863.547
306.23,863.42
306.23,863.314
306.23,863.252
306.23,863.252
306.218,863.15
306.173,863.131
306.162,863.131
306.093,863.131
305.646,863.355
305.289,863.623
304.328,864.377
301.788,867.468
300.69,868.163
297.58,871.367
293.473,873.478
288.455,875.609
283.579,876.17
278.17,876.904
272.557,878.217
268.427,878.705
262.451,879.053
257.695,880.35
254.262,883.316
250.592,885.202
248.373,887.379
242.781,888.816
237.025,890.478
234.871,891.366
230.355,892.6
227.718,893.395
226.584,893.938
226.584,894.434
226.584,894.545
226.657,894.602
227.918,894.67
229.458,894.963
230.924,895.213
232.26,898.522
232.26,903.559
232.26,906.089
230.559,908.61
225.441,912.314
223.719,914.825
222.943,917.335
222.943,919.383
223.719,919.66
224.732,919.66
225.783,919.383
226.399,918.957
226.537,918.553
226.672,918.311
226.74,917.564
227.163,917.564
227.335,917.564
227.335,917.573
227.335,918.012
226.62,918.66
224.914,920.068
224.914,922.69
224.914,924.713
225.211,928.064
225.391,931.549
225.719,934.873
225.873,937.23
225.873,937.23
225.873,937.23
225.256,934.572
224.508,931.632
223.992,927.199
223.742,923.549
222.094,920.529
222.094,920.529
222.094,920.529
222.602,921.58
225.809,924.569
227.476,926.814
230.072,930.118
232.332,934.785
234.26,941.99
235.659,947.391
238.625,951.645
240.969,958.002
242.38,965.033
243.909,965.033
244.51,965.033
321.732,935.143
324.42,935.143
325.697,935.143
326.084,937.908
325.697,937.908
325.697,937.908
325.697,869.749
238.977,869.749
235.604,869.749
235.604,969.074
235.604,969.074
231.906,969.074
230.164,964.175
227.673,958.568
225.064,955.77
220.235,947.492
216.988,937.115
211.256,931.272
207.676,925.583
205.764,921.939
201.441,914.684
193.047,914.684
190.799,914.684
190.555,917.925
187.955,917.925
181.455,917.925
176.068,916.158
22.406,852.904
21.814,850.691
21.396,847.131
21.396,845.99
21.396,845.99
21.396,845.99
179.931,905.816
188.218,905.949
450.942,925.52
450.999,925.683
450.999,925.683
450.999,925.714
450.999,925.683
450.999,925.569
505.381,877.108
505.381,871.383
505.381,871.352
183.762,786.152
175.711,786.152
175.711,597.715
183.762,597.715
199.557,603.252
208.09,609.301
208.09,609.301
214.896,610.246
224.379,610.629
252.94,625.355
261.842,656.52
269.16,656.52
269.16,703.408
269.16,759.451
273.141,930.387
263.707,930.387
263.707,930.387
263.82,369.711
263.898,369.711
263.898,369.711
453.012,926.088
453.012,926.088
453.012,926.088
453.445,369.672
453.539,369.648
453.422,369.648
453.422,369.672
453.422,926.232
453.254,926.232
453.203,926.232
453.039,926.209
452.883,926.146
452.742,926.029
452.543,925.953
452.484,925.893
452.398,925.892
451.898,925.806
451.898,925.787
451.898,925.722
452.43,921.082
452.457,921.074
452.527,921.074
452.527,921.074
452.586,921.074
452.82,921.074
453.184,921.074
453.184,714.931
453.395,488.83
453.395,488.83
383.227,483.752
383.227,483.752
400.84,479.115
400.84,483.752
418.556,483.752
458.542,496.801
517.316,497.844
517.316,502.314
517.316,528.559
451.015,923.378
451.015,923.378
451.015,949.672
451.015,949.672
451.015,949.672
513.5,949.672
380.148,1022.871
380.145,1023.012
380.148,1027.873
380.238,1027.873
380.238,1027.873
450.895,922.047
450.941,921.926
450.956,921.926
450.956,921.926
450.956,921.926
451.05,921.656
451.875,920.887
451.953,920.871
451.953,920.871
451.953,920.902
452.086,920.879
452.137,920.879
452.137,920.902
452.137,920.902
451.161,921.797
451.035,921.887
450.863,922.137
450.863,922.137
450.863,922.137
450.975,921.828
450.975,921.703
451.984,921.031
450.975,920.809
450.975,920.758
250.573,373.431
250.573,373.431
250.573,373.431
452.0,920.918
452.121,920.977
452.121,920.977
452.121,920.977
452.121,920.949
452.238,920.859
452.395,920.844
452.395,920.859
452.441,920.859
452.465,920.859
452.465,920.844
452.465,920.863
452.477,920.848
452.484,920.848
452.5,920.863
452.508,920.887
452.527,920.887
452.527,920.891
452.527,920.887
452.5,920.883
452.363,920.852
452.336,920.852
452.328,920.852
452.273,920.887
452.273,920.887
452.273,920.887
452.363,920.879
452.379,920.879
452.379,920.875
452.363,920.867
452.352,920.867
452.352,920.879
452.352,920.867
452.344,920.879
452.344,920.879
452.352,920.879
452.328,920.879
452.328,920.879
452.328,920.875
452.266,920.875
452.258,920.875
452.258,920.875
452.266,920.918
452.273,920.934
452.398,920.934
452.398,920.934
452.398,920.922
452.398,920.891
452.215,920.887
452.207,920.887
452.207,920.887
452.207,920.883
452.207,920.883
452.207,920.887
452.207,920.887
452.172,920.887
452.152,920.91
452.152,920.918
452.078,920.918
452.031,920.93
451.178,921.691
451.176,921.699
451.171,921.703
451.167,921.707
451.163,921.711
451.163,921.711
451.163,921.715
451.153,921.715
451.153,921.711
451.153,921.711
451.11,921.715
450.798,924.724
450.775,924.724
450.752,924.724
450.717,924.666
450.705,924.664
450.701,924.646
450.701,924.646
450.701,924.646
450.712,924.653
450.725,924.657
450.725,924.657
450.725,924.653
450.672,924.635
450.593,924.597
450.585,924.594
450.579,924.594
450.568,924.594
450.562,924.595
450.568,924.605
450.576,924.607
450.568,924.607
450.567,924.61
450.574,924.612
450.574,924.629
450.574,924.612
450.589,924.612
450.851,921.789
450.851,921.789
450.852,921.789
450.859,921.789
450.86,921.789
450.86,921.789
450.86,921.789
450.86,921.789
450.864,921.789
450.859,921.809
450.853,921.809
450.562,924.638
450.562,924.638
450.562,924.638
450.563,924.63
450.563,924.624
450.563,924.6
450.555,924.59
450.503,924.461
450.353,924.326
450.353,924.074
450.353,924.072
450.218,921.828
450.214,921.59
250.484,371.281
250.484,371.273
250.484,371.238
250.588,371.223
250.588,371.223
250.588,371.223
250.533,371.234
250.529,371.234
250.519,371.234
250.479,371.242
250.479,371.242
250.479,371.234
250.479,371.234
250.717,371.07
250.72,371.07
250.72,371.07
250.717,371.055
250.72,371.055
250.72,371.051
250.714,371.051
250.714,371.055
250.702,371.062
250.658,371.078
250.64,371.086
250.64,371.086
250.64,371.086
250.621,371.062
250.621,371.055
250.621,371.043
250.61,371.055
250.61,371.062
250.61,371.07
250.614,371.082
250.682,371.105
250.69,371.156
250.7,371.184
250.702,371.199
250.7,371.246
250.7,371.246
250.687,371.246
250.687,371.223
250.687,371.223
250.688,371.223
250.688,371.254
250.688,371.262
250.611,371.301
250.609,371.309
250.609,371.309
250.609,371.309
250.614,371.344
250.614,371.344
250.614,371.344
250.592,371.344
250.581,371.344
250.581,371.344
250.581,371.359
250.581,371.371
250.575,371.371
250.566,371.379
250.566,371.402
250.566,371.402
250.585,371.406
250.586,371.402
250.586,371.395
250.585,371.395
250.524,371.395
250.518,371.395
250.517,371.395
250.517,371.379
250.521,371.359
250.521,371.352
250.582,371.352
250.591,371.359
250.611,371.367
250.617,371.367
250.621,371.371
250.627,371.371
250.634,371.379
250.668,371.387
452.207,921.039
452.293,921.051
452.301,921.051
452.309,921.051
452.309,921.055
452.309,921.055
452.309,921.055
452.309,921.059
452.309,921.059
452.273,921.062
451.352,925.246
451.352,925.246
452.223,921.086
452.223,921.098
452.23,921.094
452.25,921.094
452.25,921.098
452.25,921.176
452.285,925.418
451.953,925.418
451.594,925.418
451.859,925.396
451.953,925.396
451.859,925.359
451.859,925.342
451.883,925.352
452.395,925.352
452.188,925.352
452.188,925.352
451.922,925.352
452.188,925.268
452.188,925.15
452.43,920.871
452.43,920.871
452.43,920.871
452.152,920.941
452.152,920.941
452.145,920.941
452.145,920.938
452.102,920.938
452.102,920.926
452.102,920.926
277.525,932.183
272.445,932.183
272.445,920.77
264.543,915.09
272.445,893.857
272.445,884.334
272.82,884.152
279.562,884.152
279.562,882.348
279.562,876.827
280.713,846.699
283.265,842.597
281.635,837.703
281.635,830.02
281.635,809.228
281.635,790.852
281.635,776.281
292.49,771.141
307.175,765.942
307.175,760.844
307.175,743.355
307.82,724.615
307.82,711.01
307.82,711.01
309.895,711.01
309.895,706.381
309.895,705.289
250.601,371.148
250.593,371.148
250.593,371.148
250.601,371.148
452.371,925.873
452.371,925.948
452.371,925.948
452.344,925.948
452.18,925.911
452.008,925.843
451.828,925.73
451.828,925.636
451.648,921.09
318.992,713.072
318.992,670.855
325.525,670.855
325.525,670.855
451.711,925.827
451.938,925.96
452.102,926.068
452.387,926.182
452.754,926.32
452.754,926.32
452.754,926.32
452.648,926.307
452.422,926.289
452.188,926.195
452.16,926.158
452.16,926.158
452.16,926.154
452.242,926.109
452.242,926.1
452.242,926.014
452.199,925.936
452.152,925.834
452.102,925.792
452.023,925.695
451.844,925.53
451.844,925.441
451.844,925.408
451.727,925.399
451.703,925.399
451.734,925.399
451.734,925.512
451.703,925.593
451.703,925.672
451.734,925.686
451.742,925.701
451.742,925.701
451.742,925.701
451.898,925.806
451.898,925.806
452.059,925.898
309.185,639.398
319.953,623.934
319.953,610.919
330.792,607.004
330.792,604.872
337.887,603.225
337.902,599.736
337.902,598.377
337.902,596.394
331.968,596.284
331.253,595.1
326.232,595.1
323.712,595.1
321.758,595.482
321.332,596.588
318.121,602.929
317.838,606.982
315.351,611.819
310.988,616.772
308.105,620.114
303.846,620.114
299.112,620.114
295.535,616.623
292.059,611.227
292.059,611.227
292.059,616.623
452.25,926.088
452.258,926.09
452.301,926.115
452.328,926.115
452.414,926.17
452.414,926.17
452.434,926.188
452.441,926.188
452.441,926.17
276.742,586.354
277.344,574.869
276.742,574.678
276.742,574.678
277.344,574.678
452.812,740.161
452.961,740.165
641.482,740.166
641.482,740.165
641.488,740.165
641.488,740.166
641.488,740.168
641.488,740.168
641.522,740.168
641.522,740.169
641.522,740.17
641.522,740.17
641.537,740.17
641.545,740.172
641.545,740.175
641.545,740.177
641.549,740.177
641.549,740.177
641.553,740.179
641.553,740.179
641.559,740.179
641.564,740.179
641.564,740.179
641.559,740.179
641.564,740.16
641.572,740.159
641.549,740.157
641.549,740.159
641.549,740.16
641.543,740.16
641.543,740.167
641.543,740.169
641.553,740.17
641.561,740.17
641.561,740.17
641.576,740.17
641.584,740.17
641.584,740.17
641.584,740.171
641.584,740.171
641.584,740.169
566.832,190.73
566.832,190.73
566.832,190.73
641.344,740.176
641.436,740.196
641.436,740.196
641.344,740.196
641.344,740.18
641.281,740.18
641.281,740.18
641.145,740.186
641.057,740.192
453.582,920.988
453.508,920.988
453.473,920.988
453.422,920.977
453.395,920.969
453.359,920.957
453.359,920.926
453.387,920.926
453.387,920.902
453.465,920.895
453.566,920.863
453.621,920.773
453.73,920.742
641.062,740.193
641.104,740.193
641.412,740.192
641.531,740.187
641.596,740.176
641.73,740.176
641.801,740.176
