Head_x,Head_y
180.841,141.965
180.841,142.352
180.841,1023.736
180.834,1023.736
180.834,1023.74
180.834,1023.736
124.504,1028.551
124.504,1028.551
124.506,1028.549
124.646,1023.434
124.646,1023.434
452.762,925.825
452.762,925.812
452.762,925.812
452.754,925.812
452.742,925.812
452.742,925.812
452.742,925.834
452.57,925.834
452.5,925.834
452.477,925.812
452.465,925.812
452.441,925.812
452.441,925.803
452.465,925.801
452.473,925.763
452.473,925.763
452.473,925.763
452.449,925.829
452.43,925.834
452.43,925.834
452.43,925.834
452.43,925.836
452.414,925.834
452.406,925.832
452.406,925.836
452.406,925.832
452.406,925.832
452.406,925.836
452.406,925.836
452.406,925.836
452.363,925.836
452.352,925.834
452.352,925.834
452.363,925.82
452.5,925.822
452.664,925.82
452.883,925.822
452.883,925.822
452.883,925.822
452.855,925.823
452.777,925.823
452.641,925.827
452.641,925.827
452.641,925.836
452.672,925.836
452.711,925.852
452.711,925.852
452.711,925.838
452.711,925.836
452.641,925.808
452.613,925.788
452.578,925.786
452.562,925.767
452.492,925.754
452.477,925.747
452.477,925.747
452.492,925.747
452.5,925.746
452.508,925.747
452.508,925.753
452.508,925.746
452.5,925.746
452.457,925.722
452.336,925.677
452.336,925.677
452.277,925.677
452.277,925.723
452.656,926.0
452.656,926.08
253.743,926.08
253.743,926.0
253.727,134.516
253.681,134.363
253.681,134.348
253.681,134.254
253.727,134.086
262.93,129.637
262.93,129.637
262.93,129.637
253.131,132.111
253.123,132.111
253.043,132.119
253.008,132.131
253.008,132.119
253.008,132.131
253.089,132.165
253.089,132.166
253.089,132.181
253.089,132.181
253.089,132.198
263.273,132.204
453.23,926.072
453.23,926.072
453.23,926.072
263.672,132.291
263.672,132.291
263.586,132.291
253.185,132.322
253.091,134.426
253.185,238.045
253.185,760.41
453.309,926.064
453.309,926.127
453.309,926.064
453.309,926.127
453.203,926.064
453.047,926.045
453.047,926.045
453.375,926.166
453.375,926.166
453.383,926.166
453.383,926.168
453.383,926.168
453.387,926.162
453.387,926.16
453.387,926.15
453.387,759.445
453.387,759.445
326.154,166.672
326.154,166.672
326.154,166.672
326.252,167.189
329.945,167.43
330.416,168.191
637.751,759.406
637.757,759.426
637.766,759.43
637.766,759.43
637.766,759.43
637.727,759.355
637.727,759.34
637.723,759.336
637.723,759.336
637.723,759.336
637.909,759.543
637.909,759.543
637.932,759.543
637.938,759.406
637.936,759.355
637.932,759.344
637.936,759.344
637.938,759.344
637.95,759.367
637.95,759.367
637.95,759.367
508.454,68.426
456.869,67.058
451.919,67.058
450.824,67.058
451.919,67.058
456.408,131.667
456.408,178.463
468.91,227.121
468.91,297.529
465.688,370.02
468.91,468.879
465.688,550.68
348.629,621.881
307.996,679.945
180.511,741.582
176.281,820.381
175.057,914.145
125.052,1023.012
124.954,1023.023
124.954,1023.023
124.864,1023.045
124.86,1023.068
124.864,1023.068
124.864,1023.068
124.864,1023.068
124.883,1023.068
124.883,1023.055
124.897,1023.051
124.897,1023.051
124.897,1023.051
124.978,1023.039
124.978,1023.031
124.958,1023.039
124.958,1023.039
124.958,1023.039
124.9,1023.068
124.891,1023.074
124.891,1023.074
124.891,1023.074
124.891,1023.074
124.907,1023.074
124.907,1023.074
124.907,1023.074
124.907,1023.074
124.907,1023.074
124.908,1023.061
124.908,1023.057
124.908,1023.057
124.908,1023.037
124.908,1023.037
124.942,1023.027
124.942,1023.006
124.924,1023.027
124.924,1023.027
124.924,1023.027
124.924,1023.045
124.926,1023.051
124.926,1023.051
124.926,1023.051
124.926,1023.051
124.926,1023.041
124.913,1023.041
124.927,1023.041
124.927,1023.041
124.927,1023.041
124.961,1023.023
124.961,1023.008
124.951,1023.023
124.951,1023.023
124.951,1023.023
124.909,1023.057
124.906,1023.057
124.906,1023.053
124.906,1023.053
124.906,1023.053
124.906,1023.053
124.909,1023.053
124.938,1023.033
124.938,1023.033
124.938,1023.033
124.938,1023.004
124.938,1022.998
124.933,1023.004
124.933,1023.004
124.933,1023.004
124.933,1023.039
124.928,1023.039
124.942,1023.035
124.942,1023.035
124.942,1023.035
124.928,1023.035
124.951,1023.055
124.967,1023.055
124.967,1023.055
124.967,1023.055
124.97,1023.051
124.97,1023.049
124.974,1023.049
124.974,1023.029
124.974,1023.029
124.972,1023.0
124.972,1022.992
124.972,1022.984
124.972,1022.984
124.972,1022.992
124.947,1023.002
124.944,1023.049
124.921,1023.049
124.921,1023.049
124.921,1023.049
124.921,1023.049
124.915,1023.043
124.929,1023.043
124.929,1023.043
124.929,1023.043
124.97,1023.012
124.97,1022.998
124.956,1023.012
124.956,1023.012
124.956,1023.012
124.905,1023.035
124.894,1023.057
124.894,1023.057
124.894,1023.057
124.894,1023.057
124.912,1023.051
124.912,1023.031
124.912,1023.031
124.912,1023.031
124.912,1023.031
124.992,1022.992
124.992,1022.992
124.958,1022.992
124.958,1022.992
124.958,1023.002
124.916,1023.037
124.91,1023.037
124.916,1023.035
124.916,1023.035
124.916,1023.035
124.916,1023.031
124.919,1023.029
124.919,1023.029
124.919,1023.029
124.919,1023.029
124.919,1023.029
124.911,1023.029
124.931,1023.029
124.931,1023.018
124.931,1023.018
124.935,1022.996
124.935,1022.986
124.935,1022.996
124.935,1022.996
124.935,1022.996
124.942,1023.012
124.942,1023.031
124.941,1023.031
124.941,1023.031
124.941,1023.031
124.941,1023.012
124.931,1023.012
124.946,1023.012
124.946,1023.012
124.946,1023.012
124.983,1022.98
124.983,1022.98
124.956,1022.98
124.956,1022.98
124.956,1022.99
124.926,1023.037
124.925,1023.037
124.926,1023.025
124.926,1023.025
124.926,1023.025
124.927,1023.025
124.927,1023.031
124.938,1023.031
124.938,1023.031
124.938,1023.031
124.963,1022.984
124.963,1022.978
124.944,1022.984
124.944,1022.984
124.944,1022.988
124.935,1023.031
124.922,1023.039
124.931,1023.039
124.931,1023.039
124.931,1023.039
124.931,1023.031
124.931,1023.031
124.935,1023.031
124.938,1023.031
124.938,1023.031
124.938,1023.014
125.092,1022.918
614.676,134.271
614.676,134.271
614.676,134.271
614.676,134.271
614.674,134.285
614.674,134.285
614.674,134.285
264.111,134.27
125.002,973.044
86.832,973.044
86.832,973.044
103.707,941.604
103.707,941.604
134.859,813.08
147.33,807.1
153.168,799.797
153.168,785.625
153.996,772.523
154.034,766.807
154.034,752.281
153.996,739.855
149.073,734.158
142.455,721.023
138.757,717.847
127.029,707.051
124.347,704.965
121.262,703.963
110.348,696.457
108.896,691.145
105.318,685.599
105.318,673.801
105.318,665.273
111.062,657.047
127.656,654.154
131.052,647.902
133.746,640.676
136.652,630.207
133.746,630.207
131.052,630.207
125.096,1023.023
125.042,1023.023
125.018,1023.053
125.018,1023.053
125.029,1023.012
125.029,1022.992
124.949,1022.953
124.872,1022.953
124.872,1022.941
124.872,1022.941
124.951,1022.984
124.972,1022.984
124.972,1022.973
124.972,1022.973
263.676,129.406
263.676,129.406
125.018,1022.973
263.598,129.406
263.527,129.406
263.52,129.391
263.52,129.391
263.527,129.391
263.527,129.449
263.621,129.453
263.621,129.453
263.621,129.453
263.57,129.453
263.516,129.457
263.457,129.457
263.395,129.48
263.117,129.551
263.117,129.551
263.172,129.551
263.117,129.562
263.117,129.562
263.039,129.621
263.023,129.621
263.023,129.621
263.039,129.621
263.16,129.613
263.301,129.586
263.457,129.578
263.473,129.578
263.473,129.562
263.473,129.555
263.398,129.551
263.328,129.5
263.32,129.5
263.316,129.5
263.316,129.512
263.273,129.512
263.238,129.512
263.199,129.484
263.059,129.484
263.008,129.484
262.965,129.484
262.883,129.488
262.738,129.523
262.684,129.535
262.684,129.535
262.684,129.551
262.762,129.543
262.945,129.543
263.172,129.551
263.25,129.551
263.285,129.562
263.344,129.59
263.438,129.59
263.527,129.641
263.543,129.641
263.543,129.641
263.543,129.641
263.543,129.629
263.543,129.617
263.516,129.617
263.516,129.613
263.508,129.609
263.398,129.578
263.363,129.523
263.336,129.523
263.293,129.523
263.293,920.973
125.124,1022.973
125.124,1022.973
453.395,921.164
453.395,921.164
453.227,921.164
453.227,921.117
453.227,921.156
453.16,921.156
453.117,921.156
172.511,1028.425
172.503,1028.425
172.474,1028.425
125.238,1023.137
125.145,1023.053
125.124,1023.053
125.018,1023.053
125.018,1023.053
124.983,1023.053
124.938,1023.055
124.938,1023.053
124.938,1023.053
124.938,1023.053
124.973,1023.016
125.01,1023.016
125.013,1023.01
125.072,1022.984
172.646,1022.939
172.711,1022.939
172.738,1022.928
172.738,1022.928
437.474,537.629
469.545,535.836
484.518,535.836
484.518,536.721
484.518,536.721
453.551,921.148
172.7,1022.943
125.393,1023.35
125.328,1023.35
125.393,1023.332
125.778,1022.943
125.778,1015.545
631.176,134.887
631.176,134.807
631.09,134.748
631.09,134.688
614.861,134.688
614.854,134.504
614.799,134.162
614.789,134.172
614.783,134.172
614.789,134.162
614.799,134.146
614.803,134.143
614.848,134.143
614.848,134.146
614.895,134.748
614.895,134.814
126.072,1015.463
126.072,1015.482
172.729,1015.482
172.729,1022.998
172.754,1022.998
172.767,1023.045
172.803,1023.045
427.012,452.408
458.514,443.761
458.514,441.256
458.514,441.256
419.605,441.256
172.798,1023.107
172.787,1023.107
172.787,1023.107
172.787,1023.072
326.342,979.739
326.342,973.105
326.342,964.5
321.844,964.5
314.72,956.52
308.195,947.698
304.336,940.305
300.875,934.025
299.938,931.408
299.881,930.707
299.102,930.491
299.102,930.491
299.102,930.707
299.3,933.498
299.928,936.811
299.928,940.272
300.383,945.422
301.498,951.377
305.879,955.781
308.223,960.178
312.125,963.678
313.166,963.678
313.166,963.678
313.166,962.523
312.354,960.75
309.257,957.669
307.927,951.205
303.719,943.195
299.253,938.708
297.635,929.293
297.139,922.751
297.139,912.221
297.139,903.971
301.959,894.734
303.217,888.146
305.217,880.922
307.599,876.538
307.599,871.348
307.599,867.011
306.978,864.674
306.978,860.783
306.157,857.371
306.978,853.182
307.485,851.276
308.49,848.912
316.319,844.001
318.18,840.848
318.416,837.895
319.812,837.23
319.812,837.23
319.812,837.23
319.812,839.094
319.812,842.682
321.256,845.579
324.136,850.711
327.742,852.746
329.691,852.746
331.675,852.746
332.879,851.205
332.904,849.252
333.753,846.703
334.062,844.931
334.967,843.766
336.008,841.684
336.73,837.812
337.818,836.769
339.675,835.333
341.731,832.354
342.928,829.16
342.928,828.265
342.928,826.252
341.803,823.562
338.918,821.202
335.711,820.715
333.018,818.675
330.999,817.393
326.371,814.441
323.641,812.98
323.604,811.418
323.424,811.14
323.257,811.032
323.065,810.558
323.065,810.385
323.065,810.385
324.817,810.385
325.299,810.405
325.368,812.354
325.468,812.929
326.4,812.929
327.75,812.929
329.277,812.837
330.471,812.64
331.626,811.519
333.392,810.747
335.625,810.724
336.18,809.982
336.984,809.467
337.646,808.996
337.867,808.293
338.797,808.293
340.518,808.293
341.255,808.424
343.699,811.108
345.727,812.127
347.211,813.043
347.509,813.698
347.781,814.102
348.934,814.787
348.99,815.176
349.015,815.949
349.249,816.898
349.36,817.186
349.951,817.838
350.467,818.564
350.768,819.173
350.85,819.531
351.428,819.74
353.086,819.74
355.717,819.86
359.0,819.98
363.136,820.965
367.969,822.783
372.73,824.83
376.373,826.291
382.359,829.144
385.367,829.426
385.367,829.646
385.367,829.646
381.341,829.646
376.893,829.477
373.786,828.014
370.784,827.174
367.264,826.408
366.248,825.385
365.873,824.139
365.842,823.592
365.457,823.264
364.69,822.355
362.922,821.703
360.969,821.52
359.457,820.891
357.571,820.727
353.766,820.704
350.852,819.696
346.72,819.159
343.527,819.064
341.212,817.482
341.212,817.482
341.212,817.482
341.845,817.459
342.953,817.459
343.443,817.236
343.689,817.111
344.145,816.791
344.625,816.553
344.625,815.742
344.625,815.316
344.203,815.182
343.029,814.854
341.459,813.697
340.339,813.146
337.014,811.944
334.137,810.301
329.158,808.32
325.385,806.709
322.504,806.709
320.412,806.709
317.782,807.162
314.414,807.189
313.053,807.254
313.053,807.439
313.053,807.51
315.821,807.51
317.289,807.51
317.989,807.262
319.607,806.77
321.111,806.418
322.904,806.098
325.073,805.705
325.338,805.692
325.338,805.557
325.338,805.557
324.577,805.331
324.367,805.325
324.189,805.309
323.854,805.248
323.626,805.248
323.219,805.248
322.547,805.405
321.877,805.511
320.541,805.998
320.025,806.102
319.111,806.389
317.63,806.744
316.741,807.098
315.775,807.672
314.218,807.785
313.193,808.719
312.455,809.209
311.18,809.867
310.291,810.657
308.697,811.168
307.247,812.773
306.268,813.308
306.107,813.426
306.107,813.426
306.107,813.426
306.327,813.366
307.069,812.987
307.85,812.198
308.865,811.836
310.723,811.267
312.168,811.267
313.723,811.202
315.912,811.202
317.106,811.14
318.129,810.882
320.9,810.649
322.05,810.568
324.03,810.568
325.525,810.568
329.34,811.312
333.319,811.833
338.523,812.485
341.896,813.002
344.293,813.654
345.566,813.655
347.765,813.655
348.731,813.654
348.731,813.435
348.731,813.391
347.892,813.328
345.426,813.002
344.246,812.131
342.332,811.719
340.823,811.029
338.975,810.991
337.334,810.869
337.018,810.471
335.482,810.292
334.705,810.105
334.275,810.064
333.95,810.064
333.862,810.064
333.674,810.04
333.67,810.04
333.569,810.058
333.414,810.058
333.287,810.183
333.071,810.192
332.992,810.206
332.943,810.212
332.822,810.225
332.778,810.226
332.701,810.242
332.534,810.242
332.302,810.301
332.17,810.317
331.981,810.385
331.868,810.407
331.776,810.435
331.733,810.435
331.7,810.442
331.547,810.454
331.427,810.456
331.427,810.478
331.427,810.571
331.441,810.571
331.481,810.571
331.686,810.55
331.737,810.514
331.963,810.447
331.963,810.446
331.963,810.446
331.895,810.446
331.872,810.509
331.827,810.52
331.827,810.52
331.807,810.52
331.827,810.511
331.85,810.504
331.856,810.425
331.875,810.422
331.875,810.413
331.875,810.409
331.875,810.382
331.871,810.375
331.871,810.371
331.884,810.356
331.894,810.307
331.938,810.296
331.995,810.296
331.995,810.307
331.995,810.326
331.96,810.336
331.935,810.367
331.906,810.37
331.876,810.387
331.871,810.398
331.861,810.398
331.825,810.41
331.796,810.41
331.791,810.41
331.791,810.4
331.791,810.4
331.876,810.38
331.956,810.38
331.956,810.374
331.956,810.361
331.944,810.35
331.898,810.361
331.864,810.361
331.704,810.378
331.543,810.378
331.45,810.378
331.41,810.377
331.409,810.37
331.409,810.366
331.409,810.37
331.41,810.377
331.428,810.37
331.428,810.379
331.428,810.379
331.42,810.373
331.419,810.362
331.394,810.333
331.379,810.333
331.371,810.333
331.371,810.326
331.379,810.326
331.42,810.346
331.425,810.326
331.425,810.322
331.425,810.322
331.425,810.325
331.408,810.325
331.371,810.335
331.358,810.369
331.236,810.369
331.228,810.369
331.176,810.336
331.118,810.297
331.091,810.291
331.091,810.286
331.091,810.286
331.099,810.286
331.143,810.289
331.143,810.311
331.143,810.34
331.104,810.356
331.07,810.367
331.038,810.37
331.001,810.379
330.985,810.394
330.962,810.417
330.962,810.442
330.962,810.442
330.971,810.442
331.04,810.434
331.04,810.433
331.04,810.402
331.015,810.397
331.01,810.346
331.01,810.334
331.01,810.334
331.017,810.324
331.253,810.323
331.263,810.307
331.263,810.307
331.263,810.307
331.263,810.297
331.304,810.3
331.416,810.308
331.501,810.308
331.643,810.308
331.708,810.351
331.708,810.389
331.708,810.416
331.707,810.438
331.685,810.444
331.672,810.446
331.672,810.444
331.672,810.444
331.708,810.423
331.765,810.423
331.869,810.404
331.976,810.408
332.02,810.415
332.022,810.408
332.025,810.401
332.042,810.401
332.045,810.4
332.045,810.4
332.048,810.4
332.057,810.425
332.057,810.459
332.045,810.474
332.045,810.475
332.035,810.486
332.035,810.504
332.045,810.51
332.072,810.504
332.083,810.502
332.091,810.502
332.096,810.502
332.091,810.502
332.091,810.525
332.08,810.535
332.036,810.544
332.036,810.544
332.036,810.547
332.063,810.547
332.067,810.547
332.081,810.544
332.081,810.543
332.081,810.532
332.078,810.511
332.073,810.472
332.07,810.454
332.07,810.446
332.061,810.446
332.061,810.444
332.061,810.444
332.082,810.427
332.13,810.423
332.153,810.42
332.153,810.42
332.153,810.42
332.141,810.458
332.141,810.486
332.141,810.515
332.165,810.515
332.165,810.515
332.18,810.509
332.196,810.489
332.247,810.451
332.261,810.44
332.309,810.414
332.309,810.414
332.309,810.414
332.297,810.418
332.284,810.436
332.27,810.436
332.267,810.438
332.267,810.438
332.266,810.435
332.25,810.423
332.227,810.422
332.223,810.421
332.209,810.414
332.206,810.414
332.206,810.414
332.209,810.425
332.209,810.435
332.203,810.482
332.208,810.482
332.186,810.496
332.184,810.496
332.169,810.496
332.148,810.514
332.147,810.514
332.144,810.514
332.141,810.514
332.097,810.52
332.039,810.52
332.025,810.515
331.973,810.515
331.961,810.505
331.939,810.504
331.935,810.504
331.925,810.496
331.917,810.484
331.917,810.484
331.917,810.481
331.929,810.484
331.98,810.501
331.985,810.505
331.987,810.505
331.989,810.514
331.99,810.522
332.017,810.522
332.026,810.514
332.02,810.514
332.026,810.508
332.029,810.508
332.039,810.507
332.041,810.504
332.041,810.501
332.041,810.499
332.037,810.499
332.006,810.499
331.989,810.504
331.979,810.504
331.979,810.504
331.979,810.492
331.991,810.492
332.019,810.492
332.06,810.492
332.062,810.497
332.062,810.501
332.062,810.504
332.031,810.506
332.026,810.506
332.026,810.508
332.026,810.506
332.024,810.506
332.024,810.492
332.007,810.492
331.976,810.492
331.941,810.549
331.884,810.607
331.826,811.466
331.826,812.219
331.826,812.331
332.664,812.464
336.994,812.724
339.698,813.233
342.133,813.608
344.422,814.254
345.877,814.543
348.297,814.543
349.89,814.572
352.104,814.572
352.104,814.572
352.104,814.572
348.062,814.572
343.977,814.451
340.191,814.451
332.914,814.27
329.561,814.062
328.748,813.808
328.748,813.794
328.748,813.647
330.008,813.554
331.208,813.554
332.019,813.647
333.263,813.895
334.855,817.498
338.723,821.732
340.281,826.794
340.995,828.889
340.995,833.23
340.995,836.98
338.657,838.705
