Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
381.208,439.087,366.349,442.36,307.585,455.789,285.47,464.489,267.708,472.339,243.552,454.216,250.681,414.787,340.424,553.937,356.553,530.137,323.404,482.465,346.66,451.698,282.165,522.703,307.526,474.868,281.345,481.956,294.33,464.641,213.844,520.667,260.362,452.86,259.531,485.386,273.423,472.455
381.238,439.089,366.379,442.364,307.6,455.831,285.47,464.5,267.716,472.36,243.552,454.223,250.681,414.787,340.487,553.956,356.56,530.14,323.405,482.465,346.662,451.701,282.171,522.707,307.539,474.895,281.346,481.963,294.33,464.651,213.853,520.695,260.375,452.871,259.531,485.387,273.428,472.473
381.247,439.09,366.379,442.364,307.604,455.831,285.475,464.504,267.717,472.365,243.557,454.225,250.692,414.796,340.49,553.96,356.56,530.14,323.408,482.469,346.662,451.701,282.171,522.712,307.539,474.895,281.349,481.963,294.332,464.651,213.854,520.695,260.387,452.873,259.533,485.396,273.435,472.486
381.256,439.09,366.379,442.361,307.6,455.831,285.47,464.508,267.717,472.369,243.557,454.227,250.686,414.787,340.507,553.96,356.563,530.14,323.413,482.465,346.66,451.698,282.174,522.712,307.546,474.898,281.349,481.963,294.33,464.651,213.853,520.704,260.387,452.876,259.533,485.397,273.428,472.491
381.274,439.09,366.377,442.36,307.6,455.814,285.47,464.508,267.724,472.379,243.563,454.228,250.681,414.747,340.508,553.96,356.563,530.149,323.413,482.465,346.649,451.695,282.174,522.724,307.539,474.898,281.353,481.966,294.324,464.642,213.855,520.704,260.387,452.876,259.535,485.401,273.428,472.493
381.275,439.09,366.375,442.36,307.564,455.812,285.482,464.504,267.74,472.375,243.563,454.271,250.686,414.747,340.515,553.96,356.565,530.158,323.413,482.468,346.649,451.681,282.171,522.732,307.538,474.974,281.363,481.97,294.318,464.642,213.859,520.719,260.387,452.876,259.539,485.399,273.435,472.496
381.28,439.09,366.375,442.36,307.563,455.812,285.502,464.499,267.804,472.375,243.57,454.298,250.713,414.809,340.524,553.965,356.563,530.158,323.405,482.468,346.642,451.681,282.171,522.755,307.489,474.991,281.402,482.001,294.316,464.642,213.861,520.736,260.416,452.73,259.551,485.399,273.491,472.505
381.283,439.085,366.375,442.359,307.557,455.812,285.51,464.493,267.807,472.378,243.571,454.301,250.713,414.809,340.524,553.965,356.563,530.158,323.405,482.468,346.641,451.681,282.171,522.755,307.484,474.993,281.408,482.003,294.314,464.648,213.872,520.746,260.423,452.73,259.559,485.399,273.496,472.505
381.295,439.085,366.401,442.359,307.536,455.822,285.515,464.492,267.807,472.378,243.573,454.302,250.715,414.852,340.515,553.97,356.549,530.146,323.405,482.468,346.637,451.689,282.171,522.755,307.478,474.994,281.41,482.003,294.301,464.65,213.876,520.757,260.432,452.73,259.567,485.394,273.502,472.501
381.283,439.087,366.403,442.359,307.536,455.822,285.523,464.492,267.843,472.375,243.591,454.302,250.715,414.852,340.423,553.972,356.519,530.121,323.424,482.463,346.637,451.69,282.171,522.755,307.472,475.001,281.415,482.003,294.301,464.654,213.876,520.757,260.436,452.73,259.599,485.377,273.521,472.501
