Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
360.664,447.523,345.439,450.473,289.531,463.714,265.555,476.439,246.473,480.087,233.49,457.624,252.54,422.991,320.799,559.529,336.561,537.173,301.764,493.06,326.347,459.337,289.002,537.209,295.615,501.47,265.217,495.12,273.821,478.028,207.116,522.708,231.299,452.738,236.805,493.564,250.878,482.862
360.664,447.539,345.439,450.477,289.573,463.717,265.596,476.451,246.473,480.087,233.49,457.624,252.553,423.0,320.799,559.529,336.561,537.173,301.782,493.065,326.364,459.34,289.016,537.225,295.627,501.47,265.217,495.12,273.855,478.04,207.166,522.735,231.299,452.758,236.805,493.564,250.885,482.862
360.664,447.549,345.439,450.492,289.573,463.727,265.596,476.464,246.473,480.087,233.499,457.647,252.553,423.009,320.799,559.532,336.561,537.183,301.791,493.074,326.364,459.347,289.016,537.225,295.627,501.47,265.217,495.12,273.855,478.041,207.171,522.735,231.299,452.773,236.806,493.581,250.885,482.862
360.658,447.549,345.438,450.523,289.573,463.727,265.596,476.464,246.463,480.087,233.499,457.647,252.553,423.009,320.799,559.529,336.561,537.173,301.791,493.087,326.368,459.363,289.002,537.209,295.625,501.467,265.209,495.12,273.855,478.041,207.171,522.735,231.299,452.773,236.811,493.581,250.889,482.862
360.649,447.558,345.438,450.523,289.557,463.773,265.591,476.493,246.463,480.087,233.524,457.647,252.553,423.023,320.796,559.525,336.605,537.172,301.791,493.186,326.371,459.363,288.982,537.148,295.625,501.442,265.198,495.12,273.812,478.044,207.181,522.731,231.299,452.786,236.817,493.611,250.896,482.862
360.641,447.562,345.438,450.523,289.526,463.773,265.591,476.552,246.459,480.085,233.628,457.713,252.597,423.041,320.796,559.51,336.605,537.096,301.766,493.187,326.4,459.363,288.937,537.124,295.619,501.423,265.155,495.123,273.811,478.164,207.187,522.702,231.299,452.793,236.819,493.654,250.885,482.906
360.641,447.584,345.452,450.523,289.522,463.761,265.591,476.552,246.463,480.077,233.633,457.735,252.628,423.041,320.806,559.493,336.613,537.094,301.755,493.187,326.419,459.362,288.937,537.034,295.616,501.423,265.155,495.123,273.8,478.164,207.188,522.676,231.32,452.8,236.824,493.654,250.919,482.906
360.641,447.59,345.458,450.521,289.517,463.761,265.596,476.552,246.463,480.077,233.703,457.735,252.628,423.044,320.807,559.493,336.628,537.084,301.753,493.187,326.425,459.362,288.937,537.034,295.616,501.423,265.139,495.123,273.782,478.164,207.187,522.67,231.321,452.793,236.825,493.654,250.919,482.906
360.693,447.614,345.475,450.517,289.517,463.76,265.629,476.483,246.449,480.038,233.728,457.73,252.631,423.062,320.807,559.499,336.628,537.084,301.738,493.167,326.429,459.362,289.012,537.112,295.616,501.459,265.139,495.105,273.764,478.096,207.187,522.665,231.398,452.81,236.819,493.606,250.875,482.813
360.729,447.622,345.489,450.492,289.517,463.715,265.633,476.423,246.395,480.037,233.729,457.73,252.634,423.109,320.93,559.499,336.776,537.017,301.733,493.128,326.467,459.374,289.111,537.083,295.616,501.488,265.139,495.105,273.759,478.068,207.133,522.661,231.398,452.826,236.819,493.605,250.868,482.802
360.729,447.624,345.489,450.492,289.515,463.715,265.633,476.423,246.384,480.037,233.747,457.714,252.631,423.11,320.982,559.499,336.791,537.017,301.725,493.112,326.467,459.375,289.111,537.083,295.67,501.488,265.136,495.105,273.759,478.068,207.133,522.657,231.398,452.826,236.797,493.605,250.851,482.802
360.729,447.624,345.497,450.492,289.515,463.715,265.633,476.423,246.384,480.038,233.747,457.666,252.631,423.133,321.004,559.509,336.791,537.017,301.733,493.112,326.467,459.379,289.111,537.112,295.67,501.499,265.127,495.108,273.747,478.068,207.133,522.657,231.404,452.826,236.788,493.588,250.848,482.802
360.729,447.648,345.497,450.505,289.52,463.759,265.633,476.457,246.384,480.048,233.75,457.654,252.709,423.149,321.022,559.52,336.776,537.025,301.733,493.112,326.468,459.379,289.108,537.112,295.67,501.5,265.111,495.128,273.759,478.11,207.136,522.661,231.426,452.826,236.787,493.586,250.842,482.829
360.699,447.648,345.498,450.515,289.538,463.762,265.639,476.475,246.394,480.075,233.757,457.645,252.714,423.178,321.039,559.655,336.722,537.053,301.74,493.162,326.466,459.379,289.099,537.332,295.617,501.613,265.089,495.128,273.775,478.141,207.147,522.673,231.551,452.737,236.782,493.558,250.831,482.905
360.699,447.648,345.511,450.52,289.546,463.787,265.689,476.5,246.396,480.075,233.793,457.63,252.714,423.189,321.039,559.655,336.713,537.074,301.74,493.166,326.466,459.382,289.098,537.332,295.606,501.613,265.089,495.132,273.789,478.156,207.147,522.673,231.551,452.689,236.777,493.558,250.829,482.912
360.699,447.647,345.535,450.531,289.546,463.788,265.697,476.505,246.408,480.075,233.784,457.601,252.762,423.209,321.068,559.709,336.713,537.106,301.741,493.189,326.469,459.399,289.098,537.332,295.606,501.613,265.089,495.128,273.797,478.172,207.136,522.673,231.568,452.669,236.782,493.558,250.831,482.913
360.721,447.612,345.541,450.539,289.546,463.84,265.697,476.553,246.431,480.052,233.81,457.55,252.78,423.209,321.075,559.709,336.713,537.106,301.741,493.186,326.495,459.399,289.098,537.329,295.617,501.564,265.089,495.128,273.82,478.215,207.124,522.654,231.57,452.649,236.777,493.566,250.829,482.915
360.782,447.61,345.561,450.539,289.546,463.879,265.703,476.576,246.439,480.049,233.814,457.509,252.792,423.222,321.148,559.709,336.727,537.106,301.743,493.189,326.499,459.415,289.098,537.27,295.655,501.533,265.085,495.12,273.822,478.248,207.124,522.605,231.57,452.649,236.777,493.566,250.829,482.915
360.783,447.608,345.569,450.52,289.556,463.897,265.722,476.576,246.457,480.04,233.814,457.509,252.792,423.222,321.148,559.723,336.727,537.106,301.748,493.209,326.499,459.415,289.093,537.149,295.655,501.509,265.091,495.12,273.839,478.254,207.124,522.605,231.57,452.669,236.782,493.566,250.834,482.915
360.857,447.588,345.573,450.532,289.571,463.912,265.703,476.587,246.476,480.021,233.836,457.509,252.822,423.222,321.148,559.755,336.727,537.106,301.755,493.209,326.5,459.419,289.098,537.142,295.655,501.503,265.095,495.12,273.839,478.275,207.127,522.605,231.605,452.669,236.782,493.554,250.837,482.899
360.897,447.588,345.59,450.532,289.573,463.917,265.695,476.587,246.483,480.021,233.874,457.483,252.822,423.259,321.169,559.784,336.708,537.142,301.794,493.22,326.525,459.451,289.093,537.054,295.655,501.484,265.161,495.181,273.82,478.296,207.176,522.605,231.611,452.666,236.778,493.513,250.929,482.885
360.984,447.588,345.623,450.532,289.622,464.012,265.668,476.61,246.502,480.021,233.902,457.48,253.016,423.259,321.169,559.866,336.702,537.152,301.834,493.224,326.539,459.452,289.089,537.004,295.655,501.447,265.161,495.219,273.81,478.373,207.191,522.602,231.611,452.666,236.782,493.511,250.947,482.885
360.994,447.638,345.664,450.541,289.63,464.012,265.668,476.621,246.519,480.031,233.902,457.466,253.076,423.259,321.178,559.871,336.702,537.155,301.846,493.242,326.557,459.453,289.069,536.974,295.705,501.444,265.164,495.223,273.81,478.38,207.191,522.606,231.638,452.621,236.782,493.511,250.949,482.885
360.994,447.653,345.664,450.556,289.646,464.016,265.668,476.621,246.519,480.051,233.902,457.458,253.076,423.274,321.179,559.934,336.708,537.155,301.872,493.257,326.56,459.459,289.06,536.986,295.719,501.436,265.164,495.227,273.81,478.388,207.191,522.606,231.638,452.556,236.783,493.511,250.954,482.919
361.006,447.654,345.673,450.599,289.684,464.016,265.798,476.639,246.57,480.081,233.931,457.003,253.101,423.274,321.26,559.935,336.917,537.211,301.872,493.296,326.574,459.495,289.058,536.986,295.811,501.408,265.199,495.251,273.911,478.393,207.179,522.608,231.625,452.481,236.897,493.537,250.995,483.011
360.998,447.685,345.678,450.662,289.723,464.027,265.811,476.701,246.58,480.12,233.931,456.978,253.115,423.274,321.39,559.944,336.933,537.235,301.872,493.32,326.582,459.513,289.029,536.974,295.84,501.408,265.224,495.262,273.931,478.45,207.134,522.608,231.685,452.481,236.914,493.538,251.003,483.037
360.998,447.697,345.678,450.662,289.726,464.032,265.825,476.709,246.583,480.128,233.931,456.933,253.118,423.316,321.45,559.951,336.935,537.237,301.875,493.341,326.585,459.532,289.006,536.986,295.848,501.408,265.229,495.281,273.94,478.451,207.123,522.638,231.685,452.47,236.915,493.538,251.006,483.059
361.006,447.698,345.678,450.664,289.726,464.035,265.825,476.728,246.583,480.136,233.981,456.904,253.211,423.316,321.451,559.966,336.94,538.85,301.875,493.351,326.585,459.546,288.987,536.988,295.848,501.408,265.232,495.287,273.94,478.453,207.123,522.641,231.625,452.47,236.929,493.537,251.006,483.075
361.112,447.729,345.718,450.665,289.73,464.037,265.825,476.731,246.58,480.14,234.004,456.862,253.258,423.319,321.456,560.018,336.978,538.85,301.872,493.351,326.585,459.573,288.978,536.988,295.848,501.412,265.236,495.303,273.94,478.453,207.125,522.642,231.6,452.447,236.931,493.514,251.006,483.084
361.134,447.729,345.776,450.698,289.742,464.087,265.782,476.757,246.575,480.141,234.009,456.848,253.259,423.328,321.483,560.037,337.0,538.85,301.89,493.351,326.572,459.59,288.972,536.988,295.851,501.412,265.245,495.32,273.917,478.489,207.125,522.642,231.561,452.416,236.947,493.488,251.002,483.088
361.14,447.734,345.777,450.7,289.76,464.138,265.776,476.795,246.572,480.141,234.059,456.841,253.262,423.319,321.475,560.056,337.011,538.837,301.91,493.339,326.572,459.634,288.972,536.99,295.851,501.415,265.246,495.355,273.917,478.519,207.125,522.646,231.561,452.396,236.947,493.488,250.991,483.101
