Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
310.204,364.734,292.532,368.421,230.439,391.553,205.251,412.165,184.838,428.679,145.836,418.4,126.961,370.288,301.778,513.069,302.071,479.083,258.038,427.028,273.558,380.493,249.522,481.788,240.04,423.48,211.221,433.706,218.075,408.598,142.921,489.24,173.709,407.587,182.164,443.628,193.511,425.206
310.204,364.835,292.638,368.513,230.439,391.579,205.251,412.197,184.856,428.786,145.896,418.402,126.964,370.339,301.872,513.069,302.105,479.121,258.153,427.048,273.558,380.508,249.541,481.788,240.047,423.561,211.302,433.717,218.141,408.598,142.941,489.256,173.911,407.724,183.43,443.628,193.541,425.311
310.204,364.835,292.638,368.513,230.439,391.589,205.251,412.197,184.86,428.786,145.896,418.402,126.965,370.345,301.878,513.075,302.15,479.13,258.153,427.049,273.565,380.508,249.547,481.788,240.053,423.561,211.304,433.72,218.141,408.598,142.953,489.333,173.911,407.742,183.43,443.639,193.541,425.313
310.177,364.835,292.638,368.513,230.402,391.589,205.244,412.197,184.86,428.786,145.897,418.402,126.964,370.349,301.941,513.069,302.162,479.167,258.154,427.049,273.558,380.508,249.547,481.788,240.053,423.561,211.304,433.717,218.141,408.594,142.953,489.333,173.911,407.742,183.43,443.639,193.546,425.313
310.166,364.816,292.631,368.501,230.397,391.589,205.244,412.192,184.86,428.78,145.897,418.402,126.961,370.35,302.065,513.053,302.225,479.167,258.154,427.072,273.556,380.501,249.541,481.788,240.047,423.573,211.302,433.717,218.119,408.58,142.953,489.333,173.905,407.724,182.213,443.736,193.549,425.311
310.163,364.806,292.616,368.495,230.397,391.58,205.244,412.184,184.97,428.696,145.964,418.407,126.912,370.368,302.175,513.012,302.225,479.167,258.201,427.072,273.556,380.478,249.5,481.808,240.03,423.573,211.302,433.704,218.118,408.555,142.922,489.333,173.905,407.505,182.213,443.736,193.612,425.212
310.163,364.806,292.616,368.495,230.397,391.58,205.25,412.184,184.99,428.667,145.964,418.407,126.905,370.385,302.175,512.96,302.225,479.167,258.201,427.074,273.557,380.469,249.474,481.879,240.004,423.557,211.302,433.687,218.106,408.555,142.922,489.329,173.905,407.505,182.213,443.736,193.626,425.199
310.166,364.815,292.614,368.495,230.388,391.58,205.25,412.184,185.056,428.634,145.964,418.407,126.905,370.386,302.181,512.877,302.225,479.164,258.201,427.072,273.556,380.469,249.451,481.879,240.0,423.56,211.301,433.664,218.099,408.555,142.919,489.329,173.905,407.475,182.248,443.689,193.677,425.164
310.169,364.815,292.614,368.495,230.347,391.632,205.25,412.233,185.071,428.606,145.964,418.39,126.912,370.404,302.191,512.877,302.225,479.164,258.201,427.065,273.556,380.469,249.451,481.879,239.984,423.573,211.288,433.66,218.092,408.574,142.909,489.348,173.905,407.475,182.257,443.58,193.684,425.15
310.169,364.815,292.616,368.495,230.273,391.635,205.21,412.294,185.08,428.593,145.961,418.39,126.987,370.421,302.204,512.877,302.225,479.164,258.264,427.053,273.557,380.469,249.393,481.782,239.972,423.585,211.275,433.66,218.004,408.616,142.909,489.45,173.899,407.461,182.257,443.537,193.697,425.074
310.169,364.815,292.623,368.495,230.271,391.643,205.199,412.307,185.087,428.593,145.944,418.382,126.99,370.428,302.252,512.936,302.284,479.17,258.291,427.028,273.557,380.471,249.366,481.763,239.967,423.56,211.271,433.664,218.001,408.616,142.919,489.455,173.894,407.461,182.248,443.537,193.714,425.056
310.153,364.799,292.623,368.461,230.263,391.643,205.181,412.307,185.115,428.578,145.944,418.382,126.994,370.445,302.334,512.936,302.315,479.175,258.291,427.022,273.537,380.471,249.366,481.76,239.967,423.606,211.271,433.659,218.001,408.616,142.904,489.458,173.888,407.46,182.248,443.537,193.72,425.017
310.116,364.795,292.623,368.426,230.263,391.635,205.169,412.294,185.126,428.558,145.944,418.39,126.99,370.446,302.344,512.936,302.369,479.198,258.291,427.0,273.501,380.471,249.366,481.76,239.967,423.615,211.275,433.65,217.995,408.612,142.904,489.464,173.894,407.46,182.257,443.614,193.742,425.016
310.097,364.787,292.623,368.418,230.219,391.583,205.169,412.206,185.155,428.551,145.944,418.382,126.99,370.447,302.412,512.926,302.405,479.198,258.251,426.998,273.47,380.416,249.387,481.746,239.97,423.697,211.308,433.623,217.986,408.538,142.894,489.47,173.899,407.397,182.268,443.614,193.748,424.993
310.097,364.786,292.609,368.418,230.219,391.578,205.181,412.188,185.187,428.534,145.944,418.379,126.99,370.447,302.516,512.905,302.405,479.198,258.251,426.998,273.448,380.401,249.406,481.746,239.97,423.706,211.308,433.623,217.986,408.538,142.878,489.464,173.926,407.384,182.294,443.614,193.799,424.993
310.097,364.786,292.609,368.418,230.216,391.578,205.169,412.188,185.187,428.522,145.94,418.379,126.99,370.446,302.543,512.859,302.402,479.191,258.251,426.982,273.443,380.401,249.406,481.713,239.97,423.714,211.308,433.623,217.977,408.538,142.856,489.462,173.937,407.384,182.307,443.583,193.799,424.993
310.097,364.765,292.609,368.418,230.212,391.577,205.166,412.179,185.187,428.522,145.929,418.379,126.883,370.443,302.579,512.849,302.405,479.083,258.251,426.982,273.441,380.364,249.387,481.699,239.935,423.723,211.267,433.623,217.977,408.551,142.856,489.47,173.947,407.379,182.309,443.575,193.799,424.996
310.081,364.719,292.67,368.357,230.173,391.571,205.166,412.173,185.113,428.522,145.883,418.302,126.798,370.338,302.65,512.805,302.404,479.03,258.297,426.898,273.412,380.273,249.375,481.527,239.918,423.725,211.267,433.623,217.972,408.559,142.856,489.47,173.995,407.363,182.309,443.575,193.697,425.0
310.088,364.694,292.676,368.353,230.171,391.575,205.146,412.168,185.113,428.529,145.869,418.29,126.792,370.202,302.75,512.768,302.404,479.03,258.304,426.863,273.412,380.271,249.375,481.516,239.918,423.725,211.267,433.623,217.96,408.559,142.856,489.549,174.0,407.346,182.307,443.583,193.697,425.008
310.075,364.691,292.683,368.347,230.171,391.577,205.14,412.168,185.113,428.545,145.869,418.282,126.788,370.196,302.844,512.702,302.424,478.981,258.311,426.832,273.412,380.265,249.375,481.44,239.914,423.725,211.267,433.62,217.96,408.561,142.856,489.553,174.026,407.345,182.307,443.602,193.697,425.0
310.051,364.683,292.676,368.326,230.171,391.577,205.124,412.168,185.118,428.561,145.869,418.263,126.78,370.193,302.884,512.702,302.466,478.968,258.312,426.819,273.448,380.241,249.375,481.436,239.914,423.725,211.267,433.62,217.96,408.561,142.857,489.553,174.05,407.345,182.309,443.604,193.705,424.996
310.038,364.645,292.676,368.321,230.167,391.625,205.12,412.22,185.18,428.561,145.873,418.234,126.771,370.192,303.036,512.687,302.535,478.88,258.41,426.813,273.471,380.214,249.376,481.436,239.893,423.682,211.229,433.62,218.004,408.586,142.854,489.566,174.086,407.329,182.363,443.607,193.734,424.959
309.931,364.517,292.609,368.233,230.207,391.625,205.12,412.22,185.18,428.561,145.89,418.228,126.771,370.192,303.149,512.663,302.579,478.862,258.41,426.809,273.478,380.214,249.393,481.418,239.88,423.677,211.229,433.62,218.007,408.586,142.854,489.603,174.114,407.234,182.363,443.612,193.734,424.949
309.93,364.517,292.591,368.204,230.207,391.625,205.12,412.22,185.18,428.55,145.89,418.214,126.765,370.182,303.206,512.522,302.656,478.82,258.41,426.809,273.478,380.214,249.395,481.418,239.872,423.667,211.229,433.62,218.016,408.586,142.902,489.576,174.161,407.234,182.363,443.607,193.734,424.922
