Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
346.167,376.993,329.042,380.686,269.326,410.942,245.837,429.077,223.815,443.174,183.898,432.368,172.428,383.669,313.383,520.614,320.718,488.34,280.928,433.309,310.113,394.322,283.341,497.32,283.075,437.277,249.12,451.319,256.004,425.397,178.189,506.857,216.357,418.403,219.728,460.18,232.638,441.0
346.168,376.993,329.046,380.686,269.326,410.947,245.837,429.128,223.815,443.194,183.898,432.384,172.428,383.702,313.387,520.624,320.772,488.378,280.954,433.309,310.113,394.328,283.341,497.367,283.075,437.305,249.128,451.346,256.004,425.397,178.203,506.869,216.357,418.403,219.728,460.18,232.638,441.017
346.185,376.993,329.046,380.686,269.326,410.947,245.837,429.128,223.815,443.198,183.898,432.408,172.428,383.703,313.433,520.653,320.772,488.443,280.967,433.309,310.113,394.328,283.341,497.442,283.122,437.305,249.136,451.352,256.02,425.397,178.203,506.869,216.357,418.403,219.728,460.211,232.638,441.017
346.168,376.972,329.042,380.681,269.291,410.942,245.764,429.133,223.781,443.218,183.877,432.408,172.38,383.703,313.387,520.704,320.778,488.443,280.954,433.263,310.089,394.322,283.29,497.442,283.075,437.305,249.128,451.346,256.02,425.362,178.189,506.869,216.346,418.388,219.723,460.229,232.598,441.0
346.167,376.882,328.962,380.679,269.262,410.911,245.73,429.14,223.747,443.22,183.872,432.408,172.296,383.702,313.383,520.734,320.789,488.443,280.954,433.252,310.055,394.316,283.29,497.442,283.071,437.308,249.128,451.319,255.999,425.362,178.188,506.869,216.346,418.384,219.72,460.255,232.59,441.0
346.087,376.863,328.916,380.653,269.206,410.911,245.68,429.179,223.74,443.224,183.781,432.4,172.244,383.669,313.302,520.834,320.789,488.453,280.939,433.249,310.034,394.279,283.29,497.37,283.071,437.308,249.088,451.302,255.982,425.362,178.149,506.869,216.316,418.304,219.684,460.272,232.561,441.017
346.031,376.839,328.899,380.588,269.184,410.892,245.68,429.179,223.723,443.229,183.708,432.4,172.209,383.662,313.286,520.908,320.781,488.458,280.865,433.249,310.017,394.268,283.316,497.361,283.067,437.37,249.035,451.293,255.982,425.318,178.149,506.859,216.316,418.3,219.68,460.28,232.561,441.048
346.015,376.838,328.896,380.588,269.18,410.911,245.68,429.188,223.681,443.234,183.705,432.4,172.198,383.662,313.258,520.908,320.781,488.453,280.858,433.241,309.999,394.265,283.318,497.355,283.067,437.388,249.017,451.291,255.934,425.318,178.149,506.847,216.316,418.274,219.665,460.28,232.547,441.061
345.967,376.821,328.816,380.588,269.125,410.911,245.68,429.193,223.67,443.262,183.689,432.466,172.133,383.669,313.253,520.908,320.781,488.453,280.83,433.232,309.961,394.25,283.318,497.361,283.077,437.397,249.015,451.248,255.934,425.308,178.175,506.776,216.299,418.274,219.665,460.28,232.525,441.074
345.847,376.814,328.745,380.616,269.059,410.803,245.651,429.195,223.634,443.262,183.677,432.493,172.05,383.733,313.253,520.862,320.51,488.373,280.827,433.136,309.884,394.249,283.316,497.361,283.077,437.402,249.011,451.246,255.934,425.299,178.175,506.751,216.284,418.297,219.624,460.28,232.515,441.083
345.781,376.784,328.741,380.616,268.802,410.571,245.687,429.188,223.535,443.273,183.591,432.493,172.044,383.802,313.253,520.824,320.51,488.373,280.814,433.096,309.836,394.232,283.324,497.352,283.094,437.407,248.974,451.246,255.934,425.246,178.175,506.751,216.248,418.297,219.53,460.268,232.437,441.094
345.768,376.75,328.737,380.639,268.796,410.571,245.651,429.188,223.522,443.273,183.527,432.505,172.033,383.812,313.283,520.824,320.506,488.373,280.781,433.092,309.773,394.22,283.316,497.35,283.098,437.402,248.968,451.223,255.923,425.203,178.15,506.776,216.237,418.274,219.521,460.268,232.406,441.097
