Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
375.452,440.31,358.919,445.003,302.123,464.795,281.921,474.713,261.587,481.648,233.939,469.661,221.39,432.82,379.046,530.533,376.379,503.153,317.514,487.375,339.066,455.606,289.4,539.278,309.705,484.918,278.459,492.614,287.902,475.79,156.284,526.407,209.701,469.77,253.423,496.923,265.29,484.144
375.452,440.321,358.919,445.022,302.146,464.815,281.922,474.744,261.592,481.672,233.946,469.673,221.392,432.83,379.152,530.533,376.379,503.181,317.514,487.47,339.068,455.654,289.402,539.518,309.86,485.039,278.487,492.636,287.927,475.876,156.284,526.43,209.701,469.818,253.423,496.931,265.29,484.178
375.452,440.321,358.919,445.023,302.164,464.822,281.922,474.75,261.592,481.687,233.955,469.708,221.392,432.831,379.156,530.533,376.379,503.212,317.52,487.474,339.068,455.675,289.406,539.623,309.899,485.053,278.495,492.645,287.927,475.877,156.352,526.49,209.709,469.831,253.423,496.946,265.294,484.189
375.456,440.32,358.899,445.023,302.164,464.823,281.922,474.75,261.587,481.691,233.955,469.713,221.39,432.833,379.156,530.501,376.287,503.181,317.514,487.474,339.066,455.69,289.41,539.634,309.934,485.067,278.495,492.645,287.927,475.879,156.284,526.49,209.709,469.834,253.416,496.946,265.29,484.202
375.443,440.321,358.889,445.052,302.168,464.823,281.923,474.744,261.581,481.695,233.955,469.718,221.382,432.833,379.152,530.475,376.209,503.181,317.508,487.474,339.062,455.708,289.411,539.642,309.936,485.07,278.495,492.648,287.927,475.882,156.283,526.491,209.715,469.865,253.412,496.946,265.29,484.211
375.443,440.321,358.889,445.058,302.168,464.822,281.931,474.738,261.572,481.703,234.083,469.817,221.063,433.114,379.152,530.467,376.175,503.178,317.483,487.47,339.041,455.719,289.432,539.642,310.042,485.067,278.496,492.713,287.924,475.909,156.226,526.519,209.789,469.995,253.405,496.953,265.258,484.263
375.43,440.32,358.881,445.063,302.214,464.811,281.956,474.729,261.572,481.703,234.09,469.83,221.062,433.132,379.146,530.465,376.17,503.178,317.479,487.467,339.041,455.719,289.435,539.642,310.061,485.075,278.506,492.713,287.924,475.909,156.226,526.527,209.789,470.006,253.405,496.953,265.258,484.263
375.43,440.321,358.881,445.064,302.22,464.803,281.956,474.723,261.572,481.703,234.1,469.83,221.062,433.135,379.146,530.465,376.157,503.178,317.469,487.443,339.035,455.726,289.444,539.642,310.061,485.075,278.514,492.713,287.924,475.909,156.226,526.519,209.803,470.006,253.405,496.953,265.258,484.263
375.407,440.321,358.876,445.063,302.224,464.803,281.974,474.723,261.582,481.686,234.1,469.83,221.062,433.135,379.153,530.465,376.157,503.201,317.464,487.434,339.041,455.735,289.435,539.642,310.061,485.084,278.521,492.664,287.93,475.909,156.3,526.519,209.803,469.995,253.424,496.932,265.258,484.241
375.304,440.311,358.876,445.063,302.233,464.794,281.974,474.723,261.582,481.679,234.1,469.809,221.051,433.135,379.247,530.527,376.157,503.201,317.44,487.406,339.057,455.735,289.432,539.664,310.027,485.101,278.521,492.664,287.931,475.912,156.3,526.462,209.803,469.877,253.424,496.918,265.256,484.241
