Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
347.282,363.086,327.66,367.197,242.99,399.669,210.883,421.991,179.229,440.853,136.847,424.293,102.877,376.885,320.647,525.962,324.724,481.902,255.871,430.36,299.013,382.354,231.248,507.894,251.695,435.249,212.07,449.631,223.76,424.279,113.291,513.78,150.805,439.435,174.107,460.437,188.77,443.327
347.282,363.111,327.66,367.216,243.002,399.674,210.885,422.001,179.242,440.858,136.87,424.304,102.877,376.885,320.68,525.989,324.776,481.945,255.921,430.378,299.028,382.354,231.248,507.908,251.699,435.249,212.07,449.631,223.783,424.279,113.304,513.787,150.813,439.435,174.108,460.437,188.802,443.327
347.282,363.129,327.66,367.238,243.013,399.674,210.891,422.002,179.283,440.858,136.913,424.304,102.877,376.885,320.699,525.989,324.954,481.957,255.922,430.403,299.029,382.354,231.26,507.908,251.699,435.249,212.07,449.631,223.815,424.279,113.305,513.794,150.813,439.442,174.11,460.437,188.814,443.327
347.273,363.129,327.645,367.238,243.015,399.672,210.885,422.006,179.283,440.858,136.913,424.293,102.851,376.871,320.699,525.992,324.96,481.973,255.922,430.403,299.047,382.354,231.26,507.908,251.695,435.249,212.07,449.631,223.815,424.279,113.31,513.794,150.813,439.435,174.108,460.437,188.814,443.327
347.255,363.129,327.634,367.238,243.013,399.669,210.883,422.014,179.283,440.859,136.913,424.293,102.822,376.871,320.699,525.992,324.96,481.982,255.922,430.403,299.047,382.354,231.261,507.894,251.694,435.249,212.069,449.631,223.815,424.279,113.318,513.78,150.801,439.429,174.107,460.437,188.814,443.327
347.251,363.118,327.612,367.238,243.013,399.672,210.863,422.086,179.281,440.889,136.906,424.292,102.817,376.871,320.539,526.034,324.954,482.033,255.801,430.319,299.145,382.385,231.343,507.858,251.255,435.52,212.054,449.7,223.812,424.297,113.318,513.771,150.785,439.394,174.084,460.458,188.728,443.418
347.223,363.117,327.61,367.238,242.993,399.664,210.863,422.091,179.218,440.909,136.851,424.292,102.814,376.876,320.462,526.034,324.939,482.033,255.801,430.279,299.145,382.472,231.343,507.777,251.245,435.561,212.054,449.724,223.804,424.336,113.335,513.75,150.76,439.366,174.073,460.458,188.653,443.472
347.196,363.115,327.587,367.235,242.993,399.647,210.863,422.091,179.218,440.909,136.841,424.294,102.814,376.876,320.449,526.036,324.939,482.051,255.794,430.279,299.145,382.472,231.351,507.762,251.221,435.561,212.054,449.724,223.804,424.336,113.349,513.75,150.742,439.366,174.073,460.458,188.653,443.472
347.167,363.115,327.575,367.235,242.942,399.64,210.886,422.091,179.218,440.909,136.835,424.294,102.811,376.876,320.443,526.043,324.939,482.063,255.793,430.279,299.088,382.472,231.351,507.762,251.214,435.561,212.056,449.724,223.79,424.336,113.356,513.75,150.73,439.366,174.073,460.458,188.653,443.472
347.113,363.115,327.509,367.183,242.934,399.636,210.886,422.091,179.295,440.842,136.737,424.292,102.811,376.799,320.388,526.101,324.945,482.151,255.794,430.336,299.033,382.444,231.548,507.762,251.187,435.432,212.056,449.682,223.799,424.295,113.391,513.789,150.675,439.588,174.087,460.447,188.726,443.383
