Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
386.816,422.39,369.853,425.417,275.485,441.385,248.321,455.382,220.192,466.121,176.843,456.93,142.871,423.711,356.166,573.96,364.473,539.114,313.773,480.295,344.646,434.768,252.133,534.327,281.48,450.942,245.849,476.697,257.436,457.821,90.035,533.496,160.304,437.516,212.655,480.445,230.974,466.601
386.816,422.39,369.853,425.417,275.485,441.385,248.328,455.382,220.192,466.121,176.843,456.941,142.871,423.711,356.166,573.96,364.473,539.114,313.937,480.295,344.646,434.768,252.14,534.376,281.501,450.942,245.849,476.697,257.436,457.842,90.035,533.551,160.351,437.516,212.655,480.449,230.974,466.622
386.816,422.39,369.853,425.417,275.485,441.385,248.328,455.382,220.192,466.121,176.843,456.941,142.871,423.711,356.166,573.96,364.473,539.114,313.954,480.295,344.646,434.768,252.14,534.383,281.515,450.942,245.849,476.697,257.436,457.842,90.046,533.551,160.354,437.516,212.688,480.461,230.974,466.622
386.694,422.373,369.795,425.394,275.426,441.292,248.321,455.332,220.151,466.121,176.727,456.93,142.831,423.62,356.113,573.795,364.473,539.07,313.937,480.116,344.612,434.697,252.133,534.385,281.501,450.886,245.828,476.654,257.325,457.821,90.049,533.551,160.405,437.489,212.655,480.471,230.889,466.601
386.502,422.354,369.722,425.313,275.305,441.29,248.291,455.273,220.128,466.119,176.701,456.896,142.802,423.456,356.076,573.778,364.408,539.055,313.937,480.071,344.489,434.588,252.129,534.386,281.501,450.594,245.72,476.638,257.219,457.712,90.098,533.502,160.405,437.474,212.645,480.494,230.866,466.569
386.482,422.296,369.632,425.204,275.13,441.279,248.079,455.218,219.827,466.085,176.512,456.845,142.774,423.419,356.009,573.582,364.293,539.017,313.809,480.071,344.367,434.417,252.067,534.398,281.396,450.399,245.505,476.617,257.118,457.652,90.098,533.497,160.405,437.422,212.402,480.494,230.616,466.558
386.319,422.237,369.554,425.102,275.039,441.241,247.917,455.206,219.778,466.042,176.258,456.8,142.597,423.11,355.82,573.582,364.293,538.984,313.729,480.071,344.266,434.365,252.048,534.41,281.394,450.041,245.445,476.617,257.062,457.548,90.1,533.495,160.39,437.403,212.254,480.507,230.61,466.418
386.23,422.132,369.419,425.049,274.967,441.241,247.855,455.204,219.649,466.042,176.133,456.741,142.568,423.048,355.731,573.582,364.045,538.967,313.561,480.102,344.227,434.336,252.024,534.42,281.352,449.861,245.32,476.617,256.991,457.502,90.098,533.49,160.375,437.366,212.199,480.511,230.506,466.401
386.139,422.073,369.31,424.937,274.913,441.23,247.745,455.147,219.596,466.042,176.126,456.602,142.548,423.036,355.731,573.582,363.916,538.957,313.557,480.132,344.113,434.196,252.024,534.428,281.348,449.652,245.166,476.616,256.982,457.43,90.098,533.485,160.168,437.312,212.057,480.511,230.398,466.398
386.077,422.008,369.224,424.922,274.726,441.2,247.568,455.105,219.42,466.06,175.881,456.507,142.549,422.875,355.653,573.582,363.908,538.932,313.553,480.154,343.976,434.156,252.024,534.433,281.348,449.486,245.086,476.616,256.901,457.392,90.074,533.451,159.874,437.262,211.868,480.526,230.242,466.39
385.932,421.866,369.09,424.858,274.726,441.181,247.493,455.096,219.222,466.087,175.761,456.497,142.548,422.764,355.503,573.403,363.779,538.836,313.492,480.155,343.815,434.059,252.047,534.433,281.348,449.394,245.017,476.61,256.841,457.386,90.074,533.451,159.872,437.221,211.79,480.526,230.056,466.396
385.749,421.835,369.019,424.813,274.723,441.181,247.377,455.059,219.083,466.11,175.656,456.457,142.543,422.623,355.451,573.382,363.779,538.836,313.37,480.155,343.75,434.009,252.055,534.439,281.447,449.237,244.911,476.588,256.761,457.322,90.074,533.451,159.839,437.192,211.745,480.526,229.899,466.39
385.532,421.721,368.86,424.714,274.665,441.076,247.315,455.002,218.873,466.11,175.353,456.376,142.537,422.435,355.24,573.295,363.778,538.834,313.2,480.154,343.728,434.003,252.055,534.439,281.447,449.189,244.829,476.574,256.701,457.313,90.081,533.453,159.839,437.127,211.578,480.525,229.701,466.372
