Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
324.103,389.794,323.453,400.168,301.406,478.783,293.427,501.695,281.165,520.327,245.81,541.876,201.261,528.906,413.628,511.125,392.999,491.528,343.518,464.815,317.972,420.726,347.822,577.384,331.728,517.202,302.735,515.409,300.135,494.426,260.189,580.871,275.702,522.778,288.121,531.417,289.855,512.847
324.103,389.794,323.46,400.168,301.406,478.783,293.427,501.719,281.165,520.389,245.852,542.106,201.28,529.034,413.644,511.238,392.999,491.58,343.518,464.835,317.993,420.803,347.824,577.39,331.799,517.202,302.775,515.46,300.173,494.49,260.198,580.894,275.733,522.959,288.145,531.582,289.855,512.924
324.103,389.794,323.46,400.168,301.406,478.783,293.427,501.775,281.165,520.414,245.923,542.115,201.309,529.063,413.676,511.238,392.999,491.675,343.518,464.885,317.993,420.86,347.824,577.39,331.799,517.202,302.775,515.517,300.173,494.573,260.198,580.901,275.795,522.959,288.176,531.591,289.855,512.965
324.018,389.761,323.453,400.154,301.404,478.293,293.377,501.824,281.141,520.435,245.918,542.12,201.309,529.069,413.701,511.237,392.864,491.746,343.506,464.957,317.972,420.868,347.824,577.397,331.784,517.183,302.754,515.521,300.173,494.577,260.198,580.901,275.795,522.974,288.151,531.593,289.824,512.978
324.018,389.629,323.359,400.154,301.363,478.29,293.375,501.856,281.103,520.492,245.891,542.134,201.309,529.069,413.701,511.23,392.842,491.789,343.31,464.966,317.932,420.964,347.838,577.397,331.728,517.17,302.744,515.544,300.138,494.579,260.194,580.906,275.859,522.974,288.145,531.626,289.794,513.018
324.018,389.629,323.342,400.154,301.363,478.278,293.318,501.856,281.067,520.492,245.891,542.258,201.474,529.295,413.676,511.237,392.824,491.817,343.31,464.982,317.92,420.978,347.879,577.39,331.721,517.141,302.754,515.544,300.097,494.581,260.141,580.913,275.879,522.974,288.145,531.642,289.777,513.036
324.02,389.629,323.267,400.195,301.344,478.29,293.317,501.856,281.055,520.492,245.918,542.258,201.474,529.324,413.509,511.237,392.702,492.031,343.38,465.014,317.893,420.979,347.899,577.404,331.717,517.141,302.754,515.544,300.065,494.581,260.136,580.913,275.901,523.147,288.111,531.663,289.743,513.036
324.024,389.784,323.229,400.279,301.34,478.29,293.305,501.812,281.007,520.492,245.918,542.261,201.474,529.365,413.509,511.383,392.631,492.055,343.365,465.204,317.786,421.122,347.899,577.408,331.615,517.17,304.381,515.009,300.061,494.579,260.13,580.938,275.927,523.147,288.111,531.664,289.743,513.036
324.024,389.89,323.086,400.583,301.344,478.79,293.251,501.801,280.996,520.492,245.991,542.28,201.418,529.408,413.461,511.421,392.624,492.101,343.365,465.358,317.717,421.226,347.879,577.408,331.528,517.268,304.402,514.971,300.061,494.451,260.129,580.946,275.936,523.147,288.071,531.669,289.743,513.021
324.024,389.98,322.994,400.676,301.348,478.79,293.251,501.801,280.996,520.522,246.007,542.362,201.418,529.411,413.461,511.539,392.597,492.17,343.365,465.476,317.624,421.226,347.762,577.408,331.506,517.268,304.402,514.971,300.061,494.437,260.128,580.955,276.091,522.967,288.071,531.868,289.764,513.021
324.022,389.985,322.927,400.698,301.34,478.795,293.251,501.801,280.996,520.568,246.021,542.367,201.418,529.441,413.461,511.73,392.577,492.334,343.267,465.582,317.577,421.238,347.737,577.408,331.506,517.268,304.402,514.971,300.068,494.437,260.12,580.955,276.091,522.944,288.071,531.901,289.764,513.021
324.022,389.987,322.923,400.703,301.34,478.79,293.251,501.815,281.021,520.597,246.098,542.379,201.448,529.485,413.504,511.791,392.44,492.577,343.203,465.595,317.576,421.248,347.702,577.408,331.528,517.254,304.466,515.133,300.075,494.437,260.117,580.972,276.093,522.897,288.071,531.908,289.764,513.039
323.975,390.055,322.875,400.743,301.322,478.795,293.257,501.95,281.035,520.597,246.098,542.422,201.476,529.536,413.489,511.895,392.372,492.7,343.093,465.623,317.572,421.248,347.702,577.404,331.495,517.254,304.476,515.153,300.09,494.573,260.114,580.972,276.096,522.872,288.071,531.995,289.764,513.086
323.971,390.12,322.855,400.754,301.298,478.741,293.257,501.95,281.039,520.597,246.098,542.62,201.573,529.829,413.489,512.189,392.259,492.7,342.901,465.641,317.507,421.352,347.702,577.404,331.484,517.253,304.502,515.221,300.09,494.593,260.086,580.982,276.136,522.862,288.072,531.995,289.75,513.086
