Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
407.757,409.771,400.829,421.788,376.458,464.825,366.426,485.033,353.048,501.952,322.539,498.519,296.234,478.081,450.823,529.099,439.457,505.143,395.783,477.661,394.963,438.248,407.5,540.999,397.201,496.662,373.326,499.907,373.127,480.722,343.624,542.14,352.47,473.087,353.321,514.988,360.14,497.384
407.758,409.798,400.829,421.892,376.458,464.917,366.426,485.048,353.048,501.965,322.539,498.524,296.234,478.153,450.823,529.147,439.457,505.143,395.808,477.778,394.963,438.305,407.5,541.014,397.201,496.737,373.336,499.916,373.127,480.743,343.624,542.177,352.476,473.087,353.321,514.988,360.144,497.384
407.758,409.823,400.834,421.897,376.458,464.96,366.426,485.05,353.048,501.973,322.539,498.567,296.234,478.322,450.823,529.147,439.457,505.143,395.814,477.799,394.963,438.327,407.5,541.028,397.201,496.794,373.336,499.919,373.127,480.751,343.624,542.185,352.476,473.087,353.337,514.992,360.153,497.384
407.758,409.823,400.834,421.897,376.435,464.963,366.426,485.05,353.048,501.975,322.411,498.614,296.111,478.336,450.797,529.147,439.457,505.139,395.831,477.805,394.958,438.327,407.466,541.029,397.192,496.801,373.331,499.922,373.119,480.751,343.624,542.185,352.476,473.087,353.337,514.988,360.153,497.376
407.756,409.827,400.828,421.897,376.413,464.963,366.424,485.05,353.049,501.976,322.401,498.626,296.074,478.374,450.752,529.147,439.402,505.107,395.831,477.816,394.957,438.327,407.456,541.038,397.185,496.805,373.326,499.922,373.107,480.751,343.624,542.198,352.472,473.087,353.337,514.982,360.166,497.371
407.676,409.823,400.793,421.855,376.373,464.962,366.418,485.048,353.049,501.976,322.383,498.643,296.038,478.451,450.69,529.124,439.396,505.061,395.814,477.83,394.871,438.216,407.415,541.102,397.178,496.838,373.307,499.922,373.095,480.743,343.67,542.209,352.454,473.102,353.335,514.982,360.19,497.369
407.651,409.815,400.767,421.848,376.367,464.973,366.414,485.05,353.049,501.98,322.401,498.799,295.981,478.614,450.69,529.124,439.389,505.044,395.704,477.839,394.869,438.207,407.415,541.104,397.167,496.844,373.283,499.922,373.068,480.751,343.67,542.209,352.449,473.122,353.335,514.992,360.19,497.371
407.644,409.815,400.76,421.823,376.358,464.973,366.404,485.05,353.049,501.984,322.366,498.857,295.96,478.636,450.69,529.137,439.356,505.03,395.677,477.855,394.846,438.163,407.415,541.107,397.116,496.845,373.267,499.927,373.055,480.77,343.67,542.213,352.421,473.122,353.333,514.993,360.19,497.369
407.626,409.827,400.698,421.819,376.317,464.979,366.393,485.078,353.036,501.997,322.366,498.906,295.96,478.871,450.699,529.137,439.287,505.017,395.623,477.855,394.842,438.163,407.424,541.118,397.116,496.855,373.236,499.946,373.0,480.781,343.67,542.217,352.417,473.122,353.298,515.006,360.157,497.351
407.556,409.817,400.654,421.81,376.309,464.982,366.369,485.085,352.957,502.026,322.339,498.989,295.8,478.883,450.699,529.132,439.277,505.003,395.548,477.861,394.842,438.159,407.448,541.143,397.083,496.879,373.215,499.98,372.983,480.785,343.703,542.244,352.412,473.125,353.251,515.052,360.146,497.332
