Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
561.008,497.371,547.426,505.475,495.078,535.786,473.137,550.994,455.222,559.962,428.545,542.306,441.583,499.526,602.275,590.248,585.919,569.804,526.908,559.493,532.183,520.033,477.107,615.06,497.577,565.862,472.121,567.462,480.942,552.03,405.183,617.275,455.589,547.264,449.772,573.823,460.999,560.928
561.008,497.417,547.427,505.522,495.078,535.806,473.137,551.005,455.224,559.991,428.562,542.401,441.598,499.572,602.305,590.295,585.956,569.855,526.975,559.497,532.183,520.062,477.107,615.061,497.606,565.864,472.125,567.475,480.945,552.053,405.209,617.291,455.619,547.308,449.798,573.839,461.002,560.97
561.009,497.418,547.427,505.522,495.078,535.809,473.137,551.016,455.224,559.995,428.562,542.41,441.598,499.59,602.329,590.426,585.966,569.927,527.011,559.573,532.185,520.065,477.108,615.068,497.612,565.867,472.125,567.475,480.945,552.054,405.211,617.294,455.621,547.31,449.798,573.84,461.002,560.976
561.008,497.422,547.427,505.523,495.066,535.81,473.137,551.028,455.224,560.002,428.545,542.417,441.598,499.594,602.521,590.488,585.975,569.962,527.011,559.577,532.185,520.066,477.108,615.061,497.614,565.867,472.125,567.477,480.942,552.064,405.211,617.305,455.623,547.332,449.798,573.84,460.999,560.978
561.004,497.44,547.427,505.534,495.066,535.852,473.137,551.072,455.224,560.004,428.55,542.42,441.611,499.634,602.575,590.629,586.092,570.036,527.011,559.59,532.185,520.066,477.117,615.068,497.642,565.885,472.096,567.476,480.896,552.121,405.211,617.315,455.639,547.363,449.768,573.84,460.943,561.028
560.948,497.446,547.421,505.577,495.066,535.855,473.139,551.072,455.216,560.013,428.541,542.568,441.701,499.653,602.607,590.678,586.143,570.094,526.971,559.594,532.206,520.068,477.119,615.078,497.647,565.939,472.079,567.475,480.881,552.144,405.211,617.322,455.697,547.428,449.766,573.84,460.935,561.089
560.948,497.497,547.418,505.62,495.074,535.868,473.145,551.078,455.191,560.015,428.539,542.651,441.702,499.653,602.63,590.678,586.148,570.126,526.93,559.646,532.216,520.069,477.174,615.078,497.668,565.939,472.077,567.464,480.881,552.144,405.215,617.348,455.697,547.45,449.761,573.829,460.919,561.098
560.948,497.497,547.418,505.621,495.074,535.873,473.145,551.078,455.197,560.033,428.541,542.651,441.702,499.66,602.661,590.698,586.148,570.139,526.885,559.655,532.232,520.069,477.174,615.078,497.676,565.951,472.074,567.476,480.881,552.144,405.216,617.351,455.697,547.45,449.761,573.829,460.919,561.101
560.957,497.497,547.418,505.643,495.09,535.901,473.145,551.082,455.197,560.033,428.541,542.651,441.701,499.672,602.688,590.727,586.148,570.191,526.883,559.696,532.232,520.073,477.174,615.078,497.677,565.951,472.074,567.476,480.893,552.143,405.216,617.355,455.7,547.428,449.745,573.829,460.926,561.101
560.988,497.509,547.43,505.663,495.09,535.963,473.135,551.124,455.188,560.066,428.541,542.631,441.689,499.672,602.709,590.727,586.166,570.222,526.873,559.733,532.232,520.188,477.174,615.016,497.687,565.965,472.067,567.496,480.96,551.61,405.216,617.367,455.7,547.368,449.741,573.846,460.92,561.101
561.007,497.509,547.435,505.667,495.085,535.967,473.132,551.165,455.181,560.087,428.54,542.611,441.678,499.672,602.725,590.669,586.166,570.251,526.848,559.733,532.224,520.193,477.174,615.007,497.734,565.965,472.059,567.562,480.967,551.596,405.207,617.387,455.688,547.345,449.724,573.906,460.926,561.133
561.007,497.509,547.444,505.683,495.083,535.967,473.132,551.178,455.181,560.093,428.543,542.609,441.676,499.672,603.833,590.669,586.146,570.251,526.818,559.733,532.214,520.203,477.154,615.007,497.734,565.98,472.055,567.634,480.98,551.593,405.206,617.387,455.688,547.339,449.745,573.964,460.948,561.142
561.0,497.538,547.445,505.69,495.085,535.963,473.132,551.178,455.179,560.123,428.543,542.609,441.672,499.672,603.929,590.669,586.146,570.251,526.77,559.695,532.214,520.226,477.154,615.016,497.734,565.986,472.055,567.703,480.98,551.593,405.206,617.387,455.688,547.339,449.745,574.044,460.941,561.157
561.0,497.664,547.454,505.785,495.085,535.925,473.136,551.178,455.164,560.148,428.576,542.609,441.57,499.767,603.954,590.577,585.586,568.854,526.751,559.695,532.214,520.239,477.142,615.067,497.646,566.065,472.055,567.705,481.003,551.584,405.206,617.387,455.65,547.345,449.771,574.046,460.941,561.167
560.998,497.702,547.454,505.797,495.095,535.925,473.138,551.17,455.163,560.158,428.576,542.648,441.499,499.844,603.964,590.577,585.586,568.854,526.733,559.695,532.216,520.267,477.138,615.068,497.64,566.07,472.059,567.709,481.007,551.575,405.211,617.39,455.642,547.385,449.806,574.046,460.948,561.172
560.988,497.749,547.455,505.827,495.101,535.919,473.138,551.169,455.148,560.158,428.576,542.673,441.415,499.965,603.954,590.435,585.586,568.854,526.703,559.695,532.218,520.276,477.136,615.068,497.627,566.09,472.055,567.709,481.007,551.575,405.211,617.39,455.642,547.416,449.836,574.054,460.941,561.186
560.988,497.845,547.456,505.881,495.116,535.918,473.138,551.157,455.139,560.166,428.576,542.737,441.315,500.019,603.954,590.435,585.592,568.881,526.701,559.71,532.229,520.336,477.133,615.071,497.605,566.09,472.055,567.709,481.007,551.584,405.214,617.39,455.642,547.441,449.84,574.054,460.937,561.188
