Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
463.392,433.971,458.824,447.606,439.444,503.588,431.848,528.935,419.335,550.461,385.238,557.713,354.474,526.516,548.975,519.641,523.777,505.251,469.686,510.719,455.203,468.259,477.006,610.012,464.188,565.484,443.463,545.012,439.639,518.637,371.611,616.932,390.806,539.197,421.342,561.822,426.446,544.19
463.395,433.971,458.834,447.623,439.444,503.616,431.855,528.936,419.37,550.461,385.24,557.714,354.478,526.516,548.975,519.676,523.805,505.251,469.691,510.769,455.233,468.276,477.036,610.052,464.201,565.539,443.477,545.012,439.639,518.651,371.611,616.967,390.806,539.201,421.346,561.864,426.463,544.19
463.413,433.971,458.834,447.627,439.444,503.616,431.859,528.936,419.377,550.482,385.247,557.717,354.478,526.517,548.975,519.691,523.809,505.252,469.694,510.769,455.234,468.276,477.036,610.055,464.21,565.558,443.48,545.013,439.64,518.651,371.617,616.967,390.806,539.202,421.348,561.867,426.463,544.19
463.413,433.96,458.824,447.628,439.44,503.616,431.864,528.936,419.402,550.482,385.256,557.719,354.478,526.516,548.975,519.691,523.811,505.251,469.694,510.769,455.239,468.276,477.036,610.055,464.21,565.558,443.484,545.013,439.639,518.651,371.611,616.967,390.793,539.202,421.358,561.867,426.472,544.185
463.411,433.955,458.821,447.653,439.433,503.591,431.871,528.935,419.419,550.455,385.263,557.725,354.478,526.514,548.975,519.705,523.824,505.246,469.694,510.769,455.239,468.248,477.037,610.052,464.21,565.558,443.486,545.012,439.64,518.637,371.615,616.967,390.793,539.223,421.368,561.864,426.484,544.182
463.411,433.955,458.797,447.67,439.431,503.582,431.887,528.929,419.425,550.43,385.263,557.732,354.478,526.512,549.01,519.705,523.842,505.245,469.703,510.769,455.244,468.246,477.037,610.031,464.21,565.543,443.488,545.008,439.646,518.627,371.611,616.967,390.778,539.223,421.376,561.84,426.51,544.121
463.409,433.945,458.795,447.67,439.43,503.578,431.906,528.929,419.425,550.428,385.256,557.749,354.478,526.502,549.023,519.688,523.88,505.231,469.723,510.765,455.244,468.246,477.039,610.031,464.21,565.536,443.486,545.0,439.651,518.61,371.609,616.963,390.778,539.202,421.376,561.838,426.513,544.12
463.406,433.945,458.791,447.671,439.429,503.562,431.906,528.929,419.428,550.428,385.25,557.776,354.478,526.496,549.059,519.681,523.88,505.221,469.723,510.766,455.244,468.248,477.044,610.031,464.204,565.534,443.486,545.0,439.651,518.61,371.606,616.963,390.778,539.184,421.378,561.838,426.513,544.12
463.394,433.945,458.791,447.671,439.429,503.554,431.906,528.939,419.428,550.428,385.247,557.781,354.479,526.482,549.104,519.64,523.883,505.221,469.723,510.773,455.24,468.254,477.082,610.037,464.203,565.43,443.477,545.008,439.651,518.61,371.601,616.963,390.815,539.179,421.376,561.838,426.51,544.12
463.394,433.961,458.791,447.671,439.382,503.554,431.888,529.016,419.415,550.495,385.213,557.781,354.479,526.466,549.12,519.584,523.88,505.202,469.707,510.766,455.223,468.254,477.082,610.037,464.203,565.39,443.453,545.05,439.626,518.645,371.591,616.941,390.815,539.176,421.376,561.86,426.449,544.179
463.394,433.963,458.798,447.671,439.362,503.554,431.877,529.019,419.415,550.503,385.213,557.776,354.466,526.466,549.12,519.584,523.88,505.2,469.698,510.766,455.217,468.258,477.082,610.037,464.203,565.384,443.453,545.05,439.621,518.655,371.591,616.941,390.825,539.152,421.379,561.861,426.435,544.181
463.394,433.965,458.798,447.671,439.346,503.567,431.873,529.032,419.415,550.523,385.178,557.776,354.426,526.466,549.104,519.564,523.881,505.2,469.698,510.766,455.216,468.258,477.075,610.037,464.199,565.384,443.447,545.051,439.599,518.67,371.591,616.941,390.836,539.176,421.368,561.866,426.427,544.204
463.394,433.965,458.798,447.679,439.344,503.595,431.838,529.039,419.385,550.541,385.154,557.751,354.399,526.539,548.847,519.549,523.883,505.17,469.704,510.769,455.216,468.252,477.058,610.035,464.198,565.384,443.447,545.051,439.586,518.685,371.597,616.936,390.855,539.179,421.351,561.866,426.395,544.237
463.306,433.977,458.738,447.718,439.337,503.599,431.794,529.048,419.333,550.546,385.142,557.678,354.392,526.539,548.847,519.549,523.937,505.17,469.707,510.769,455.153,468.183,477.034,609.863,464.094,565.475,443.418,545.094,439.538,518.734,371.604,616.936,390.864,539.193,421.351,561.866,426.387,544.249
463.292,433.98,458.712,447.718,439.326,503.609,431.791,529.053,419.329,550.548,385.142,557.676,354.389,526.539,548.847,519.549,523.942,505.17,469.708,510.79,455.151,468.183,476.995,609.799,464.029,565.507,443.417,545.102,439.532,518.741,371.656,616.912,390.87,539.206,421.346,561.866,426.381,544.251
463.254,434.021,458.709,447.723,439.312,503.609,431.759,529.056,419.314,550.546,385.134,557.668,354.387,526.538,548.865,519.549,523.942,505.17,469.708,510.792,455.139,468.183,476.969,609.782,463.942,565.558,443.405,545.114,439.5,518.741,371.656,616.885,390.87,539.206,421.344,561.85,426.375,544.251
463.242,434.034,458.698,447.723,439.275,503.619,431.753,529.056,419.311,550.546,385.107,557.668,354.382,526.398,548.869,519.549,523.937,505.17,469.708,510.793,455.138,468.192,476.948,609.765,463.908,565.559,443.372,545.114,439.474,518.741,371.656,616.885,390.864,539.206,421.34,561.847,426.363,544.249
463.23,434.034,458.617,447.762,439.251,503.627,431.661,529.056,419.311,550.492,385.043,557.668,354.261,526.388,548.869,519.539,523.927,505.152,469.709,510.793,455.134,468.3,476.9,609.756,463.908,565.787,443.36,545.113,439.407,518.717,371.62,616.885,390.856,539.112,421.338,561.796,426.352,544.194
463.205,434.034,458.59,447.768,439.25,503.627,431.657,529.056,419.311,550.492,385.032,557.668,354.258,526.382,548.869,519.521,523.927,505.142,469.68,510.793,455.13,468.3,476.896,609.744,463.908,565.787,443.359,545.113,439.407,518.714,371.62,616.887,390.851,539.111,421.338,561.796,426.349,544.19
463.205,434.094,458.587,447.768,439.249,503.619,431.622,529.056,419.28,550.454,384.969,557.668,354.243,526.326,548.869,519.482,523.927,505.109,469.668,510.789,455.128,468.304,476.894,609.744,463.935,565.787,443.353,545.095,439.407,518.684,371.62,616.887,390.815,539.111,421.34,561.795,426.332,544.163
463.165,434.098,458.587,447.766,439.239,503.614,431.613,529.052,419.28,550.437,384.936,557.684,354.243,526.326,548.879,519.47,523.99,504.993,469.668,510.789,455.116,468.307,476.894,609.756,463.985,565.763,443.353,545.058,439.407,518.634,371.62,616.896,390.776,539.089,421.34,561.788,426.329,544.152
463.106,434.131,458.583,447.762,439.236,503.609,431.612,529.004,419.263,550.41,384.919,557.692,354.243,526.326,548.98,519.469,524.003,504.928,469.668,510.789,455.053,468.324,476.894,609.773,464.012,565.763,443.353,544.996,439.407,518.617,371.626,616.9,390.596,539.08,421.344,561.776,426.32,544.119
463.106,434.137,458.583,447.761,439.212,503.585,431.612,528.988,419.262,550.41,384.904,557.697,354.251,526.375,549.01,519.469,524.003,504.921,469.659,510.79,455.045,468.338,476.88,609.78,464.012,565.76,443.366,544.996,439.378,518.614,371.633,616.887,390.587,539.038,421.355,561.776,426.315,544.119
463.095,434.172,458.574,447.761,439.209,503.582,431.612,528.985,419.253,550.41,384.884,557.707,354.251,526.375,549.01,519.453,524.003,504.888,469.652,510.792,455.029,468.338,476.88,609.791,464.012,565.753,443.385,544.996,439.373,518.598,371.639,616.883,390.587,538.987,421.355,561.776,426.309,544.119
463.089,434.187,458.574,447.757,439.208,503.577,431.612,528.985,419.239,550.432,384.877,557.707,354.255,526.375,549.01,519.419,523.976,504.888,469.65,510.796,455.029,468.338,476.88,609.807,463.987,565.734,443.388,545.011,439.373,518.598,371.639,616.9,390.596,538.864,421.329,561.788,426.305,544.129
463.089,434.187,458.553,447.751,439.208,503.576,431.604,528.985,419.222,550.468,384.835,557.707,354.251,526.355,548.912,519.26,523.93,504.888,469.622,510.805,454.998,468.281,476.88,609.812,463.976,565.73,443.388,545.026,439.363,518.598,371.639,616.9,390.596,538.842,421.329,561.836,426.29,544.181
463.089,434.187,458.54,447.744,439.208,503.572,431.599,528.99,419.218,550.476,384.832,557.704,354.255,526.35,548.912,519.217,523.93,504.882,469.622,510.805,454.998,468.273,476.891,609.839,463.973,565.73,443.388,545.031,439.361,518.596,371.633,616.883,390.625,538.842,421.318,561.862,426.28,544.184
463.089,434.168,458.533,447.74,439.208,503.572,431.595,528.993,419.211,550.5,384.803,557.699,354.258,526.33,548.912,519.156,523.93,504.879,469.621,510.805,454.998,468.253,476.894,609.84,463.972,565.734,443.386,545.041,439.357,518.598,371.628,616.892,390.642,538.841,421.314,561.882,426.28,544.219
463.108,434.15,458.529,447.738,439.207,503.572,431.592,528.994,419.19,550.508,384.799,557.685,354.255,526.33,549.022,519.089,523.96,504.856,469.621,510.805,454.998,468.253,476.933,609.882,463.968,565.735,443.379,545.042,439.356,518.61,371.627,616.892,390.643,538.817,421.303,561.909,426.276,544.22
463.134,434.108,458.521,447.735,439.208,503.585,431.591,529.002,419.173,550.533,384.799,557.685,354.255,526.33,549.034,518.986,523.96,504.855,469.621,510.805,454.998,468.253,476.936,609.906,463.967,565.735,443.375,545.054,439.354,518.612,371.627,616.886,390.66,538.783,421.295,561.943,426.265,544.236
463.134,434.108,458.516,447.738,439.22,503.597,431.588,529.003,419.171,550.533,384.803,557.685,354.255,526.343,549.077,518.97,523.96,504.851,469.623,510.805,454.998,468.263,476.948,609.907,463.961,565.735,443.375,545.06,439.346,518.619,371.624,616.882,390.671,538.767,421.295,561.946,426.261,544.249
463.134,434.092,458.529,447.735,439.223,503.611,431.589,529.017,419.165,550.545,384.807,557.665,354.255,526.346,549.077,518.952,523.903,504.815,469.621,510.832,454.998,468.265,476.948,609.907,463.96,565.735,443.375,545.063,439.346,518.628,371.603,616.882,390.672,538.74,421.293,561.946,426.253,544.25
463.132,434.092,458.529,447.735,439.227,503.611,431.589,529.017,419.165,550.545,384.819,557.663,354.255,526.35,549.077,518.926,523.897,504.784,469.623,510.836,454.99,468.266,476.948,609.906,463.959,565.735,443.383,545.067,439.346,518.628,371.603,616.851,390.672,538.74,421.295,561.946,426.253,544.25
463.109,434.08,458.535,447.7,439.236,503.611,431.591,529.016,419.165,550.545,384.827,557.662,354.255,526.35,549.07,518.829,523.834,504.758,469.628,510.836,454.993,468.265,476.903,609.858,463.924,565.739,443.384,545.076,439.345,518.623,371.602,616.851,390.674,538.74,421.301,561.946,426.253,544.25
463.109,434.066,458.535,447.7,439.237,503.599,431.594,529.014,419.178,550.545,384.827,557.662,354.276,526.35,549.07,518.796,523.776,504.662,469.63,510.838,454.989,468.265,476.903,609.845,463.924,565.739,443.388,545.076,439.346,518.619,371.603,616.846,390.674,538.744,421.306,561.942,426.266,544.25
463.105,434.066,458.543,447.7,439.237,503.593,431.596,529.014,419.185,550.545,384.827,557.662,354.276,526.35,549.07,518.752,523.776,504.66,469.643,510.838,454.988,468.265,476.903,609.841,463.924,565.739,443.39,545.08,439.347,518.619,371.612,616.842,390.674,538.747,421.309,561.939,426.27,544.25
463.099,434.066,458.543,447.711,439.257,503.586,431.609,528.988,419.199,550.516,384.819,557.662,354.28,526.319,549.104,518.651,523.776,504.57,469.655,510.836,454.984,468.262,476.925,609.841,463.954,565.734,443.397,545.082,439.351,518.605,371.621,616.841,390.681,538.765,421.332,561.917,426.287,544.217
463.09,434.088,458.55,447.742,439.257,503.543,431.644,528.978,419.204,550.516,384.81,557.616,354.28,526.284,549.162,518.651,523.789,504.565,469.659,510.834,454.949,468.255,476.938,609.841,463.959,565.734,443.407,545.083,439.382,518.574,371.621,616.831,390.681,538.77,421.346,561.917,426.329,544.206
463.076,434.088,458.55,447.743,439.257,503.539,431.644,528.973,419.205,550.509,384.81,557.609,354.282,526.284,549.177,518.65,523.819,504.558,469.692,510.834,454.949,468.237,476.938,609.841,463.96,565.733,443.411,545.099,439.393,518.559,371.621,616.823,390.655,538.77,421.346,561.917,426.334,544.199
463.076,434.102,458.55,447.749,439.249,503.535,431.644,528.961,419.21,550.509,384.81,557.576,354.282,526.188,549.182,518.65,523.884,504.518,469.705,510.815,454.938,468.234,476.938,609.841,463.975,565.733,443.422,545.116,439.393,518.556,371.637,616.817,390.704,538.767,421.346,561.917,426.344,544.199
463.076,434.103,458.541,447.776,439.243,503.521,431.644,528.953,419.229,550.516,384.799,557.537,354.287,526.188,549.213,518.65,523.925,504.472,469.709,510.804,454.938,468.225,476.928,609.851,463.975,565.709,443.422,545.118,439.393,518.556,371.637,616.823,390.664,538.77,421.361,561.917,426.348,544.206
463.077,434.127,458.535,447.776,439.241,503.521,431.652,528.953,419.237,550.523,384.789,557.531,354.317,526.188,549.223,518.65,523.946,504.445,469.728,510.765,454.938,468.227,476.928,609.854,463.975,565.709,443.422,545.123,439.375,518.556,371.64,616.811,390.664,538.77,421.376,561.914,426.355,544.206
463.077,434.145,458.529,447.781,439.241,503.521,431.652,528.953,419.248,550.528,384.799,557.531,354.328,526.188,549.25,518.578,523.946,504.377,469.74,510.743,454.924,468.227,476.928,609.854,463.975,565.709,443.419,545.137,439.364,518.556,371.676,616.818,390.683,538.767,421.378,561.914,426.355,544.208
463.077,434.156,458.519,447.781,439.233,503.521,431.64,528.953,419.248,550.53,384.776,557.537,354.339,526.167,549.223,518.523,523.946,504.339,469.742,510.738,454.924,468.227,476.941,609.855,463.974,565.709,443.417,545.138,439.364,518.56,371.681,616.811,390.683,538.753,421.378,561.919,426.355,544.211
463.06,434.156,458.516,447.781,439.224,503.545,431.64,528.967,419.248,550.54,384.776,557.545,354.339,526.167,549.25,518.383,523.928,504.262,469.773,510.734,454.924,468.227,476.985,609.854,463.968,565.709,443.411,545.156,439.35,518.608,371.682,616.795,390.679,538.753,421.378,561.92,426.342,544.224
463.018,434.127,458.462,447.751,439.221,503.55,430.872,530.687,419.203,550.579,384.774,557.563,354.338,526.182,549.258,518.23,523.905,504.23,469.794,510.734,454.941,468.227,476.985,609.85,463.949,565.691,443.4,545.285,439.348,518.632,371.699,616.795,390.683,538.711,421.318,561.999,426.285,544.272
