Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
417.574,408.469,404.302,415.363,334.257,454.799,314.551,470.642,294.945,480.13,256.001,489.886,215.693,458.884,408.428,554.809,411.578,524.533,367.733,476.201,386.835,430.265,343.507,551.971,352.406,485.594,317.069,488.987,321.859,471.554,231.041,556.421,249.931,465.221,287.314,492.64,301.72,481.059
417.574,408.515,404.302,415.366,334.257,454.799,314.556,470.642,294.945,480.13,256.001,489.914,216.843,458.984,408.428,554.809,411.578,524.533,367.733,476.207,386.835,430.269,343.529,551.971,352.406,485.714,317.069,488.987,321.867,471.559,231.041,556.454,249.931,465.221,287.333,492.64,301.72,481.059
417.574,408.534,404.302,415.366,334.257,454.801,314.556,470.642,294.945,480.13,256.001,489.921,216.843,458.984,408.428,554.809,411.578,524.533,367.733,476.23,386.835,430.269,343.555,551.981,352.408,485.826,317.069,488.987,321.867,471.559,231.041,556.48,249.931,465.221,287.333,492.641,301.72,481.059
417.491,408.519,404.272,415.363,334.217,454.801,314.551,470.642,294.907,480.13,255.933,489.921,216.843,458.984,408.372,554.746,411.422,524.466,367.593,476.23,386.75,430.265,343.57,551.971,352.408,485.826,317.024,488.989,321.859,471.559,231.024,556.482,249.931,465.002,287.333,492.641,301.72,481.059
417.467,408.515,404.259,415.366,334.181,454.772,314.495,470.651,294.863,480.13,255.896,489.914,216.653,458.953,408.337,554.73,411.374,524.456,367.551,476.226,386.729,430.243,343.584,551.981,352.408,485.826,316.97,488.989,321.83,471.559,231.024,556.482,249.924,464.953,287.273,492.684,301.67,481.059
417.422,408.519,404.208,415.371,334.157,454.762,314.431,470.668,294.799,480.175,255.869,489.914,216.647,458.953,408.306,554.684,411.196,524.289,367.538,476.226,386.687,430.18,343.584,551.971,352.481,485.652,316.954,489.106,321.783,471.578,231.022,556.491,249.924,464.901,287.156,492.805,301.473,481.191
417.396,408.565,404.182,415.371,334.089,454.748,314.369,470.691,294.69,480.255,255.86,489.921,216.593,458.953,408.236,554.684,411.188,524.282,367.536,476.181,386.634,430.128,343.584,551.981,352.481,485.652,316.897,489.236,321.708,471.662,231.021,556.505,249.937,464.883,287.071,492.947,301.294,481.268
417.375,408.565,404.166,415.38,334.029,454.739,314.328,470.729,294.604,480.324,255.86,489.94,216.593,459.215,408.12,554.684,411.183,524.25,367.475,476.155,386.544,430.062,343.57,551.958,352.507,485.635,316.841,489.309,321.549,471.795,230.993,556.526,250.074,464.86,286.948,493.047,301.101,481.403
417.348,408.586,404.156,415.383,334.021,454.721,314.327,470.73,294.499,480.324,255.738,489.942,216.508,459.246,408.056,554.768,411.119,524.184,367.431,476.155,386.544,430.062,343.562,551.958,352.498,485.577,316.791,489.344,321.473,471.803,230.921,556.527,250.102,464.851,286.845,493.1,300.991,481.403
417.158,408.598,404.024,415.383,333.992,454.721,314.26,470.751,294.499,480.324,255.654,489.972,216.383,459.278,408.011,554.768,410.905,524.119,367.327,476.125,386.544,430.062,343.562,551.937,352.498,485.539,316.708,489.347,321.397,471.811,230.876,556.57,250.176,464.781,286.83,493.1,300.975,481.403
417.059,408.615,403.933,415.38,333.954,454.721,314.253,470.751,294.499,480.295,255.653,489.985,216.283,459.311,407.956,554.794,410.755,524.03,367.308,476.062,387.282,430.135,343.589,551.925,352.481,485.457,316.677,489.347,321.351,471.811,230.852,556.609,250.182,464.756,286.83,493.1,300.975,481.358
