Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
459.494,366.413,448.231,372.097,414.71,395.772,403.133,403.974,390.8,413.66,369.838,406.128,359.839,388.436,465.749,432.514,458.668,417.18,426.511,401.231,441.092,380.332,406.043,449.888,421.545,416.852,400.91,414.794,407.006,405.335,365.782,453.008,388.781,400.707,389.645,421.016,394.223,412.834
459.552,366.423,448.273,372.099,414.712,395.774,403.133,403.976,390.803,413.662,369.839,406.128,359.854,388.436,465.852,432.514,458.676,417.18,426.511,401.24,441.092,380.332,406.044,449.903,421.549,416.853,400.914,414.796,407.009,405.343,365.784,453.013,388.787,400.713,389.651,421.026,394.223,412.838
459.553,366.423,448.274,372.099,414.717,395.775,403.135,403.977,390.803,413.662,369.839,406.128,359.854,388.436,465.873,432.529,458.691,417.184,426.519,401.244,441.097,380.333,406.055,449.913,421.555,416.853,400.918,414.796,407.01,405.347,365.784,453.029,388.79,400.733,389.654,421.026,394.223,412.845
459.593,366.427,448.282,372.099,414.725,395.775,403.135,403.977,390.803,413.662,369.839,406.125,359.854,388.426,465.873,432.529,458.691,417.18,426.524,401.24,441.103,380.333,406.057,449.914,421.572,416.854,400.921,414.796,407.01,405.348,365.786,453.027,388.787,400.733,389.661,421.026,394.223,412.845
459.632,366.435,448.32,372.1,414.74,395.775,403.14,403.978,390.801,413.662,369.839,406.117,359.864,388.426,465.894,432.503,458.692,417.136,426.524,401.24,441.103,380.333,406.057,449.933,421.574,416.854,400.921,414.796,407.01,405.348,365.797,453.029,388.781,400.733,389.668,421.025,394.223,412.85
459.65,366.456,448.368,372.105,414.741,395.721,403.146,403.989,390.801,413.717,369.908,406.11,359.928,388.426,465.897,432.475,458.676,417.134,426.548,401.209,441.178,380.305,406.055,449.972,421.574,416.871,400.93,414.796,407.015,405.348,365.799,453.053,388.686,400.663,389.697,420.994,394.226,412.871
459.652,366.456,448.385,372.108,414.745,395.708,403.15,403.99,390.798,413.717,369.942,406.089,359.949,388.435,465.91,432.475,458.692,417.119,426.55,401.209,441.188,380.294,406.044,449.973,421.574,416.875,400.93,414.79,407.019,405.337,365.799,453.061,388.632,400.645,389.697,420.983,394.226,412.871
459.654,366.456,448.416,372.108,414.745,395.7,403.156,403.99,390.801,413.717,369.973,406.077,359.983,388.442,465.948,432.475,458.673,417.119,426.552,401.209,441.218,380.294,406.044,449.998,421.553,416.882,400.947,414.79,407.02,405.33,365.805,453.062,388.591,400.644,389.697,420.969,394.232,412.871
459.67,366.456,448.427,372.109,414.753,395.686,403.156,403.989,390.801,413.711,369.982,406.05,360.007,388.452,465.962,432.475,458.702,417.111,426.555,401.194,441.225,380.29,406.044,449.998,421.553,416.887,400.947,414.789,407.028,405.315,365.805,453.065,388.591,400.644,389.697,420.967,394.232,412.847
459.694,366.456,448.427,372.109,414.761,395.685,403.157,403.969,390.817,413.681,369.982,406.05,360.023,388.452,466.012,432.461,458.717,417.111,426.605,401.194,441.231,380.286,406.092,449.998,421.553,416.887,400.958,414.789,407.036,405.277,365.812,453.062,388.587,400.618,389.697,420.962,394.244,412.815
