Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
391.272,331.695,387.98,339.87,374.618,380.974,368.526,395.982,359.082,409.741,338.27,408.27,325.366,390.846,442.514,391.103,427.681,380.991,394.717,380.027,385.095,351.898,402.966,445.898,391.469,414.996,374.384,406.402,373.818,392.019,339.628,452.535,341.322,396.989,360.382,415.56,364.438,404.796
391.272,331.716,387.98,339.9,374.618,381.092,368.526,395.991,359.082,409.745,338.27,408.287,325.366,390.949,442.514,391.103,427.681,380.991,394.717,380.037,385.095,351.959,402.981,445.898,391.501,415.002,374.385,406.404,373.818,392.074,339.631,452.535,341.322,397.067,360.382,415.596,364.438,404.802
391.272,331.717,387.98,339.925,374.618,381.206,368.526,396.022,359.082,409.785,338.27,408.294,325.366,391.031,442.514,391.103,427.681,380.991,394.717,380.077,385.095,352.027,403.0,445.898,391.529,415.019,374.385,406.445,373.818,392.172,339.631,452.542,341.322,397.067,360.382,415.672,364.438,404.876
391.245,331.73,387.909,339.929,374.55,381.21,368.474,396.046,359.074,409.785,338.262,408.294,325.313,391.084,442.332,391.103,427.497,380.969,394.677,380.077,385.041,352.032,403.0,445.886,391.51,415.019,374.385,406.445,373.748,392.215,339.628,452.546,341.322,397.067,360.382,415.672,364.383,404.893
391.214,331.739,387.869,339.933,374.495,381.219,368.458,396.056,359.074,409.785,338.221,408.337,325.283,391.202,442.254,391.103,427.404,380.969,394.61,380.077,385.01,352.051,403.0,445.882,391.51,414.996,374.385,406.445,373.722,392.216,339.619,452.539,341.357,396.963,360.382,415.691,364.372,404.894
391.139,331.787,387.767,339.935,374.424,381.24,368.435,396.056,359.059,409.785,338.221,408.337,325.246,391.337,442.252,391.131,427.397,380.964,394.491,380.155,384.934,352.062,402.96,445.882,391.51,414.945,374.385,406.445,373.696,392.216,339.618,452.539,341.329,396.754,360.4,415.691,364.367,404.895
391.066,331.811,387.68,339.978,374.373,381.228,368.393,396.056,359.06,409.785,338.221,408.337,325.168,391.378,442.193,392.535,427.388,380.964,394.424,380.182,384.904,352.134,402.96,445.882,391.51,414.941,374.38,406.445,373.649,392.216,339.604,452.539,341.357,396.752,360.432,415.695,364.364,404.905
391.062,331.832,387.64,340.048,374.313,381.24,368.348,396.096,359.06,409.856,339.151,406.956,325.114,391.5,442.189,392.564,427.385,380.969,394.42,380.211,384.836,352.249,402.952,445.882,391.502,414.941,374.366,406.451,373.605,392.259,339.604,452.539,341.357,396.752,360.432,415.763,364.309,404.958
391.052,331.832,387.601,340.048,374.276,381.279,368.32,396.145,359.057,409.885,339.151,406.917,324.981,391.584,442.179,392.564,427.239,380.995,394.379,380.211,384.818,352.277,402.952,445.884,391.502,414.945,374.319,406.466,373.569,392.285,339.604,452.538,341.36,396.754,360.432,415.818,364.269,404.995
390.982,331.841,387.521,340.053,374.114,381.29,368.179,396.166,358.941,409.94,339.151,406.917,324.793,391.76,442.08,392.535,427.216,381.025,394.23,380.211,384.735,352.293,402.902,445.887,391.305,414.95,374.319,406.535,373.414,392.327,339.603,452.538,341.329,396.754,360.4,415.822,364.141,405.052
390.892,331.841,387.437,340.053,374.06,381.279,368.127,396.189,358.87,409.992,339.151,406.916,324.613,391.83,441.81,392.53,427.078,381.048,394.196,380.196,384.687,352.293,402.902,445.906,391.281,414.95,374.3,406.544,373.364,392.365,339.579,452.504,341.258,396.788,360.398,415.869,364.089,405.078
390.86,331.841,387.346,340.053,373.983,381.318,368.031,396.267,358.786,410.079,339.142,406.916,324.609,391.875,441.807,392.475,427.005,381.048,394.195,380.169,384.605,352.282,402.902,445.906,391.265,414.95,374.281,406.585,373.273,392.396,339.579,452.503,341.165,396.803,360.38,415.948,364.048,405.147
390.812,331.841,387.333,340.07,373.889,381.318,367.956,396.321,358.782,410.148,339.134,406.958,324.441,391.875,441.8,392.475,426.9,381.038,394.079,380.169,384.577,352.277,402.907,445.906,391.252,414.949,374.26,406.629,373.214,392.425,339.579,452.499,341.162,396.788,360.329,415.995,363.974,405.224
390.708,331.856,387.222,340.103,373.826,381.362,367.892,396.34,358.74,410.172,339.087,407.013,324.427,391.867,441.631,392.467,426.894,381.027,393.979,380.169,384.487,352.282,402.907,445.855,391.197,414.94,374.224,406.629,373.142,392.479,339.627,452.499,341.051,396.748,360.311,416.003,363.938,405.225
390.582,331.868,387.143,340.103,373.78,381.362,367.846,396.384,358.731,410.187,339.063,407.064,324.406,391.888,441.549,392.439,426.83,381.027,393.928,380.171,384.444,352.282,402.907,445.827,391.067,414.933,374.21,406.695,373.09,392.527,339.657,452.499,340.901,396.748,360.302,416.03,363.928,405.261
390.451,331.914,386.988,340.165,373.738,381.438,367.803,396.468,358.693,410.198,338.951,407.098,324.325,391.888,441.353,392.444,426.715,380.944,393.914,380.186,384.394,352.3,402.884,445.787,390.996,414.888,374.203,406.733,373.059,392.588,339.667,452.499,340.876,396.74,360.27,416.03,363.907,405.276
390.316,331.958,386.877,340.246,373.719,381.455,367.739,396.563,358.64,410.276,338.83,407.101,324.15,391.888,441.267,392.441,426.673,380.926,393.891,380.221,384.368,352.374,402.862,445.768,390.934,414.884,374.103,406.77,372.994,392.629,339.706,452.499,340.876,396.734,360.243,416.034,363.894,405.348
390.273,331.982,386.749,340.342,373.634,381.623,367.602,396.598,358.531,410.29,338.768,407.273,324.15,392.098,441.235,392.441,426.593,380.921,393.867,380.247,384.232,352.442,402.855,445.749,390.92,414.868,374.063,406.783,372.862,392.721,339.724,452.499,340.8,396.598,360.229,416.042,363.782,405.356
390.111,332.016,386.626,340.427,373.51,381.719,367.529,396.642,358.476,410.305,338.741,407.344,324.115,392.128,440.859,392.444,426.408,380.921,393.794,380.252,384.172,352.569,402.853,445.739,390.911,414.86,374.003,406.8,372.738,392.777,339.741,452.478,340.876,396.575,360.221,416.088,363.721,405.407
390.11,332.081,386.581,340.456,373.354,381.854,367.364,396.741,358.347,410.335,338.622,407.521,324.103,392.262,440.678,392.482,426.247,380.926,393.696,380.291,384.087,352.6,402.829,445.739,390.889,414.773,373.921,406.8,372.581,392.887,339.741,452.478,340.877,396.575,360.162,416.109,363.603,405.444
389.934,332.208,386.393,340.579,373.284,381.934,367.345,396.778,358.284,410.422,338.501,407.561,324.048,392.293,440.658,392.686,426.245,381.045,393.602,380.399,384.009,352.769,402.816,445.749,390.827,414.711,373.907,406.869,372.53,392.911,339.741,452.461,340.885,396.564,360.072,416.212,363.535,405.535
389.859,332.218,386.324,340.594,373.232,381.934,367.259,396.8,358.176,410.475,338.318,407.593,324.022,392.312,440.644,392.913,426.22,381.16,393.575,380.521,383.966,352.772,402.751,445.751,390.639,414.701,373.816,406.889,372.468,392.911,339.743,452.44,340.885,396.564,360.0,416.227,363.432,405.572
389.677,332.348,386.242,340.684,373.154,381.969,367.193,396.832,358.145,410.502,338.191,407.679,323.854,392.479,440.545,393.051,426.172,381.25,393.444,380.523,383.897,352.784,402.746,445.751,390.482,414.701,373.755,406.894,372.402,392.93,339.743,452.434,340.885,396.564,359.976,416.234,363.39,405.623
389.597,332.398,386.121,340.7,373.028,382.001,367.109,396.835,358.145,410.502,338.026,407.787,323.827,392.546,440.332,393.051,426.002,381.375,393.192,380.566,383.836,352.81,402.746,445.778,390.48,414.695,373.696,406.903,372.296,392.931,339.758,452.429,340.885,396.562,359.893,416.237,363.298,405.69
389.536,332.411,386.027,340.767,372.99,382.005,367.05,396.883,358.145,410.502,337.962,407.907,323.701,392.561,440.253,393.051,425.964,381.375,393.162,380.607,383.756,352.811,402.746,445.778,390.461,414.695,373.657,406.945,372.242,392.931,339.76,452.425,340.885,396.562,359.844,416.284,363.242,405.765
389.334,332.492,385.855,340.817,372.873,382.058,366.964,396.9,358.617,409.662,337.91,408.003,323.532,392.786,440.031,392.969,425.612,381.375,393.013,380.607,383.659,352.834,402.773,445.778,390.359,414.692,373.576,406.961,372.087,392.984,339.775,452.401,341.014,396.549,359.839,416.462,363.101,405.849
389.079,332.609,385.698,340.9,372.778,382.128,366.882,396.939,358.617,409.65,337.857,408.15,323.361,392.837,439.94,392.963,425.55,381.341,392.936,380.607,383.554,352.932,402.775,445.804,390.345,414.692,373.508,406.979,371.989,393.038,339.777,452.401,341.014,396.549,359.826,416.463,363.054,405.854
389.063,332.62,385.659,340.927,372.723,382.142,366.825,396.939,358.617,409.65,337.764,408.19,323.168,392.928,439.77,392.927,425.289,381.22,392.82,380.613,383.487,352.956,402.78,445.805,390.244,414.692,373.43,406.999,371.93,393.041,339.775,452.401,341.014,396.549,359.79,416.467,363.012,405.875
388.825,332.773,385.491,340.974,372.593,382.142,366.715,396.943,358.591,409.662,337.636,408.258,323.053,392.959,439.603,392.879,425.047,381.22,392.741,380.613,383.327,352.956,402.812,445.865,390.152,414.802,373.291,407.024,371.802,393.058,339.775,452.405,341.022,396.524,359.701,416.478,362.943,405.879
388.805,332.787,385.424,340.991,372.546,382.18,366.675,396.954,358.525,409.688,337.459,408.368,322.834,393.101,439.325,392.87,424.868,381.22,392.654,380.613,383.266,352.932,402.854,445.902,390.142,414.865,373.262,407.069,371.762,393.064,339.762,452.417,341.007,396.398,359.666,416.478,362.892,405.881
