Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
402.617,518.997,394.719,528.447,366.815,558.955,354.89,573.605,341.59,584.364,315.379,582.598,289.304,567.685,424.211,612.959,415.231,594.094,382.237,570.251,387.598,540.418,385.343,623.225,380.747,586.113,359.84,588.372,360.437,572.567,318.437,629.138,335.235,566.016,339.282,596.961,345.925,584.974
402.617,519.021,394.719,528.476,366.815,558.976,354.89,573.62,341.59,584.37,315.379,582.616,289.902,568.084,424.221,613.047,415.339,594.316,382.306,570.279,387.598,540.419,385.357,623.235,380.771,586.124,359.84,588.384,360.437,572.568,319.419,629.272,335.235,566.041,339.282,596.968,345.925,584.974
402.617,519.021,394.719,528.476,366.815,558.985,354.89,573.645,341.593,584.372,315.415,582.63,289.902,568.092,424.221,613.066,415.386,594.383,382.32,570.281,387.598,540.434,385.376,623.244,380.771,586.145,359.84,588.389,360.437,572.579,319.426,629.294,335.235,566.044,339.282,596.974,345.925,585.0
402.546,519.023,394.706,528.476,366.553,559.552,354.869,573.654,341.59,584.385,315.379,582.668,289.902,568.138,424.211,613.077,415.39,594.413,382.32,570.346,387.575,540.434,385.376,623.24,380.771,586.182,359.809,588.39,360.405,572.607,319.422,629.273,335.233,566.153,339.27,596.99,345.917,585.021
402.525,519.039,394.668,528.483,366.541,559.574,354.844,573.682,341.572,584.405,315.316,582.695,289.879,568.146,424.211,613.099,415.4,594.467,382.32,570.346,387.531,540.448,385.376,623.24,380.771,586.251,359.762,588.394,360.37,572.639,319.426,629.294,335.188,566.153,339.253,596.998,345.88,585.053
402.443,519.056,394.575,528.513,366.537,559.58,354.785,573.689,341.542,584.473,315.316,582.701,289.857,568.258,424.162,613.103,415.421,594.467,382.297,570.346,387.488,540.452,385.372,623.24,380.771,586.257,359.743,588.424,360.344,572.639,319.427,629.273,335.188,566.153,339.184,597.069,345.803,585.071
402.433,519.061,394.572,528.524,366.537,559.587,354.785,573.689,341.542,584.473,315.326,582.729,289.832,568.295,424.096,613.103,415.433,594.467,382.263,570.338,387.48,540.453,385.376,623.232,380.792,586.264,359.743,588.425,360.344,572.639,319.441,629.273,335.188,566.135,339.184,597.07,345.803,585.071
402.414,519.061,394.558,528.532,366.534,559.587,354.769,573.689,341.464,584.531,315.315,582.796,289.834,568.423,424.03,613.117,415.464,594.467,382.248,570.31,387.475,540.453,385.376,623.23,380.859,586.283,359.733,588.425,360.319,572.627,319.444,629.255,335.212,566.133,339.184,597.072,345.763,585.071
402.412,519.056,394.552,528.533,366.537,559.587,354.769,573.687,341.464,584.531,315.315,582.844,289.832,568.444,423.987,613.136,415.464,594.46,382.182,570.309,387.474,540.452,385.4,623.214,380.859,586.283,359.733,588.424,360.319,572.618,319.469,629.21,335.212,566.132,339.184,597.072,345.763,585.06
402.389,519.048,394.489,528.533,366.537,559.587,354.714,573.687,341.464,584.548,315.315,582.885,289.834,568.452,423.847,613.148,415.464,594.46,382.143,570.31,387.446,540.4,385.504,623.23,380.859,586.283,359.728,588.419,360.285,572.61,319.469,629.21,335.212,566.101,339.184,597.152,345.604,584.095
402.378,519.04,394.463,528.533,366.534,559.59,354.701,573.687,341.45,584.551,315.297,582.902,289.822,568.611,423.748,613.238,415.278,594.477,382.109,570.31,387.426,540.377,385.526,623.232,380.851,586.24,359.674,588.405,360.275,572.598,319.474,629.205,335.178,566.101,339.18,597.152,345.575,584.09
402.326,519.04,394.413,528.533,366.501,559.609,354.642,573.698,341.415,584.567,315.245,583.035,289.822,568.766,423.701,613.291,415.199,594.501,381.211,570.559,387.388,540.377,385.526,623.204,380.843,586.22,359.646,588.405,360.217,572.598,319.469,629.205,335.173,566.101,339.172,597.155,345.548,584.09
402.325,519.04,394.357,528.52,366.489,559.632,354.627,573.717,341.407,584.576,315.18,583.08,289.803,568.778,423.687,613.343,415.15,594.542,381.206,570.582,387.351,540.377,385.526,623.221,380.823,586.22,359.601,588.419,360.211,572.598,319.474,629.204,335.156,566.108,339.147,597.155,345.543,584.095
402.197,519.103,394.307,528.52,366.319,559.7,354.619,573.836,341.38,584.588,315.157,583.184,289.794,568.839,423.609,613.343,415.108,594.545,381.205,570.655,387.237,540.396,385.485,623.221,380.595,586.22,359.6,588.489,360.124,572.734,319.474,629.184,335.07,566.178,339.137,597.228,345.521,584.159
402.187,519.103,394.305,528.532,366.3,559.706,354.606,573.864,341.338,584.643,315.091,583.324,289.794,569.058,423.559,613.343,415.082,594.558,381.196,570.666,387.211,540.418,385.465,623.221,380.586,586.242,359.6,588.489,360.112,572.786,319.507,629.184,335.027,566.178,339.119,597.255,345.494,584.236
402.177,519.103,394.289,528.532,366.255,559.712,354.598,573.869,341.306,584.654,315.028,583.429,289.793,569.083,423.457,613.33,415.07,594.577,381.188,570.668,387.187,540.418,385.447,623.221,380.574,586.281,359.6,588.493,360.08,572.8,319.507,629.184,334.973,566.178,339.104,597.273,345.467,584.247
402.166,519.088,394.272,528.532,366.16,559.747,354.598,573.87,341.296,584.661,314.981,583.491,289.792,569.117,423.352,613.332,415.003,594.577,381.132,570.689,387.104,540.407,385.422,623.233,380.542,586.352,359.576,588.504,360.057,572.812,319.507,629.184,334.955,566.164,339.078,597.319,345.411,584.295
402.132,519.088,394.223,528.539,366.137,559.848,354.514,573.984,341.172,584.748,314.809,583.491,289.62,569.159,423.259,613.332,414.986,594.581,381.03,570.794,387.053,540.416,385.422,623.235,380.542,586.381,359.567,588.596,360.031,572.919,319.501,629.184,334.943,566.055,338.937,597.424,345.387,584.444
402.072,519.088,394.113,528.542,366.126,559.872,354.51,574.01,341.172,584.75,314.756,583.516,289.502,569.213,423.174,613.376,414.774,594.582,380.943,570.806,386.994,540.416,385.436,623.245,380.551,586.439,359.567,588.6,360.025,572.931,319.497,629.184,334.921,566.043,338.937,597.432,345.387,584.444
401.951,519.15,394.062,528.539,366.077,559.927,354.48,574.074,341.147,584.75,314.679,583.605,289.463,569.213,423.174,613.376,414.765,594.582,380.858,570.806,386.949,540.407,385.436,623.235,380.526,586.439,359.509,588.604,359.98,572.986,319.488,629.181,334.921,566.027,338.912,597.442,345.383,584.444
401.904,519.15,393.938,528.539,366.044,559.961,354.468,574.077,341.147,584.748,314.61,583.644,289.349,569.213,423.158,613.405,414.765,594.639,380.814,570.794,386.893,540.402,385.44,623.235,380.526,586.425,359.504,588.623,359.975,573.005,319.488,629.171,334.917,566.043,338.905,597.467,345.358,584.436
401.886,519.157,393.925,528.514,365.933,559.979,354.38,574.092,341.063,584.747,314.36,583.96,289.234,569.213,423.158,613.418,414.721,594.722,380.8,570.772,386.879,540.374,385.44,623.245,380.491,586.425,359.413,588.641,359.902,573.008,319.488,629.171,334.917,566.043,338.82,597.532,345.27,584.415
401.886,519.157,393.918,528.499,365.84,560.013,354.325,574.101,341.06,584.731,314.339,583.987,289.184,569.213,423.132,613.419,414.606,594.766,380.736,570.772,386.842,540.374,385.44,623.282,380.481,586.39,359.367,588.663,359.854,573.008,319.48,629.164,334.914,566.109,338.791,597.533,345.239,584.415
401.886,519.157,393.898,528.486,365.84,560.021,354.282,574.103,341.052,584.731,314.333,584.023,289.17,569.37,423.079,613.419,414.576,594.766,380.701,570.772,386.833,540.371,385.44,623.309,380.481,586.372,359.299,588.664,359.797,573.035,319.468,629.164,334.897,566.117,338.731,597.598,345.216,584.415
401.886,519.149,393.887,528.479,365.828,560.042,354.231,574.146,341.043,584.731,314.293,584.134,289.12,569.467,423.078,613.459,414.576,594.861,380.701,570.787,386.8,540.362,385.44,623.324,380.451,586.347,359.298,588.664,359.789,573.046,319.416,629.173,334.896,566.14,338.713,597.601,345.187,584.435
401.879,519.157,393.793,528.469,365.825,560.044,354.216,574.22,341.031,584.754,314.236,584.159,289.068,569.538,423.013,613.478,414.576,594.881,380.695,570.84,386.795,540.356,385.475,623.328,380.443,586.336,359.22,588.664,359.723,573.081,319.416,629.173,334.896,566.14,338.703,597.604,345.178,584.44
401.879,519.149,393.736,528.434,365.811,560.044,354.208,574.243,341.005,584.776,314.157,584.187,289.019,569.556,423.009,613.495,414.576,594.984,380.664,570.858,386.736,540.31,385.476,623.344,380.387,586.32,359.207,588.68,359.716,573.127,319.416,629.16,334.77,566.117,338.683,597.604,345.166,584.455
401.747,519.149,393.694,528.434,365.811,560.044,354.19,574.296,341.031,584.872,313.918,584.187,288.799,569.563,422.903,613.495,414.55,595.02,380.652,570.887,386.689,540.31,385.476,623.344,380.335,586.32,359.195,588.715,359.705,573.148,319.514,629.127,334.763,565.986,338.683,597.655,345.176,584.511
401.747,519.157,393.694,528.434,365.634,559.533,354.184,574.393,341.043,584.907,313.907,584.187,288.731,569.586,422.85,613.562,414.423,595.02,380.608,570.949,386.636,540.31,385.476,623.356,380.335,586.32,359.174,588.725,359.648,573.242,319.514,629.124,334.753,565.978,338.649,597.689,345.176,584.583
401.739,519.197,393.692,528.461,365.618,559.533,354.184,574.406,341.059,584.935,313.879,584.187,288.7,569.731,422.739,613.566,414.329,595.02,380.603,570.987,386.636,540.322,385.476,623.363,380.33,586.331,359.173,588.758,359.642,573.275,319.514,629.121,334.751,565.978,338.647,597.694,345.172,584.6
401.737,519.216,393.666,528.473,365.614,559.529,354.184,574.408,341.059,584.935,313.865,584.195,288.653,569.87,422.735,613.58,414.318,595.069,380.603,571.001,386.629,540.342,385.476,623.363,380.292,586.331,359.171,588.758,359.636,573.279,319.521,629.121,334.729,565.978,338.638,597.696,345.172,584.626
401.737,519.22,393.666,528.476,365.601,559.533,354.184,574.426,341.059,584.935,313.834,584.195,288.634,569.948,422.724,613.703,414.311,595.073,380.603,571.001,386.629,540.342,385.479,623.363,380.33,586.331,359.166,588.775,359.636,573.279,319.521,629.111,334.729,565.991,338.636,597.696,345.172,584.646
401.663,519.231,393.654,528.476,365.567,559.534,354.184,574.435,341.037,584.971,313.78,584.246,288.556,570.119,422.681,613.737,414.277,595.139,380.592,570.99,386.626,540.333,385.496,623.38,380.368,586.3,359.144,588.781,359.632,573.279,319.549,629.103,334.676,566.006,338.632,597.704,345.168,584.652
401.516,519.262,393.616,528.476,365.498,559.595,354.065,574.502,340.9,585.085,313.683,584.522,288.556,570.656,422.647,613.782,414.277,595.139,380.504,570.99,386.566,540.333,385.523,623.396,380.368,586.212,359.077,588.795,359.497,573.278,319.549,629.103,334.674,566.008,338.538,597.876,345.082,584.788
