Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
441.59,500.784,427.921,509.122,376.78,540.459,358.812,558.43,339.962,575.016,311.13,562.752,299.17,517.928,449.113,615.492,449.45,587.487,392.233,561.463,413.523,522.759,393.059,628.168,396.837,578.142,362.162,578.185,365.933,560.348,319.149,636.158,344.655,557.372,337.126,589.975,345.602,573.775
441.59,500.82,427.921,509.131,376.796,540.459,358.812,558.431,339.969,575.03,311.149,562.767,299.193,517.931,449.113,615.538,449.512,587.551,392.24,561.464,413.523,522.759,393.09,628.168,396.87,578.239,362.163,578.189,365.939,560.348,319.189,636.165,344.692,557.372,337.134,590.0,345.613,573.78
441.59,500.82,427.921,509.132,376.796,540.468,358.812,558.441,339.976,575.044,311.163,562.767,299.199,517.931,449.113,615.549,449.524,587.574,392.247,561.464,413.523,522.763,393.09,628.169,396.87,578.247,362.163,578.189,365.939,560.354,319.22,636.165,344.692,557.373,337.14,590.002,345.614,573.78
441.589,500.82,427.921,509.133,376.806,540.47,358.81,558.431,339.976,575.045,311.163,562.757,299.199,517.928,449.105,615.556,449.524,587.574,392.247,561.464,413.518,522.763,393.096,628.168,396.87,578.252,362.166,578.189,365.939,560.353,319.22,636.16,344.692,557.373,337.14,590.006,345.615,573.785
441.588,500.804,427.921,509.148,376.806,540.468,358.81,558.431,339.981,575.045,311.163,562.767,299.201,517.895,449.102,615.556,449.512,587.574,392.256,561.474,413.511,522.769,393.096,628.149,396.87,578.255,362.171,578.177,365.929,560.348,319.229,636.16,344.692,557.424,337.143,590.012,345.619,573.775
441.588,500.804,427.949,509.167,376.803,540.462,358.801,558.425,339.976,575.045,311.097,562.767,299.203,517.859,449.097,615.556,449.486,587.549,392.258,561.493,413.499,522.772,393.103,628.147,396.87,578.275,362.171,578.177,365.927,560.351,319.234,636.138,344.701,557.425,337.144,590.036,345.62,573.779
441.581,500.804,427.949,509.171,376.803,540.47,358.801,558.425,339.962,575.045,311.087,562.774,299.221,517.832,449.096,615.554,449.485,587.537,392.258,561.493,413.494,522.78,393.096,628.147,396.842,578.276,362.163,578.175,365.91,560.351,319.252,636.138,344.682,557.425,337.143,590.043,345.62,573.775
441.581,500.816,427.949,509.176,376.803,540.47,358.801,558.425,339.959,575.05,311.057,562.783,299.203,517.8,449.096,615.554,449.485,587.534,392.258,561.498,413.494,522.788,393.096,628.129,396.842,578.305,362.163,578.177,365.9,560.351,319.252,636.13,344.71,557.425,337.138,590.045,345.62,573.779
441.572,500.821,427.937,509.192,376.785,540.489,358.784,558.443,339.947,575.053,311.053,562.793,299.201,517.797,449.097,615.554,449.486,587.527,392.246,561.498,413.486,522.788,393.088,628.11,396.869,578.346,362.138,578.175,365.893,560.351,319.252,636.13,344.717,557.385,337.143,590.069,345.63,573.779
441.499,500.824,427.868,509.24,376.644,540.604,358.683,558.508,339.934,575.055,311.049,562.793,299.189,517.797,449.125,615.563,449.504,587.523,392.222,561.597,413.182,522.969,393.082,628.11,396.85,578.369,362.138,578.177,365.873,560.38,319.252,636.114,344.824,557.286,337.145,590.083,345.63,573.781
441.47,500.826,427.853,509.275,376.642,540.666,358.68,558.531,339.934,575.098,311.049,562.832,299.189,517.797,449.125,615.576,449.509,587.517,392.209,561.598,413.174,522.972,393.075,628.11,396.818,578.369,362.138,578.184,365.873,560.401,319.283,636.114,344.824,557.216,337.163,590.083,345.633,573.789
441.46,500.835,427.852,509.313,376.642,540.672,358.68,558.552,339.934,575.104,311.049,562.832,299.189,517.797,449.125,615.577,449.52,587.517,392.196,561.606,413.172,522.974,393.075,628.11,396.804,578.369,362.138,578.185,365.873,560.401,319.27,636.114,344.824,557.216,337.173,590.087,345.639,573.789
441.424,500.835,427.837,509.372,376.642,540.679,358.68,558.552,339.934,575.104,311.032,562.832,299.249,517.813,449.095,615.594,449.52,587.514,392.196,561.606,413.13,523.031,393.073,628.192,396.757,578.361,362.157,578.194,365.924,560.38,319.255,636.135,344.803,557.202,337.185,590.083,345.662,573.781
441.4,500.846,427.837,509.419,376.639,540.683,358.723,558.552,339.91,575.098,310.792,562.513,299.249,517.827,449.047,615.596,449.522,587.514,392.196,561.617,413.122,523.051,393.072,628.205,396.724,578.34,362.157,578.208,365.928,560.313,319.255,636.138,344.654,557.216,337.188,590.072,345.689,573.735
441.399,500.851,427.831,509.435,376.644,540.679,358.723,558.556,339.883,575.107,310.792,562.513,299.249,517.827,449.047,615.594,449.522,587.514,392.196,561.62,413.101,523.053,393.067,628.221,396.724,578.34,362.16,578.216,365.928,560.313,319.27,636.146,344.654,557.306,337.191,590.072,345.689,573.735
441.399,500.856,427.831,509.435,376.644,540.679,358.723,558.556,339.883,575.131,310.774,562.513,299.223,517.827,449.047,615.596,449.522,587.514,392.205,561.633,413.082,523.053,393.066,628.212,396.724,578.322,362.16,578.217,365.928,560.313,319.27,636.148,344.654,557.396,337.194,590.103,345.689,573.735
441.394,500.851,427.831,509.446,376.639,540.675,358.726,558.548,339.889,575.134,310.774,562.674,299.204,517.846,449.057,615.596,449.518,587.514,392.205,561.635,413.08,523.051,393.065,628.212,396.724,578.34,362.166,578.22,365.92,560.313,319.282,636.148,344.676,557.396,337.194,590.126,345.697,573.766
441.399,500.851,427.858,509.446,376.599,540.649,358.726,558.547,339.884,575.169,310.774,562.723,299.151,517.954,449.057,615.607,449.511,587.558,392.195,561.695,413.067,523.053,393.065,628.212,396.788,578.34,362.178,578.299,365.92,560.313,319.282,636.194,344.764,557.469,337.195,590.126,345.697,573.766
441.394,500.856,427.858,509.449,376.599,540.649,358.714,558.565,339.884,575.169,310.782,562.738,299.148,517.958,449.069,615.649,449.507,587.594,392.195,561.698,413.057,523.07,393.065,628.221,396.796,578.315,362.231,578.318,365.919,560.299,319.282,636.195,344.764,557.469,337.194,590.126,345.692,573.766
441.407,500.859,427.858,509.47,376.599,540.649,358.717,558.565,339.884,575.169,310.782,562.738,299.103,517.995,449.07,615.692,449.507,587.615,392.186,561.702,413.057,523.07,393.065,628.212,396.82,578.301,362.231,578.33,365.919,560.299,319.304,636.195,344.764,557.435,337.192,590.126,345.692,573.795
441.394,500.861,427.839,509.474,376.599,540.655,358.726,558.566,339.853,575.152,310.792,562.756,299.057,518.076,449.07,615.698,449.507,587.66,392.183,561.74,413.057,523.123,393.069,628.181,396.846,578.297,362.231,578.332,365.918,560.299,319.303,636.195,344.764,557.45,337.138,590.126,345.692,573.795
441.388,500.88,427.835,509.474,376.661,540.662,358.726,558.569,339.343,573.897,311.066,562.978,299.057,518.076,449.097,615.707,449.562,587.719,392.146,561.74,413.097,523.133,393.094,628.18,397.046,578.275,362.218,578.391,365.914,560.334,319.28,636.174,344.764,557.448,337.08,590.177,345.677,573.901
441.388,500.91,427.79,509.471,376.69,540.675,358.717,558.569,339.332,573.897,311.066,562.978,299.057,518.076,449.1,615.723,449.562,587.74,392.146,561.74,413.12,523.133,393.098,628.165,397.121,578.271,362.211,578.4,365.904,560.358,319.28,636.174,344.769,557.448,337.073,590.21,345.657,573.949
441.413,500.915,427.785,509.471,376.69,540.693,358.717,558.569,339.328,573.897,311.066,562.978,299.1,518.066,449.1,615.743,449.568,587.75,392.146,561.724,413.146,523.123,393.098,628.165,397.121,578.271,362.207,578.411,365.891,560.358,319.296,636.174,344.785,557.448,337.056,590.216,345.635,573.982
