Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
403.203,484.525,393.129,494.396,353.305,536.817,338.074,559.191,319.277,577.694,291.15,568.287,275.842,525.264,425.521,607.213,426.929,577.149,370.901,554.092,383.083,511.258,390.711,625.761,373.362,582.193,346.823,577.587,346.346,555.772,283.283,634.02,294.072,561.086,318.369,590.348,329.255,575.07
403.203,484.526,393.149,494.401,353.305,536.82,338.074,559.241,319.277,577.702,291.15,568.362,275.842,525.264,425.521,607.234,426.929,577.164,370.901,554.092,383.105,511.258,390.724,625.794,373.362,582.242,346.84,577.615,346.346,555.879,283.283,634.049,294.081,561.098,318.369,590.375,329.255,575.085
403.203,484.526,393.149,494.403,353.305,536.824,338.074,559.241,319.284,577.702,291.15,568.383,275.842,525.264,425.521,607.237,426.929,577.181,370.918,554.092,383.105,511.263,390.732,625.794,373.362,582.242,346.84,577.615,346.346,555.885,283.283,634.051,294.115,561.098,318.369,590.385,329.272,575.085
403.197,484.526,393.144,494.401,353.289,536.835,338.069,559.241,319.277,577.704,291.104,568.387,275.831,525.257,425.489,607.237,426.914,577.181,370.918,554.076,383.083,511.263,390.732,625.794,373.323,582.242,346.84,577.615,346.335,555.886,283.264,634.14,294.115,561.094,318.356,590.398,329.272,575.07
403.195,484.525,393.144,494.396,353.289,536.836,338.056,559.245,319.277,577.717,291.062,568.395,275.826,525.257,425.453,607.237,426.911,577.182,370.934,554.051,383.074,511.258,390.727,625.79,373.322,582.216,346.834,577.607,346.324,555.895,283.252,634.14,294.115,561.086,318.274,590.489,329.243,575.07
403.118,484.521,392.995,494.357,353.202,536.865,338.02,559.313,319.284,577.717,291.009,568.478,275.796,525.257,425.424,607.237,426.779,577.182,370.981,554.044,382.965,511.258,390.734,625.76,373.25,582.208,346.822,577.598,346.265,555.968,283.179,634.14,294.115,560.994,318.274,590.489,329.235,575.063
403.055,484.45,392.908,494.315,353.186,536.865,338.009,559.326,319.284,577.717,291.009,568.531,275.767,525.257,425.424,607.237,426.775,577.237,370.994,554.044,382.938,511.249,390.727,625.76,373.25,582.208,346.805,577.573,346.244,555.968,283.156,634.101,294.091,560.96,318.308,590.414,329.235,575.063
403.055,484.45,392.908,494.292,353.149,536.896,337.933,559.339,319.26,577.724,291.009,568.587,275.75,525.272,425.424,607.209,426.775,577.237,370.994,554.051,382.886,511.246,390.721,625.756,373.216,582.208,346.779,577.559,346.173,555.968,283.156,634.101,294.091,560.935,318.274,590.489,329.231,575.065
403.055,484.45,392.908,494.283,353.123,536.896,337.925,559.387,319.26,577.724,291.009,568.623,275.691,525.368,425.433,607.203,426.775,577.237,370.981,554.068,382.854,511.197,390.721,625.756,373.199,582.208,346.691,577.529,346.142,555.966,283.179,634.101,294.091,560.851,318.274,590.49,329.222,575.077
403.112,484.454,392.906,494.262,353.078,536.907,337.801,559.396,319.147,577.862,291.036,568.66,275.58,525.369,425.433,607.203,426.812,577.167,370.933,554.068,382.845,511.138,390.708,625.76,373.165,582.175,346.678,577.529,346.044,555.944,283.211,634.158,294.111,560.819,318.193,590.664,329.145,575.189
403.121,484.463,392.913,494.262,353.054,536.912,337.786,559.396,319.135,577.883,292.273,570.021,275.551,525.369,425.447,607.209,426.812,577.118,370.917,554.068,382.834,511.121,390.708,625.753,373.154,582.142,346.691,577.529,346.044,555.943,283.219,634.161,294.143,560.739,318.184,590.667,329.145,575.193
403.126,484.478,392.915,494.262,353.044,536.922,337.78,559.405,319.133,577.931,292.273,570.036,275.414,525.369,425.447,607.198,426.812,577.118,370.906,554.044,382.834,511.117,390.708,625.753,373.139,582.11,346.678,577.53,346.034,555.929,283.224,634.161,294.177,560.729,318.184,590.702,329.14,575.202
403.134,484.478,392.915,494.277,353.021,536.947,337.765,559.428,319.127,577.936,292.273,570.053,275.368,525.37,425.447,607.198,426.757,577.118,370.885,554.04,382.849,511.105,390.726,625.765,373.131,582.071,346.678,577.547,346.027,555.886,283.242,634.161,294.203,560.681,318.184,590.713,329.14,575.214
403.136,484.478,392.915,494.278,353.001,536.948,337.689,559.447,319.011,577.968,292.175,570.073,275.345,525.394,425.42,607.212,426.629,577.119,370.885,553.992,382.849,511.103,390.73,625.806,373.064,581.929,346.678,577.561,345.938,555.876,283.242,634.161,294.301,560.675,318.216,590.713,329.1,575.215
403.142,484.478,392.916,494.281,353.001,536.948,337.666,559.447,318.996,577.984,292.15,570.096,275.289,525.475,425.394,607.282,426.619,577.216,370.885,553.974,382.852,511.102,390.73,625.831,373.05,581.929,346.695,577.561,345.938,555.857,283.256,634.161,294.301,560.669,318.216,590.702,329.099,575.215
403.143,484.478,392.916,494.278,353.001,536.948,337.666,559.447,318.992,577.987,292.137,570.128,275.233,525.514,425.371,607.282,426.612,577.216,370.893,553.974,382.852,511.102,390.73,625.882,373.029,581.924,346.657,577.586,345.937,555.857,283.256,634.168,294.301,560.656,318.216,590.702,329.083,575.242
403.146,484.478,392.917,494.277,353.008,536.928,337.658,559.431,318.991,577.99,292.127,570.128,275.189,525.556,425.355,607.282,426.591,577.216,370.893,553.97,382.859,511.099,390.73,625.885,373.024,581.894,346.654,577.639,345.937,555.857,283.262,634.168,294.291,560.621,318.21,590.713,329.076,575.255
403.148,484.488,392.975,494.223,353.013,536.927,337.625,559.424,318.96,577.99,292.053,570.128,275.158,525.558,425.263,607.274,426.555,577.161,370.893,553.97,382.859,511.088,390.771,625.914,373.006,581.888,346.647,577.708,345.933,555.916,283.223,634.235,294.237,560.562,318.112,590.855,328.994,575.275
403.166,484.488,393.002,494.197,353.013,536.927,337.602,559.383,318.858,578.097,290.724,568.703,275.155,525.558,425.227,607.27,426.456,577.146,370.861,553.97,382.857,511.088,390.779,625.914,373.022,581.869,346.629,577.757,345.909,555.94,283.257,634.168,294.229,560.552,318.056,591.05,328.857,575.424
403.18,484.488,393.021,494.187,353.013,536.928,337.594,559.383,318.848,578.099,290.724,568.703,275.144,525.605,425.198,607.237,426.351,577.146,370.801,553.989,382.855,511.087,390.78,625.914,372.986,581.857,346.622,577.757,345.904,555.952,283.205,634.204,294.203,560.552,318.035,591.059,328.845,575.435
403.211,484.485,393.07,494.183,353.013,536.93,337.588,559.383,318.837,578.114,290.724,568.703,275.054,525.605,425.198,607.237,426.259,577.146,370.766,553.989,382.855,511.087,390.782,625.909,372.984,581.857,346.618,577.757,345.896,555.959,283.205,634.198,294.203,560.552,318.035,591.082,328.843,575.437
403.214,484.484,393.07,494.181,352.967,536.939,337.55,559.395,318.776,578.153,291.924,570.138,275.047,525.671,425.198,607.114,426.236,577.164,370.745,553.989,382.851,511.087,390.78,625.909,372.942,581.719,346.577,577.757,345.861,555.98,283.205,634.198,294.203,560.597,318.035,591.096,328.78,575.448
403.216,484.482,393.07,494.181,352.955,536.94,337.549,559.395,318.769,578.155,291.931,570.147,275.021,525.707,425.201,607.11,426.236,577.18,370.737,553.946,382.849,511.087,390.78,625.897,372.897,581.663,346.557,577.757,345.861,555.988,283.211,634.173,294.221,560.644,318.039,591.102,328.777,575.451
403.214,484.482,393.07,494.181,352.95,536.943,337.546,559.404,318.761,578.157,291.931,570.161,275.011,525.71,425.201,607.075,426.194,577.182,370.732,553.941,382.849,511.087,390.78,625.897,372.889,581.66,346.552,577.757,345.858,555.994,283.211,634.173,294.228,560.687,318.039,591.116,328.769,575.453
403.214,484.457,393.037,494.181,352.901,536.988,337.489,559.471,318.761,578.203,291.924,570.316,274.892,525.822,425.505,606.946,426.188,577.195,370.732,553.941,382.839,511.099,390.78,625.883,372.854,581.53,346.446,577.787,345.817,556.009,283.245,634.116,294.238,560.818,318.042,591.117,328.765,575.453
403.142,484.439,393.034,494.188,352.851,536.996,337.475,559.492,318.726,578.236,291.864,570.356,274.782,525.9,425.541,606.926,426.098,577.24,370.731,553.941,382.83,511.116,390.767,625.861,372.735,581.432,346.387,577.809,345.806,556.059,283.247,634.111,294.342,560.847,318.039,591.152,328.728,575.454
403.112,484.439,393.033,494.255,352.835,537.039,337.421,559.539,318.726,578.236,291.836,570.453,274.747,525.935,425.56,606.926,426.05,577.262,370.731,553.951,382.83,511.17,390.75,625.858,372.722,581.418,346.36,577.816,345.78,556.063,283.247,634.105,294.452,560.849,318.038,591.152,328.725,575.46
403.112,484.439,393.011,494.267,352.834,537.041,337.407,559.544,318.726,578.236,291.826,570.461,274.685,525.957,425.595,606.926,426.038,577.326,370.735,553.954,382.83,511.188,390.75,625.858,372.694,581.418,346.36,577.816,345.769,556.092,283.247,634.105,294.452,560.849,318.007,591.166,328.721,575.473
403.112,484.471,392.976,494.29,352.825,537.071,337.387,559.544,319.003,578.045,291.796,570.492,274.685,525.978,425.602,606.926,426.027,577.35,370.735,553.956,382.83,511.194,390.748,625.843,372.691,581.418,346.36,577.834,345.736,556.154,283.231,634.111,294.452,560.87,318.024,591.166,328.645,575.584
403.129,484.546,392.923,494.356,352.794,537.127,337.382,559.544,319.003,578.045,291.78,570.544,274.685,525.978,425.602,606.951,426.009,577.392,370.739,554.028,382.749,511.24,390.748,625.843,372.641,581.434,346.366,577.914,345.643,556.163,283.223,634.116,294.348,561.046,318.024,591.336,328.576,575.651
403.129,484.567,392.92,494.356,352.794,537.127,337.374,559.536,319.008,578.043,291.721,570.548,274.729,525.978,425.602,606.954,426.006,577.394,370.739,554.045,382.748,511.24,390.748,625.843,372.628,581.443,346.368,577.914,345.62,556.167,283.223,634.129,294.303,561.062,318.011,591.336,328.569,575.661
403.129,484.573,392.92,494.363,352.794,537.131,337.369,559.536,319.003,578.045,291.715,570.586,274.729,525.972,425.599,606.954,426.004,577.416,370.739,554.113,382.745,511.244,390.743,625.843,372.628,581.462,346.374,577.914,345.62,556.182,283.218,634.134,294.303,561.062,318.011,591.337,328.569,575.665
403.129,484.628,392.92,494.415,352.823,537.131,337.367,559.536,319.003,578.068,291.687,570.607,274.729,525.972,425.599,606.951,426.004,577.416,370.739,554.124,382.731,511.244,390.743,625.839,372.614,581.443,346.379,577.914,345.572,556.185,283.216,634.149,294.348,561.059,318.011,591.346,328.538,575.727
403.105,484.71,392.92,494.506,352.823,537.16,337.319,559.549,318.998,578.07,291.632,570.609,274.653,525.972,425.599,606.908,425.982,577.427,370.739,554.132,382.728,511.388,390.74,625.849,372.6,581.434,346.379,577.914,345.544,556.19,283.203,634.136,294.421,561.059,318.001,591.398,328.49,575.788
403.105,484.782,392.952,494.527,352.823,537.17,337.309,559.579,318.99,578.087,291.604,570.639,274.636,526.018,425.632,606.883,425.944,577.427,370.72,554.133,382.728,511.397,390.743,625.849,372.571,581.433,346.379,577.916,345.524,556.198,283.135,634.136,294.522,561.03,318.001,591.414,328.478,575.809
403.105,484.787,392.952,494.566,352.817,537.198,337.297,559.613,318.974,578.1,291.604,570.662,274.592,526.036,425.632,606.883,425.862,577.434,370.716,554.133,382.725,511.433,390.743,625.849,372.562,581.36,346.368,577.924,345.515,556.238,283.097,634.157,294.526,561.006,317.995,591.431,328.46,575.825
403.105,484.896,392.952,494.599,352.781,537.225,337.215,559.671,318.917,578.117,291.591,570.685,274.585,526.055,425.632,606.908,425.85,577.434,370.608,554.138,382.725,511.458,390.739,625.859,372.509,581.27,346.323,577.986,345.514,556.24,283.093,634.136,294.542,561.006,317.995,591.447,328.403,575.825
403.105,484.904,392.936,494.615,352.779,537.247,337.208,559.692,318.904,578.128,291.591,570.709,274.519,526.091,425.617,606.911,425.824,577.427,370.602,554.143,382.71,511.475,390.739,625.859,372.507,581.198,346.284,578.024,345.514,556.274,283.09,634.135,294.542,561.025,317.968,591.477,328.37,575.825
403.1,484.904,392.929,494.616,352.766,537.25,337.197,559.709,318.904,578.141,291.583,570.731,274.428,526.124,425.595,606.914,425.824,577.434,370.602,554.167,382.725,511.481,390.739,625.86,372.507,581.136,346.279,578.028,345.515,556.274,283.09,634.128,294.565,561.03,317.965,591.5,328.369,575.839
403.099,484.937,392.925,494.618,352.745,537.265,337.174,559.726,318.892,578.181,291.568,570.733,274.342,526.124,425.591,606.993,425.824,577.434,370.586,554.148,382.69,511.491,390.734,625.875,372.5,581.093,346.276,578.049,345.515,556.293,283.097,634.128,294.576,561.025,317.96,591.56,328.366,575.839
403.093,484.943,392.905,494.624,352.739,537.271,337.173,559.747,318.892,578.272,291.567,570.86,274.291,526.146,425.582,607.053,425.834,577.522,370.579,554.148,382.67,511.513,390.731,625.947,372.5,580.996,346.276,578.13,345.514,556.333,283.195,633.988,294.584,561.025,317.947,591.603,328.325,575.906
403.093,485.019,392.888,494.624,352.624,537.355,337.138,559.767,318.828,578.364,291.567,570.88,274.269,526.296,425.536,607.065,425.834,577.546,370.518,554.148,382.67,511.575,390.709,625.95,372.332,580.893,346.276,578.141,345.422,556.348,283.195,633.988,294.584,561.025,317.947,591.603,328.287,575.958
403.093,485.025,392.881,494.632,352.599,537.373,337.138,559.775,318.828,578.416,291.583,570.913,274.227,526.431,425.52,607.099,425.834,577.569,370.51,554.084,382.698,511.619,390.709,625.952,372.271,580.882,346.278,578.145,345.422,556.364,283.216,633.978,294.584,561.037,317.947,591.607,328.278,576.001
403.107,485.079,392.88,494.684,352.599,537.382,337.136,559.792,318.828,578.422,291.595,570.967,274.227,526.524,425.536,607.099,425.834,577.606,370.494,554.082,382.692,511.642,390.709,625.95,372.271,580.882,346.283,578.16,345.415,556.365,283.216,633.978,294.541,561.072,317.967,591.607,328.271,576.035
403.127,485.095,392.88,494.694,352.599,537.382,337.128,559.808,318.828,578.422,291.595,570.972,274.227,526.65,425.536,607.099,425.834,577.606,370.493,554.081,382.692,511.65,390.727,625.947,372.264,580.881,346.309,578.173,345.408,556.379,283.212,633.938,294.541,561.072,318.013,591.596,328.25,576.047
403.132,485.111,392.878,494.695,352.623,537.384,337.084,559.831,318.837,578.422,291.595,570.975,274.227,526.662,425.561,607.099,425.864,577.606,370.482,554.061,382.692,511.66,390.727,625.95,372.207,580.871,346.339,578.205,345.395,556.401,283.211,633.933,294.541,561.072,318.013,591.592,328.244,576.047
403.132,485.125,392.874,494.738,352.623,537.382,337.083,559.844,318.837,578.424,291.55,571.0,274.227,526.662,425.624,607.099,425.864,577.611,370.48,554.061,382.646,511.681,390.75,625.964,372.207,580.882,346.39,578.205,345.395,556.401,283.212,633.92,294.589,560.957,318.013,591.596,328.225,576.061
403.133,485.142,392.873,494.738,352.623,537.384,337.076,559.846,318.821,578.431,291.548,571.003,274.156,526.662,425.646,607.078,425.864,577.642,370.48,554.061,382.641,511.698,390.759,625.964,372.207,580.92,346.39,578.215,345.392,556.406,283.211,633.919,294.589,560.921,318.012,591.596,328.205,576.08
403.136,485.148,392.859,494.747,352.594,537.384,337.05,559.86,318.804,578.489,291.535,571.018,273.983,526.662,425.646,607.099,425.85,577.642,370.476,554.102,382.64,511.705,390.808,625.967,372.199,580.911,346.39,578.23,345.392,556.401,283.211,633.919,294.589,560.921,317.979,591.707,328.19,576.105
403.138,485.172,392.829,494.883,352.579,537.42,337.049,559.895,318.755,578.521,291.513,571.093,273.873,526.675,425.624,607.166,425.843,577.709,370.476,554.253,382.6,511.726,390.811,626.002,372.178,580.911,346.373,578.24,345.392,556.401,283.211,633.904,294.588,560.921,317.974,591.775,328.155,576.15
403.14,485.184,392.81,494.885,352.561,537.421,337.039,559.903,318.75,578.544,291.479,571.093,273.838,526.693,425.606,607.167,425.843,577.72,370.476,554.269,382.595,511.737,390.812,626.008,372.172,580.911,346.373,578.25,345.386,556.406,283.209,633.904,294.588,560.893,317.965,591.784,328.151,576.151
403.14,485.194,392.804,494.887,352.515,537.455,337.014,559.925,318.722,578.589,291.461,571.169,273.835,526.74,425.599,607.167,425.843,577.77,370.484,554.269,382.595,511.737,390.811,626.028,372.172,580.88,346.352,578.255,345.362,556.414,283.203,633.904,294.588,560.893,317.965,591.801,328.119,576.176
403.14,485.234,392.806,494.904,352.504,537.467,336.955,559.963,318.584,578.67,291.324,571.169,273.817,526.752,425.534,607.173,425.843,577.774,370.491,554.253,382.6,511.726,390.811,626.028,372.172,580.802,346.348,578.289,345.27,556.466,283.197,633.908,294.754,560.875,317.902,591.806,327.994,576.234
403.131,485.275,392.806,494.911,352.379,537.579,336.785,560.008,318.483,578.728,291.136,571.169,273.738,526.885,425.534,607.255,425.654,577.927,370.578,554.219,382.602,511.704,390.744,626.029,372.143,580.666,346.324,578.293,345.154,556.597,283.133,633.925,294.755,560.793,317.804,591.887,327.908,576.247
403.113,485.315,392.806,494.911,352.367,537.581,336.767,560.012,318.442,578.783,291.009,571.162,273.651,526.94,425.51,607.294,425.616,577.977,370.585,554.201,382.602,511.698,390.731,626.028,372.191,580.595,346.31,578.308,345.149,556.597,283.126,633.933,294.791,560.73,317.752,591.936,327.888,576.247
403.113,485.332,392.806,494.911,352.367,537.592,336.761,560.023,318.431,578.785,291.004,571.158,273.64,526.977,425.467,607.363,425.564,577.999,370.585,554.195,382.602,511.691,390.726,626.031,372.191,580.581,346.311,578.308,345.144,556.605,283.114,633.937,294.85,560.68,317.752,591.946,327.862,576.234
403.115,485.332,392.817,494.851,352.367,537.587,336.754,560.023,318.427,578.788,290.864,571.156,273.628,526.977,425.466,607.374,425.545,578.037,370.578,554.186,382.599,511.66,390.695,626.044,372.14,580.534,346.311,578.311,345.144,556.616,283.114,633.937,294.955,560.423,317.735,591.95,327.86,576.233
403.115,485.332,392.817,494.847,352.367,537.592,336.734,560.024,318.414,578.809,290.843,571.156,273.469,527.118,425.421,607.419,425.542,578.002,370.565,554.172,382.593,511.66,390.695,626.074,372.101,580.486,346.31,578.316,345.122,556.658,283.114,633.994,294.955,560.423,317.733,591.976,327.83,576.231
403.117,485.332,392.805,494.834,352.368,537.592,336.727,560.025,318.409,578.818,290.794,571.158,273.417,527.121,425.408,607.454,425.526,578.002,370.535,554.172,382.573,511.66,390.695,626.116,372.101,580.441,346.311,578.324,345.114,556.669,283.109,634.03,294.988,560.419,317.733,592.005,327.811,576.231
403.139,485.333,392.805,494.829,352.368,537.601,336.727,560.028,318.393,578.819,290.792,571.16,273.395,527.132,425.355,607.471,425.511,578.037,370.491,554.17,382.572,511.652,390.695,626.146,372.072,580.44,346.311,578.333,345.109,556.672,283.099,634.03,294.988,560.4,317.725,592.023,327.798,576.233
403.232,485.342,392.816,494.829,352.367,537.596,336.722,560.035,318.336,578.821,290.681,571.185,273.389,527.225,425.297,607.545,425.511,578.037,370.455,554.172,382.573,511.652,390.7,626.146,372.05,580.381,346.292,578.346,345.1,556.701,283.109,634.03,294.955,560.322,317.7,592.024,327.72,576.327
403.235,485.353,392.816,494.829,352.362,537.6,336.711,560.097,318.157,578.939,290.588,571.185,273.381,527.232,425.16,607.548,425.504,578.042,370.452,554.17,382.573,511.652,390.713,626.152,371.933,580.147,346.272,578.447,345.002,556.71,283.109,634.036,294.949,560.243,317.69,592.029,327.586,576.378
403.237,485.355,392.818,494.839,352.359,537.6,336.568,560.103,318.157,578.962,290.547,571.185,273.375,527.246,425.141,607.57,425.418,578.135,370.438,554.175,382.572,511.647,390.727,626.159,371.909,580.147,346.272,578.451,344.99,556.723,283.111,634.043,293.689,559.068,317.671,592.043,327.556,576.402
403.237,485.357,392.818,494.844,352.356,537.6,336.568,560.106,318.157,578.962,290.49,571.106,273.358,527.251,425.141,607.57,425.404,578.158,370.436,554.175,382.572,511.645,390.732,626.157,371.907,580.112,346.253,578.488,344.987,556.723,283.113,634.043,293.646,558.957,317.67,592.084,327.556,576.402
