Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
231.015,465.812,229.403,475.312,215.231,520.512,208.204,540.629,195.41,558.742,171.99,553.577,151.269,529.277,280.023,553.274,272.137,532.149,227.87,526.381,226.827,489.91,254.31,605.425,239.676,564.813,216.709,553.701,214.014,534.578,182.519,613.622,177.542,545.42,199.126,566.553,202.471,552.883
231.015,465.852,229.404,475.345,215.231,520.527,208.213,540.66,195.427,558.761,172.006,553.594,151.278,529.38,280.024,553.306,272.137,532.195,227.883,526.413,226.827,489.927,254.349,605.426,239.707,564.858,216.709,553.706,214.014,534.605,182.585,613.622,177.542,545.42,199.15,566.572,202.485,552.923
231.03,465.896,229.417,475.376,215.231,520.527,208.213,540.721,195.427,558.788,172.006,553.675,151.278,529.44,280.024,553.314,272.153,532.216,227.883,526.419,226.827,489.927,254.4,605.434,239.709,564.876,216.711,553.749,214.014,534.638,182.585,613.627,177.542,545.42,199.28,566.59,202.491,552.955
231.015,465.908,229.404,475.386,215.211,520.527,208.213,540.721,195.41,558.788,171.99,553.698,151.269,529.44,280.025,553.314,272.137,532.216,227.883,526.453,226.827,489.957,254.4,605.467,239.709,564.876,216.711,553.706,213.991,534.638,182.591,613.627,177.374,545.378,199.292,566.572,202.485,552.939
231.007,465.91,229.403,475.386,215.083,520.527,208.211,540.721,195.406,558.81,171.971,553.698,151.25,529.44,280.024,553.314,272.137,532.216,227.883,526.499,226.827,489.956,254.4,605.469,239.719,564.895,216.711,553.701,213.982,534.638,182.594,613.605,177.319,545.378,199.298,566.57,202.485,552.939
230.992,465.954,229.396,475.376,215.083,520.579,208.211,540.721,195.406,558.812,171.923,553.724,151.22,529.44,280.011,553.277,272.032,532.096,227.911,526.546,226.827,489.956,254.372,605.486,239.735,564.999,216.711,553.69,213.982,534.66,182.608,613.596,177.319,545.378,199.298,566.57,202.491,552.943
230.975,465.954,229.393,475.331,215.076,520.579,208.211,540.721,195.406,558.82,171.918,553.717,151.196,529.44,280.003,553.277,272.022,532.096,227.911,526.546,226.864,489.956,254.364,605.486,239.747,565.01,216.718,553.682,213.982,534.66,182.608,613.525,177.319,545.387,199.297,566.57,202.493,552.946
230.948,465.954,229.384,475.309,215.075,520.616,208.207,540.727,195.403,558.82,171.911,553.717,151.196,529.44,279.987,553.277,272.022,532.096,227.911,526.547,226.864,489.974,254.364,605.517,239.774,565.01,216.725,553.682,213.997,534.66,182.608,613.524,177.341,545.387,199.297,566.57,202.477,552.946
230.924,465.954,229.381,475.309,215.038,520.616,208.207,540.717,195.403,558.833,171.911,553.724,151.178,529.489,279.987,553.435,272.032,532.116,227.86,526.546,226.85,489.974,254.364,605.517,239.804,565.017,216.718,553.682,213.997,534.654,182.608,613.524,177.408,545.387,199.297,566.598,202.471,552.975
230.924,465.958,229.379,475.309,215.038,520.616,208.207,540.712,195.359,558.858,171.901,553.794,151.178,529.567,279.987,553.441,272.161,532.147,227.85,526.531,226.85,489.977,254.371,605.616,239.811,565.026,216.718,553.691,213.997,534.648,182.622,613.524,177.438,545.322,199.252,566.619,202.471,552.975
230.918,466.012,229.372,475.342,215.005,520.623,208.207,540.693,195.351,558.868,171.901,553.826,151.159,529.568,279.977,553.475,272.161,532.152,227.843,526.531,226.815,490.008,254.371,605.643,239.886,565.071,216.71,553.691,213.968,534.588,182.627,613.535,177.446,545.31,199.252,566.619,202.456,552.975
230.918,466.016,229.361,475.377,215.001,520.623,208.192,540.647,195.333,558.87,171.883,553.826,151.159,529.569,279.977,553.475,272.161,532.166,227.843,526.531,226.799,490.008,254.377,605.643,239.889,565.071,216.709,553.701,213.951,534.575,182.627,613.535,177.438,545.31,199.242,566.631,202.452,552.975
230.907,466.147,229.334,475.449,214.99,520.612,208.168,540.647,195.325,558.897,171.878,553.833,151.14,529.567,279.976,553.441,272.143,532.17,227.833,526.531,226.788,490.02,254.39,605.616,239.917,565.071,216.709,553.691,213.94,534.559,182.627,613.535,177.438,545.31,199.242,566.642,202.434,552.975
230.907,466.147,229.317,475.449,214.962,520.606,208.134,540.647,195.309,558.915,171.839,553.844,151.096,529.585,279.969,553.105,272.086,532.17,227.833,526.531,226.693,490.02,254.42,605.615,239.932,565.071,216.709,553.691,213.915,534.54,182.557,613.535,177.377,545.451,199.07,566.717,202.407,553.004
230.907,466.147,229.304,475.468,214.941,520.606,208.131,540.685,195.307,558.928,171.839,553.973,151.042,529.603,279.969,553.089,272.037,532.174,227.833,526.546,226.693,490.009,254.485,605.615,239.972,565.071,216.695,553.693,213.915,534.54,182.547,613.535,176.961,545.481,199.055,566.741,202.386,553.045
230.907,466.131,229.304,475.468,214.939,520.602,208.11,540.685,195.305,558.975,171.839,554.058,151.042,529.622,279.969,553.071,272.025,532.174,227.844,526.529,226.69,490.004,254.485,605.604,239.999,565.071,216.713,553.693,213.915,534.524,182.547,613.533,176.894,545.481,199.042,566.77,202.386,553.045
230.917,466.102,229.253,475.468,214.922,520.602,208.109,540.685,195.305,558.988,171.877,554.058,151.042,529.622,279.969,553.052,271.982,532.17,227.849,526.529,226.672,489.965,254.501,605.594,240.132,565.136,216.719,553.693,213.917,534.54,182.535,613.525,176.869,545.505,199.042,566.798,202.379,553.048
230.917,466.096,229.233,475.445,214.916,520.589,208.091,540.646,195.3,559.007,171.877,554.058,151.058,529.703,279.966,553.013,271.95,532.146,227.857,526.503,226.665,489.96,254.507,605.604,240.132,565.136,216.719,553.703,213.917,534.534,182.535,613.522,176.746,545.505,199.026,566.799,202.376,553.084
230.856,466.089,229.185,475.478,214.916,520.584,208.091,540.646,195.289,559.01,171.877,554.038,151.058,529.749,279.966,553.017,271.95,532.184,227.865,526.477,226.638,489.96,254.515,605.615,240.132,565.141,216.693,553.714,213.917,534.55,182.555,613.522,176.57,545.562,199.021,566.799,202.375,553.084
230.816,466.089,229.155,475.478,214.916,520.584,208.054,540.646,195.25,559.019,171.859,554.038,151.058,529.783,279.966,552.983,271.932,532.184,227.857,526.477,226.635,489.96,254.515,605.591,240.1,565.158,216.68,553.714,213.886,534.55,182.558,613.525,176.35,545.741,198.991,566.814,202.362,553.084
230.805,466.089,229.083,475.492,214.781,520.589,208.048,540.72,195.243,559.051,171.849,554.038,150.977,529.821,279.966,552.983,271.839,532.212,227.849,526.477,226.621,489.991,254.515,605.591,240.041,565.168,216.638,553.746,213.879,534.588,182.558,613.531,176.327,545.809,198.958,566.841,202.356,553.115
230.805,466.234,229.075,475.607,214.742,520.605,208.012,540.826,195.22,559.197,171.849,554.045,150.977,529.958,279.966,552.983,271.815,532.212,227.782,526.519,226.587,489.997,254.46,605.549,239.85,565.31,216.635,553.769,213.872,534.693,182.67,613.59,176.302,545.867,198.923,566.857,202.356,553.224
230.805,466.234,229.072,475.609,214.686,520.694,208.01,540.907,195.206,559.236,171.849,554.086,150.977,529.979,279.956,552.983,271.737,532.212,227.74,526.612,226.579,490.054,254.402,605.545,239.85,565.315,216.623,553.813,213.868,534.763,182.67,613.59,176.202,545.876,198.913,566.871,202.356,553.271
230.805,466.238,229.07,475.633,214.674,520.705,208.008,540.962,195.173,559.262,171.905,554.174,150.995,530.125,279.953,552.983,271.644,532.234,227.737,526.613,226.564,490.062,254.34,605.543,239.85,565.333,216.623,553.824,213.864,534.81,182.673,613.59,176.201,545.932,198.913,566.871,202.357,553.282
230.828,466.256,229.058,475.675,214.674,520.707,208.008,540.997,195.169,559.265,171.921,554.212,150.995,530.198,279.953,553.002,271.628,532.234,227.719,526.639,226.515,490.081,254.34,605.524,239.837,565.333,216.635,553.845,213.861,534.823,182.676,613.59,176.148,545.937,198.913,566.883,202.374,553.29
230.828,466.265,228.977,475.682,214.575,520.777,207.998,541.084,195.169,559.356,171.921,554.212,150.995,530.281,279.956,553.002,271.605,532.234,227.703,526.665,226.368,490.13,254.34,605.524,239.87,565.333,216.641,553.872,213.855,534.905,182.677,613.595,176.148,546.001,198.96,566.89,202.377,553.328
