filename,Individual ID,type,distance(mm),start(ms),stop(ms),peering_duration(ms),pixelsize(m),bodymass(g),framerate(Hz),Target_x,Target_y,TargetDistance(mm),Frequency(Hz),Amplitude(mm)
20250421_141205_M43_Peering_Binocular_70a.csv,M43,Binocular,70,42101,42701,600,0.000156438,0.1475,10,348,358,57.41,1.43,2.82
20250421_141258_M43_Peering_Binocular_70b.csv,M43,Binocular,70,13400,15100,1700,0.000156438,0.1475,10,348,358,61.64,1.11,2.02
20250421_141325_M43_Peering_Binocular_70c.csv,M43,Binocular,70,24200,26800,2600,0.000156438,0.1475,10,348,358,61.32,1.11,1.38
20250421_141626_M43_Peering_Binocular_70d.csv,M43,Binocular,70,18320,19840,1520,0.000156438,0.1475,50,348,359,60.07,1.3,2.7
20250421_141705_M43_Peering_Binocular_80a.csv,M43,Binocular,80,15900,17620,1720,0.000156438,0.1475,50,347,285,70.4,1.15,3.15
20250421_141732_M43_Peering_Binocular_80b.csv,M43,Binocular,80,12500,14300,1800,0.000156438,0.1475,50,347,285,73.37,1.65,2.86
20250421_141756_M43_Peering_Binocular_80c.csv,M43,Binocular,80,12480,15640,3160,0.000156438,0.1475,50,347,285,73.37,1.26,2.44
20250421_142018_M43_Peering_Binocular_90a.csv,M43,Binocular,90,14560,19700,5140,0.000156438,0.1475,50,344,223,81.5,0.97,1.88
20250421_142048_M43_Peering_Binocular_90b.csv,M43,Binocular,90,11200,14180,2980,0.000156438,0.1475,50,344,223,88.23,1.0,2.12
20250421_142113_M43_Peering_Binocular_90c.csv,M43,Binocular,90,11900,14320,2420,0.000156438,0.1475,50,344,223,83.38,1.23,2.91
20250421_142339_M43_Peering_Binocular_100a.csv,M43,Binocular,100,11780,14740,2960,0.000156438,0.1475,50,344,154,93.86,1.01,3.35
20250421_142403_M43_Peering_Binocular_100b.csv,M43,Binocular,100,13000,17860,4860,0.000156438,0.1475,50,344,154,92.14,1.02,2.77
20250421_142439_M43_Peering_Binocular_100c.csv,M43,Binocular,100,52820,54660,1840,0.000156438,0.1475,50,344,154,87.76,1.08,2.22
20250421_142752_M43_Peering_Binocular_60a.csv,M43,Binocular,60,17860,20960,3100,0.000156438,0.1475,50,347,422,49.75,1.28,1.4
20250421_142823_M43_Peering_Binocular_60b.csv,M43,Binocular,60,13600,14780,1180,0.000156438,0.1475,50,347,422,52.72,1.67,3.42
20250421_142848_M43_Peering_Binocular_60c.csv,M43,Binocular,60,10700,11800,1100,0.000156438,0.1475,50,347,422,48.34,1.79,2.19
20250506_142434_M44_Peering_Binocular_80a.csv,M44,Binocular,80,40820,43620,2800,0.000157774,0.7095,50,354,293,61.53,1.42,2.97
20250506_142621_M44_Peering_Binocular_80b.csv,M44,Binocular,80,26340,29180,2840,0.000157774,0.7095,50,354,293,53.64,1.4,2.79
20250506_142702_M44_Peering_Binocular_80c.csv,M44,Binocular,80,21500,26320,4820,0.000157774,0.7095,50,354,293,53.64,1.03,1.71
20250506_142814_M44_Peering_Binocular_100a.csv,M44,Binocular,100,25280,27760,2480,0.000157774,0.7095,50,351,153,82.52,0.8,3.76
20250506_142854_M44_Peering_Binocular_100b.csv,M44,Binocular,100,20860,23340,2480,0.000157774,0.7095,50,351,153,86.46,0.8,4.15
20250506_142927_M44_Peering_Binocular_100c.csv,M44,Binocular,100,63000,65340,2340,0.000157774,0.7095,50,351,153,84.57,1.27,2.76
20250506_143614_M44_Peering_Binocular_120a.csv,M44,Binocular,120,23240,28480,5240,0.000157774,0.7095,50,350,30,106.18,0.19,3.91
20250506_143653_M44_Peering_Binocular_120b.csv,M44,Binocular,120,26880,28520,1640,0.000157774,0.7095,50,350,30,100.98,0.6,3.54
20250506_143733_M44_Peering_Binocular_120c.csv,M44,Binocular,120,34880,39280,4400,0.000157774,0.7095,50,350,30,103.97,0.68,4.68
20250506_143923_M44_Peering_Binocular_90a.csv,M44,Binocular,90,15700,18220,2520,0.000157774,0.7095,50,352,217,71.16,1.18,2.74
20250506_143952_M44_Peering_Binocular_90b.csv,M44,Binocular,90,23600,27180,3580,0.000157774,0.7095,50,352,217,68.32,0.83,3.14
20250506_144029_M44_Peering_Binocular_90c.csv,M44,Binocular,90,21540,25060,3520,0.000157774,0.7095,50,352,217,71.16,0.85,3.01
20250506_145702_M44_Peering_Binocular_110a.csv,M44,Binocular,110,43340,44700,1360,0.000157774,0.7095,50,351,87,95.61,0.72,3.34
20250506_145758_M44_Peering_Binocular_110b.csv,M44,Binocular,110,50400,50920,520,0.000157774,0.7095,50,351,87,95.45,1.85,2.45
20250506_145900_M44_Peering_Binocular_110c.csv,M44,Binocular,110,45500,49980,4480,0.000157774,0.7095,50,351,87,92.93,0.67,3.74
20251104_171515_M46_Peering_Binocular_70a.csv,M46,Binocular,70,48600,51420,2820,0.000174107,0.106,50,339,424,65.81,0.7,3.46
20251104_171636_M46_Peering_Binocular_70b.csv,M46,Binocular,70,21800,23260,1460,0.000174107,0.106,50,339,424,63.9,1.35,2.93
20251104_171708_M46_Peering_Binocular_70c.csv,M46,Binocular,70,11260,12620,1360,0.000174107,0.106,50,339,424,65.12,1.45,3.57
20251104_171750_M46_Peering_Binocular_80a.csv,M46,Binocular,80,10480,11980,1500,0.000174107,0.106,50,339,364,75.39,0.66,4.51
20251104_171841_M46_Peering_Binocular_80b.csv,M46,Binocular,80,14080,16060,1980,0.000174107,0.106,50,339,364,74.52,0.51,3.63
20251104_171909_M46_Peering_Binocular_80c.csv,M46,Binocular,80,8240,9560,1320,0.000174107,0.106,50,339,364,75.74,0.75,4.5
20251104_172354_M46_Peering_Binocular_90a.csv,M46,Binocular,90,17600,20380,2780,0.000174107,0.106,50,339,304,87.05,1.07,3.19
20251104_172425_M46_Peering_Binocular_90b.csv,M46,Binocular,90,13120,14540,1420,0.000174107,0.106,50,339,304,88.1,0.69,3.63
20251104_172450_M46_Peering_Binocular_90c.csv,M46,Binocular,90,11160,12960,1800,0.000174107,0.106,50,339,304,84.09,0.55,3.26
20251104_172538_M46_Peering_Binocular_100a.csv,M46,Binocular,100,16220,19360,3140,0.000174107,0.106,50,339,253,94.71,0.95,3.35
20251104_172607_M46_Peering_Binocular_100b.csv,M46,Binocular,100,27580,29860,2280,0.000174107,0.106,50,339,253,94.37,1.3,2.84
20251104_172646_M46_Peering_Binocular_100c.csv,M46,Binocular,100,10640,14040,3400,0.000174107,0.106,50,339,253,96.28,0.88,3.37
20251104_173119_M46_Peering_Binocular_110a.csv,M46,Binocular,110,32800,39000,6200,0.000174107,0.106,50,347,181,104.12,0.64,3.14
20251104_173209_M46_Peering_Binocular_110b.csv,M46,Binocular,110,10700,12920,2220,0.000174107,0.106,50,347,181,106.55,0.89,2.62
20251104_173232_M46_Peering_Binocular_110c.csv,M46,Binocular,110,13440,15960,2520,0.000174107,0.106,50,347,181,107.77,0.79,5.15
20251104_173317_M46_Peering_Binocular_120a.csv,M46,Binocular,120,29620,34500,4880,0.000174107,0.106,50,345,135,112.47,0.41,2.78
20260427_142511_M47_Peering_Binocular_70a.csv,M47,Binocular,70,64760,66820,2060,0.000165355,0.5294,50,301,383,63.17,0.97,2.42
20260427_142627_M47_Peering_Binocular_70b.csv,M47,Binocular,70,31540,34060,2520,0.000165355,0.5294,50,301,383,60.19,1.57,1.28
20260427_142721_M47_Peering_Binocular_70c.csv,M47,Binocular,70,10220,12540,2320,0.000165355,0.5294,50,301,383,66.14,1.71,2.0
20260427_143040_M47_Peering_Binocular_80a.csv,M47,Binocular,80,56500,57120,620,0.000165355,0.5294,50,300,329,67.63,1.56,1.5
20260427_143147_M47_Peering_Binocular_80b.csv,M47,Binocular,80,68700,70461,1761,0.000165355,0.5294,50,300,329,72.09,0.56,2.5
20260427_143307_M47_Peering_Binocular_80c.csv,M47,Binocular,80,82821,87961,5140,0.000165355,0.5294,50,300,329,68.13,1.16,1.75
20260427_143508_M47_Peering_Binocular_90a.csv,M47,Binocular,90,24140,27180,3040,0.000165355,0.5294,50,301,254,82.35,0.98,1.99
20260427_143543_M47_Peering_Binocular_90b.csv,M47,Binocular,90,69561,70981,1420,0.000165355,0.5294,50,301,254,83.01,1.39,3.86
20260427_143705_M47_Peering_Binocular_90c.csv,M47,Binocular,90,21620,23560,1940,0.000165355,0.5294,50,301,254,83.34,1.02,3.29
20260427_144120_M47_Peering_Binocular_100a.csv,M47,Binocular,100,25100,27540,2440,0.000165355,0.5294,50,300,203,91.11,0.81,2.52
20260427_144156_M47_Peering_Binocular_100b.csv,M47,Binocular,100,26240,29000,2760,0.000165355,0.5294,50,300,203,88.8,1.08,3.02
20260427_144239_M47_Peering_Binocular_100c.csv,M47,Binocular,100,62180,64780,2600,0.000165355,0.5294,50,300,203,85.98,0.76,3.84
20260427_144429_M47_Peering_Binocular_110a.csv,M47,Binocular,110,60500,63460,2960,0.000165355,0.5294,50,302,141,100.7,0.67,3.09
20260427_144754_M47_Peering_Binocular_110b.csv,M47,Binocular,110,33300,38020,4720,0.000165355,0.5294,50,302,141,101.53,0.21,2.91
20260427_144842_M47_Peering_Binocular_110c.csv,M47,Binocular,110,32760,39640,6880,0.000165355,0.5294,50,302,141,105.0,0.87,2.0
20260427_183440_M48_Peering_Binocular_70a.csv,M48,Binocular,70,20880,26360,5480,0.000165281,0.3166,50,299,383,54.38,1.82,2.02
20260427_183517_M48_Peering_Binocular_70b.csv,M48,Binocular,70,42060,42760,700,0.000165281,0.3166,50,299,383,54.38,1.39,2.43
20260427_183611_M48_Peering_Binocular_70c.csv,M48,Binocular,70,18180,22040,3860,0.000165281,0.3166,50,299,383,53.72,2.06,2.94
20260427_183802_M48_Peering_Binocular_80a.csv,M48,Binocular,80,23060,23680,620,0.000165281,0.3166,50,300,321,71.07,1.56,2.34
20260427_183834_M48_Peering_Binocular_80b.csv,M48,Binocular,80,22900,27480,4580,0.000165281,0.3166,50,300,321,68.92,1.74,2.86
20260427_183921_M48_Peering_Binocular_80c.csv,M48,Binocular,80,17280,18840,1560,0.000165281,0.3166,50,300,321,69.42,1.27,4.33
20260427_184506_M48_Peering_Binocular_90a.csv,M48,Binocular,90,23020,27380,4360,0.000165281,0.3166,50,300,258,83.14,1.6,3.26
20260427_184542_M48_Peering_Binocular_90b.csv,M48,Binocular,90,29800,33380,3580,0.000165281,0.3166,50,300,258,81.81,1.67,2.81
20260427_184623_M48_Peering_Binocular_90c.csv,M48,Binocular,90,14340,16560,2220,0.000165281,0.3166,50,300,258,82.64,1.35,5.23
