Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
335.524,409.189,321.728,415.853,281.086,447.452,268.001,464.074,254.254,477.774,219.476,478.259,191.1,456.583,324.169,525.885,330.435,500.748,297.215,462.098,311.351,428.957,310.973,510.851,298.007,460.742,273.27,479.925,273.151,461.308,247.322,512.022,254.654,439.934,251.862,491.055,258.596,475.647
335.578,409.224,321.793,415.853,281.207,447.452,268.003,464.074,254.289,477.815,219.503,478.279,191.117,456.6,324.169,525.924,330.435,500.758,297.215,462.098,311.381,428.957,310.973,510.887,298.046,460.807,273.315,479.925,273.237,461.308,247.322,512.111,254.71,439.958,251.909,491.055,258.614,475.647
335.611,409.229,321.816,415.853,281.252,447.452,268.032,464.074,254.295,477.833,219.517,478.279,191.117,456.612,324.169,525.938,330.435,500.786,297.215,462.098,311.418,428.957,310.973,510.894,298.081,460.823,273.346,479.925,273.278,461.308,247.322,512.168,254.719,439.976,251.918,491.055,258.616,475.647
335.726,409.233,321.899,415.844,281.287,447.435,268.088,464.067,254.295,477.815,219.578,478.279,191.117,456.6,324.074,525.951,330.428,500.786,297.213,462.033,311.482,428.934,310.943,510.894,298.081,460.827,273.358,479.915,273.308,461.218,247.297,512.168,254.719,440.018,251.938,490.941,258.637,475.618
335.727,409.235,321.91,415.831,281.295,447.435,268.09,464.067,254.323,477.774,219.593,478.279,191.117,456.583,323.978,525.951,330.428,500.813,297.213,462.026,311.512,428.93,310.933,510.894,298.081,460.827,273.387,479.915,273.323,461.218,247.252,512.173,254.735,440.018,251.945,490.917,258.689,475.595
335.804,409.268,321.963,415.831,281.377,447.435,268.17,464.067,254.43,477.682,219.652,478.279,191.136,456.572,323.978,526.069,330.428,500.813,297.207,462.026,311.539,428.924,310.925,510.864,298.006,460.823,273.39,479.915,273.424,461.218,247.214,512.195,254.767,440.02,252.133,490.814,258.812,475.466
335.808,409.268,321.976,415.831,281.377,447.485,268.171,464.067,254.458,477.665,219.68,478.259,191.136,456.515,323.978,526.078,330.446,500.813,297.207,462.026,311.554,428.921,310.886,510.705,297.99,460.785,273.39,479.911,273.432,461.218,247.214,512.202,254.775,440.02,252.145,490.763,258.814,475.417
335.861,409.27,322.036,415.831,281.377,447.512,268.203,464.067,254.471,477.631,219.712,478.259,191.136,456.486,323.981,526.078,330.499,500.806,297.206,462.062,311.6,428.918,310.894,510.701,297.99,460.733,273.39,479.911,273.494,461.229,247.214,512.23,254.803,440.02,252.184,490.763,258.853,475.383
335.919,409.27,322.087,415.831,280.278,447.604,268.302,464.049,254.593,477.542,219.712,478.188,191.112,456.458,323.988,526.078,330.499,500.806,297.207,462.122,311.636,428.918,310.886,510.699,297.99,460.732,273.41,479.892,273.526,461.235,247.221,512.373,254.81,440.035,252.243,490.763,258.92,475.32
335.921,409.268,322.128,415.832,280.278,447.604,268.341,464.032,254.662,477.479,219.737,478.157,191.102,456.291,323.997,525.952,330.499,500.806,297.207,462.146,311.741,428.846,310.875,510.598,298.217,460.561,273.508,479.889,273.561,461.229,247.25,512.378,254.81,440.052,252.359,490.757,259.017,475.306
335.953,409.251,322.173,415.834,280.278,447.604,268.353,464.0,254.75,477.465,219.767,478.149,191.077,456.291,323.998,525.889,330.484,501.105,297.213,462.149,311.769,428.844,310.799,510.58,298.269,460.462,273.615,479.878,273.597,461.197,247.254,512.411,254.795,440.052,252.43,490.689,259.026,475.293
336.033,409.251,322.213,415.832,280.401,447.604,268.364,464.032,254.752,477.423,219.796,478.128,191.072,456.291,323.998,525.889,330.407,501.116,297.213,462.149,311.829,428.835,310.786,510.58,298.285,460.452,273.617,479.826,273.685,461.229,247.25,512.389,254.819,440.052,252.434,490.669,259.026,475.278
336.127,409.209,322.247,415.833,280.495,447.604,268.398,464.037,254.77,477.418,219.817,478.122,191.049,456.291,323.988,525.889,330.392,501.133,297.213,462.122,311.884,428.798,310.767,510.598,298.32,460.439,273.649,479.804,273.731,461.209,247.226,512.389,254.836,440.025,252.434,490.669,259.026,475.278
336.129,409.179,322.26,415.834,280.495,447.624,268.398,464.037,254.77,477.418,219.817,478.097,191.049,456.262,323.879,525.942,330.126,501.15,297.208,462.042,311.959,428.795,310.761,510.609,298.326,460.368,273.672,479.769,273.74,461.208,247.25,512.389,254.831,440.025,252.447,490.669,259.017,475.278
336.155,409.178,322.26,415.833,280.496,447.624,268.404,464.037,254.776,477.423,219.817,478.097,191.042,456.244,323.863,525.945,330.115,501.163,297.192,462.042,311.966,428.792,310.749,510.618,298.328,460.368,273.675,479.764,273.745,461.208,247.26,512.376,254.831,440.017,252.447,490.744,259.006,475.28
336.164,409.175,322.26,415.831,280.496,447.624,268.404,464.05,254.776,477.454,219.817,478.097,191.042,456.221,323.863,525.96,330.081,501.163,297.181,462.034,311.969,428.792,310.749,510.646,298.326,460.368,273.676,479.769,273.745,461.209,247.226,512.373,254.831,440.017,252.449,490.752,259.006,475.286
336.165,409.174,322.27,415.831,280.504,447.612,268.431,464.053,254.776,477.454,219.817,478.082,191.042,456.215,323.879,525.96,330.036,501.15,297.18,462.032,311.984,428.792,310.735,510.646,298.34,460.368,273.675,479.769,273.792,461.209,247.229,512.366,254.814,440.008,252.449,490.773,259.006,475.294
336.166,409.175,322.273,415.831,280.531,447.605,268.432,464.053,254.8,477.454,219.881,477.962,191.125,456.214,323.9,525.971,329.985,501.149,297.18,461.96,311.989,428.809,310.72,510.646,298.334,460.368,273.672,479.798,273.803,461.208,247.229,512.365,254.814,440.008,252.485,490.774,259.034,475.298
336.178,409.178,322.276,415.831,280.532,447.593,268.46,464.036,254.804,477.419,219.907,477.95,191.137,456.215,323.9,525.971,329.958,501.149,297.18,461.955,311.993,428.81,310.71,510.638,298.34,460.377,273.64,479.798,273.803,461.196,247.229,512.365,254.792,440.007,252.492,490.774,259.037,475.298
336.184,409.184,322.296,415.84,280.531,447.605,268.461,464.036,254.804,477.419,219.944,477.909,191.183,456.215,323.92,525.971,329.931,501.149,297.18,461.932,311.993,428.823,310.71,510.638,298.334,460.377,273.635,479.804,273.803,461.217,247.212,512.359,254.814,439.995,252.492,490.773,259.037,475.3
336.184,409.202,322.311,415.845,280.504,447.612,268.461,464.036,254.807,477.419,219.944,477.907,191.288,456.211,323.913,525.971,329.927,501.134,297.18,461.925,311.989,428.828,310.71,510.636,298.334,460.377,273.617,479.807,273.803,461.225,247.217,512.346,254.81,439.987,252.492,490.772,259.045,475.3
336.184,409.263,322.311,415.917,280.502,447.654,268.46,464.036,254.8,477.46,219.95,477.887,191.317,456.156,323.913,525.946,329.902,501.145,297.18,461.925,311.961,428.939,310.716,510.636,298.319,460.435,273.61,479.807,273.788,461.251,247.215,512.333,254.81,439.974,252.485,490.772,259.037,475.32
336.184,409.298,322.311,415.954,280.502,447.679,268.466,464.032,254.815,477.46,219.984,477.84,191.317,456.092,323.919,525.933,329.883,501.15,297.181,461.932,311.961,428.992,310.717,510.656,298.295,460.439,273.608,479.807,273.788,461.251,247.217,512.331,254.81,439.953,252.484,490.772,259.045,475.32
336.184,409.298,322.335,415.962,280.502,447.682,268.455,464.079,254.815,477.46,219.984,477.829,191.32,456.024,323.932,525.898,329.869,501.167,297.179,461.934,311.959,429.036,310.717,510.657,298.286,460.458,273.599,479.822,273.779,461.263,247.217,512.321,254.81,439.953,252.484,490.779,259.045,475.334
336.194,409.298,322.342,415.963,280.506,447.729,268.455,464.079,254.847,477.426,220.078,477.822,191.324,456.023,323.995,525.852,329.869,501.175,297.179,462.003,311.955,429.036,310.722,510.752,298.272,460.439,273.593,479.822,273.779,461.263,247.25,512.313,254.775,439.929,252.506,490.779,259.06,475.334
336.201,409.282,322.345,415.963,280.517,447.729,268.475,464.065,254.883,477.418,220.164,477.803,191.35,456.023,324.009,525.852,329.859,501.239,297.106,462.003,311.948,429.036,310.716,510.776,298.153,460.438,273.56,479.822,273.802,461.249,247.25,512.281,254.727,439.91,252.515,490.779,259.064,475.317
336.202,409.282,322.346,415.963,280.533,447.713,268.476,464.059,254.906,477.415,220.184,477.777,191.393,455.928,324.009,525.852,329.866,501.243,297.106,462.003,311.959,429.034,310.714,510.824,298.153,460.458,273.56,479.821,273.809,461.214,247.25,512.281,254.724,439.898,252.586,490.761,259.082,475.316
336.212,409.271,322.346,415.964,280.533,447.745,268.475,464.065,254.906,477.415,220.184,477.76,191.406,455.881,323.995,525.884,329.859,501.251,297.106,461.984,311.959,429.03,310.705,510.824,298.153,460.458,273.56,479.837,273.802,461.249,247.25,512.281,254.713,439.895,252.586,490.761,259.082,475.316
336.216,409.244,322.346,415.967,280.517,447.745,268.475,464.065,254.906,477.415,220.184,477.717,191.487,455.848,323.887,526.029,329.859,501.251,297.133,461.98,311.948,429.022,310.671,510.824,298.17,460.445,273.56,479.837,273.802,461.249,247.25,512.264,254.688,439.878,252.586,490.761,259.082,475.316
336.237,409.244,322.346,415.971,280.466,447.757,268.465,464.094,254.796,477.534,220.058,477.667,191.546,455.641,323.742,526.057,329.598,501.243,297.135,461.98,311.948,429.022,310.667,510.736,298.171,460.445,273.59,479.901,273.802,461.265,247.235,512.266,254.687,439.863,252.515,490.796,259.018,475.388
336.237,409.244,322.343,415.972,280.466,447.795,268.465,464.097,254.753,477.554,219.988,477.666,191.546,455.627,323.719,526.08,329.582,501.243,297.14,461.98,311.955,429.034,310.625,510.736,298.184,460.445,273.59,479.904,273.802,461.265,247.209,512.286,254.685,439.878,252.504,490.807,258.99,475.429
336.237,409.244,322.339,415.987,280.466,447.808,268.448,464.143,254.753,477.562,219.988,477.661,191.633,455.547,323.719,526.08,329.568,501.242,297.14,462.004,311.95,429.041,310.625,510.732,298.187,460.424,273.597,479.922,273.802,461.316,247.199,512.279,254.685,439.895,252.463,490.845,258.978,475.43
336.239,409.264,322.337,415.99,280.504,447.808,268.44,464.145,254.753,477.601,219.988,477.61,191.642,455.451,323.719,526.057,329.552,501.234,297.19,462.004,311.95,429.063,310.625,510.732,298.221,460.393,273.602,479.928,273.813,461.316,247.198,512.279,254.687,439.9,252.463,490.845,258.978,475.444
336.237,409.285,322.317,416.012,280.507,447.799,268.456,464.143,254.762,477.601,220.02,477.603,191.649,455.36,323.837,525.995,329.552,501.225,297.226,462.004,311.952,429.063,310.663,510.741,298.227,460.383,273.645,479.928,273.815,461.312,247.197,512.289,254.728,439.916,252.477,490.818,258.989,475.43
336.23,409.289,322.31,416.016,280.522,447.795,268.456,464.097,254.792,477.601,220.061,477.566,191.669,455.292,323.868,525.956,329.568,501.225,297.249,461.995,311.952,429.063,310.681,510.752,298.229,460.383,273.66,479.923,273.844,461.261,247.196,512.303,254.729,439.916,252.477,490.818,258.989,475.429
336.23,409.289,322.31,416.016,280.575,447.754,268.456,464.083,254.857,477.534,220.155,477.376,191.711,455.18,323.868,525.956,329.573,501.225,297.252,461.964,311.952,429.053,310.681,510.752,298.253,460.376,273.663,479.923,273.844,461.261,247.188,512.303,254.734,439.916,252.488,490.804,259.005,475.415
336.239,409.283,322.317,416.019,280.607,447.709,268.53,464.034,255.007,477.433,220.201,477.333,191.734,455.048,323.837,525.995,329.575,501.225,297.259,461.964,311.964,429.053,310.681,510.752,298.275,460.371,273.728,479.923,273.88,461.215,247.178,512.306,254.749,439.902,252.617,490.796,259.11,475.362
336.266,409.283,322.326,416.019,280.607,447.69,268.531,464.022,255.007,477.433,220.201,477.329,191.818,454.97,323.837,526.064,329.708,501.24,297.279,461.952,311.983,429.053,310.677,510.655,298.292,460.383,273.729,479.915,273.898,461.206,247.178,512.377,254.842,439.869,252.617,490.72,259.183,475.362
336.266,409.282,322.348,416.023,280.617,447.664,268.555,464.015,255.007,477.433,220.201,477.233,191.846,454.835,323.838,526.064,329.778,501.24,297.279,461.952,311.988,429.056,310.677,510.531,298.292,460.358,273.729,479.887,273.907,461.203,247.178,512.377,254.842,439.869,252.621,490.698,259.193,475.359
336.283,409.274,322.357,416.018,280.649,447.64,268.555,464.015,255.007,477.433,220.201,477.115,191.948,454.685,323.838,526.064,329.803,501.2,297.279,461.973,312.028,429.072,310.677,510.494,298.292,460.358,273.729,479.887,273.925,461.155,247.207,512.377,254.843,439.869,252.624,490.666,259.196,475.35
336.283,409.282,322.364,416.019,280.733,447.599,268.589,463.95,255.007,477.41,220.201,477.067,191.956,454.67,323.871,526.023,329.868,501.151,297.279,461.984,312.061,429.072,310.691,510.494,298.292,460.362,273.729,479.892,273.995,461.111,247.207,512.369,254.843,439.87,252.627,490.651,259.196,475.309
336.253,409.282,322.439,416.019,280.737,447.593,268.626,463.947,255.117,477.347,220.278,477.031,191.966,454.597,323.871,525.971,329.868,501.151,297.279,461.988,312.075,429.078,310.706,510.529,298.334,460.388,273.729,479.892,274.01,461.104,247.207,512.356,254.85,439.876,252.627,490.651,259.265,475.283
335.431,409.633,322.481,416.02,280.742,447.574,268.631,463.947,255.129,477.347,220.448,476.964,192.049,454.561,323.88,525.971,329.868,501.151,297.303,461.989,312.076,429.078,310.707,510.491,298.353,460.401,273.753,479.892,274.016,461.085,247.165,512.33,254.931,439.893,252.627,490.651,259.277,475.278
335.417,409.655,322.486,416.02,280.749,447.563,268.634,463.947,255.155,477.283,220.491,476.901,192.167,454.483,323.88,525.946,329.868,501.151,297.323,461.989,312.087,429.069,310.714,510.501,298.364,460.437,273.764,479.892,274.034,461.085,247.165,512.324,254.931,439.909,252.627,490.651,259.289,475.272
335.417,409.684,322.506,416.056,280.766,447.549,268.635,463.947,255.163,477.283,220.491,476.866,192.2,454.357,323.883,525.93,329.868,501.151,297.346,461.989,312.089,429.063,310.724,510.506,298.381,460.448,273.764,479.892,274.057,461.084,247.163,512.321,254.931,439.913,252.627,490.651,259.311,475.251
