Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
402.949,461.14,388.88,463.619,324.444,473.698,302.869,479.94,285.137,481.607,261.158,464.092,265.89,423.163,377.578,582.629,383.512,555.571,350.156,509.62,369.059,471.468,279.05,527.697,321.622,482.191,296.271,492.736,310.804,480.113,229.191,525.141,281.769,462.24,274.721,492.409,291.321,482.687
402.959,461.171,388.89,463.619,324.444,473.751,302.878,479.971,285.14,481.608,261.159,464.097,265.903,423.163,377.58,582.648,383.515,555.571,350.156,509.645,369.065,471.468,279.074,527.697,321.632,482.191,296.272,492.738,310.807,480.176,229.196,525.149,281.776,462.24,274.727,492.409,291.327,482.696
402.959,461.18,388.893,463.62,324.452,473.754,302.889,479.974,285.153,481.611,261.171,464.098,265.903,423.165,377.58,582.651,383.519,555.583,350.156,509.666,369.073,471.468,279.078,527.758,321.639,482.195,296.277,492.746,310.811,480.176,229.197,525.149,281.776,462.24,274.728,492.417,291.339,482.696
402.949,461.183,388.898,463.619,324.444,473.754,302.878,479.974,285.14,481.608,261.159,464.097,265.903,423.165,377.578,582.648,383.515,555.571,350.153,509.666,369.073,471.445,279.078,527.697,321.632,482.191,296.277,492.738,310.807,480.176,229.197,525.149,281.769,462.24,274.727,492.409,291.327,482.696
402.948,461.184,388.898,463.619,324.434,473.754,302.878,479.971,285.14,481.608,261.158,464.097,265.897,423.167,377.559,582.648,383.512,555.565,350.137,509.666,369.073,471.433,279.087,527.687,321.639,482.178,296.277,492.738,310.807,480.158,229.197,524.906,281.733,462.24,274.727,492.407,291.327,482.69
402.928,461.186,388.902,463.599,324.351,473.717,302.768,479.936,285.051,481.595,261.149,464.016,265.897,423.169,377.547,582.613,383.463,555.565,350.077,509.507,369.073,471.371,279.096,527.665,321.639,482.143,296.277,492.734,310.726,480.102,229.215,524.871,281.732,462.245,274.699,492.36,291.285,482.673
402.914,461.186,388.898,463.593,324.319,473.717,302.768,479.935,285.013,481.582,261.098,463.948,265.897,423.169,377.547,582.57,383.463,555.576,350.017,509.494,369.061,471.371,279.106,527.665,321.639,482.096,296.232,492.727,310.679,480.096,229.227,524.847,281.732,462.265,274.603,492.347,291.23,482.672
402.9,461.183,388.895,463.588,324.302,473.712,302.768,479.923,285.013,481.572,261.093,463.947,265.9,423.167,377.547,582.57,383.463,555.551,350.017,509.49,369.053,471.368,279.106,527.665,321.654,482.026,296.232,492.725,310.677,480.077,229.227,524.844,281.732,462.283,274.6,492.347,291.23,482.669
402.869,461.147,388.833,463.578,324.299,473.696,302.81,479.911,285.013,481.526,261.093,463.873,265.9,423.149,377.547,582.57,383.474,555.564,350.017,509.49,369.029,471.344,279.106,527.753,321.754,481.972,296.232,492.719,310.67,480.039,229.232,524.844,281.726,462.311,274.565,492.347,291.23,482.648
402.797,461.111,388.823,463.574,324.29,473.689,302.81,479.911,285.013,481.521,261.093,463.873,265.9,423.149,377.681,582.57,383.474,555.564,350.044,509.438,369.026,471.29,279.092,527.845,321.754,481.972,296.24,492.718,310.667,480.017,229.241,524.819,281.701,462.32,274.556,492.347,291.23,482.645
402.786,461.109,388.799,463.574,324.299,473.689,302.816,479.911,285.013,481.521,261.098,463.873,265.9,423.149,377.682,582.567,383.474,555.562,350.047,509.438,369.026,471.29,279.091,527.845,321.754,481.972,296.246,492.716,310.67,480.015,229.247,524.801,281.689,462.323,274.556,492.361,291.233,482.642
402.786,461.109,388.796,463.571,324.299,473.685,302.816,479.914,285.024,481.526,261.14,463.893,265.894,423.152,377.684,582.567,383.474,555.561,350.047,509.41,369.026,471.282,279.085,527.845,321.719,481.998,296.262,492.716,310.677,480.015,229.247,524.801,281.666,462.323,274.556,492.369,291.238,482.642
402.786,461.111,388.795,463.565,324.299,473.685,302.818,479.917,285.066,481.528,261.14,463.932,265.892,423.152,377.687,582.56,383.472,555.561,350.047,509.41,369.019,471.279,279.091,527.822,321.704,482.011,296.275,492.716,310.706,480.015,229.247,524.819,281.664,462.32,274.572,492.37,291.28,482.645
