Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
392.082,464.283,377.29,466.135,317.545,474.786,294.185,481.84,274.117,486.455,257.192,461.785,271.311,424.231,352.297,578.783,342.631,555.766,326.98,504.086,357.336,474.074,288.358,563.921,301.411,510.177,287.672,500.913,302.078,483.586,219.842,518.471,276.751,456.553,264.254,496.302,282.086,486.064
392.082,464.283,377.308,466.135,317.579,474.793,294.23,481.941,274.132,486.455,257.202,461.8,271.394,424.281,352.308,578.8,342.658,555.77,327.09,504.086,357.344,474.074,288.39,563.921,301.458,510.177,287.672,500.913,302.094,483.699,219.873,518.51,276.756,456.7,264.256,496.302,282.087,486.094
392.082,464.283,377.308,466.135,317.623,474.796,294.253,481.945,274.139,486.455,257.202,461.819,271.394,424.292,352.352,578.8,342.658,555.77,327.121,504.086,357.363,474.074,288.39,563.948,301.458,510.177,287.672,500.913,302.175,483.702,219.873,518.51,276.82,456.7,264.267,496.302,282.087,486.107
392.082,464.283,377.31,466.134,317.648,474.812,294.302,481.948,274.146,486.409,257.222,461.8,271.396,424.292,352.352,578.8,342.631,555.77,328.373,504.091,357.377,474.068,288.39,563.921,301.411,509.977,287.672,500.866,302.247,483.73,219.873,518.51,276.82,456.701,264.294,496.289,282.086,486.116
392.082,464.283,377.312,466.134,317.664,474.89,294.322,481.993,274.171,486.409,257.222,461.785,271.513,424.317,352.356,578.8,342.631,555.77,328.419,504.086,357.377,474.068,288.406,563.906,301.374,509.977,287.672,500.843,302.26,483.737,219.811,518.478,276.863,456.732,264.307,496.282,280.835,487.99
392.185,464.383,377.408,466.134,317.71,474.924,294.325,482.029,274.186,486.409,257.251,461.638,271.621,424.354,352.394,578.866,342.658,555.77,328.431,504.073,357.43,474.068,288.435,563.878,301.228,509.977,287.718,500.712,302.294,483.748,219.811,518.478,276.87,456.792,264.322,496.227,280.835,487.994
392.252,464.53,377.408,466.21,317.822,474.963,294.377,482.072,274.194,486.428,257.251,461.638,271.621,424.354,352.394,578.878,342.691,555.967,328.466,504.073,357.434,474.121,288.435,563.906,301.228,509.994,287.728,500.712,302.403,483.755,219.792,518.466,276.939,456.792,264.322,496.227,280.835,487.999
392.252,464.53,377.408,466.213,317.868,475.025,294.413,482.087,274.194,486.44,257.265,461.638,271.621,424.364,352.394,578.978,342.783,555.967,328.466,504.086,357.434,474.123,288.439,563.878,301.228,509.994,287.728,500.711,302.482,483.755,219.77,518.466,276.934,456.792,264.322,496.223,280.833,487.999
392.252,464.53,377.397,466.215,317.967,475.109,294.451,482.096,274.194,486.442,257.273,461.69,271.571,424.364,352.274,579.019,342.786,555.967,328.431,504.086,357.43,474.125,288.441,563.878,301.239,509.994,287.718,500.711,302.555,483.758,219.759,518.474,276.934,456.822,264.319,496.221,280.833,488.009
392.251,464.53,377.342,466.216,318.001,475.215,294.515,482.164,274.129,486.45,257.278,461.713,271.571,424.364,352.201,579.089,342.961,555.895,327.898,504.31,357.389,474.165,288.476,563.863,301.239,509.787,287.673,500.714,302.608,483.824,219.759,518.479,276.956,456.822,264.217,496.139,280.758,488.041
