Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
370.905,390.405,367.134,401.033,336.779,475.809,326.112,496.448,313.353,514.239,277.69,534.729,232.614,519.708,448.745,506.57,429.66,487.842,375.018,467.636,362.419,421.257,377.692,576.278,362.77,516.933,334.666,511.395,333.146,489.668,302.636,579.437,305.066,515.386,319.36,526.788,322.668,508.697
370.91,390.414,367.134,401.086,336.779,475.847,326.112,496.489,313.389,514.292,277.807,534.729,232.633,519.794,448.766,506.647,429.695,487.92,375.032,467.641,362.426,421.265,377.699,576.278,362.784,516.933,334.666,511.416,333.146,489.762,302.637,579.437,305.135,515.4,319.403,526.795,322.676,508.749
370.91,390.461,367.134,401.112,336.779,475.914,326.112,496.5,313.389,514.292,277.807,534.736,232.633,519.809,448.838,506.648,429.714,487.945,375.032,467.669,362.426,421.265,377.73,576.284,362.784,516.933,334.667,511.465,333.146,489.801,302.637,579.437,305.135,515.501,319.403,526.836,322.676,508.752
370.905,390.497,367.13,401.116,336.754,475.944,326.093,496.507,313.389,514.292,277.807,534.736,232.633,519.809,448.855,506.694,429.695,487.971,375.018,467.669,362.419,421.275,377.737,576.284,362.77,516.933,334.666,511.467,333.119,489.823,302.641,579.437,305.066,515.501,319.399,526.844,322.668,508.774
370.883,390.537,367.101,401.157,336.728,475.981,326.017,496.604,313.325,514.418,277.703,534.738,232.574,519.809,448.91,506.847,429.677,488.159,374.95,467.685,362.415,421.283,377.776,576.284,362.748,516.933,334.656,511.525,333.074,489.873,302.643,579.437,304.972,515.699,319.399,527.024,322.619,508.864
370.857,390.537,367.101,401.209,336.671,476.001,325.984,496.662,313.323,514.482,277.605,534.86,232.517,519.746,448.914,506.847,429.677,488.159,374.866,467.69,362.385,421.314,377.844,576.278,362.748,516.974,334.656,511.525,332.987,489.913,303.141,579.499,304.94,515.713,319.403,527.025,322.512,508.932
370.829,390.537,367.101,401.209,336.661,476.001,325.974,496.687,313.323,514.557,277.605,534.86,232.508,519.74,448.927,506.847,429.667,488.159,374.823,467.702,362.336,421.317,377.844,576.284,362.724,517.036,334.687,511.525,332.976,489.966,303.153,579.503,304.939,515.735,319.417,527.112,322.493,508.989
370.812,390.554,367.074,401.215,336.649,476.001,325.937,496.691,313.325,514.605,277.563,534.876,232.402,519.697,448.955,506.847,429.667,488.141,374.809,467.783,362.315,421.341,377.864,576.281,362.724,517.036,334.619,511.58,332.954,489.98,303.153,579.503,304.939,515.735,319.419,527.112,322.477,508.989
370.812,390.554,367.051,401.215,336.633,475.917,325.923,496.695,313.379,514.618,277.563,534.892,232.401,519.654,448.981,506.847,429.667,488.128,374.77,467.823,362.304,421.362,377.855,576.278,362.72,517.037,335.81,510.759,332.954,490.019,303.153,579.503,304.94,515.735,319.446,527.183,322.463,508.992
370.81,390.582,366.885,401.286,336.618,475.799,325.919,496.709,313.397,514.658,277.498,534.992,232.297,519.654,448.955,506.937,429.689,485.318,374.671,467.861,362.219,421.384,377.844,576.278,362.683,517.037,335.819,510.753,332.935,490.026,303.124,579.434,305.181,515.716,319.574,527.186,322.45,508.997
