Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
462.064,442.581,445.168,443.456,353.061,453.922,326.326,467.485,300.2,477.845,257.669,470.659,231.881,427.932,410.753,604.653,417.237,572.564,388.153,498.962,416.982,451.529,361.34,553.482,375.562,467.747,326.489,490.282,335.176,469.427,239.912,549.23,266.799,448.126,293.896,492.589,309.293,478.731
462.064,442.591,445.173,443.469,353.061,453.929,326.326,467.562,300.213,477.845,257.669,470.719,231.907,427.938,410.805,604.668,417.26,572.587,388.182,498.971,416.997,451.529,361.367,553.57,375.572,467.747,326.494,490.292,335.176,469.437,239.921,549.23,266.799,448.141,293.899,492.589,309.293,478.755
462.066,442.591,445.173,443.472,353.061,453.948,326.326,467.565,300.224,477.883,257.669,470.719,231.907,427.945,410.815,604.678,417.26,572.587,388.183,498.979,417.009,451.529,361.367,553.591,375.649,467.747,326.494,490.298,335.176,469.437,239.921,549.234,266.804,448.146,293.908,492.589,309.293,478.785
462.064,442.591,445.173,443.473,353.041,453.948,326.32,467.569,300.224,477.884,257.652,470.719,231.907,427.951,410.805,604.678,417.272,572.587,388.185,498.977,417.009,451.529,361.367,553.592,375.649,467.733,326.489,490.298,335.164,469.445,239.918,549.234,266.804,448.141,293.908,492.589,309.291,478.786
462.064,442.591,445.172,443.474,353.03,453.929,326.314,467.569,300.251,477.892,257.65,470.719,231.914,427.953,410.782,604.678,417.265,572.561,388.191,498.979,417.016,451.529,361.328,553.6,375.649,467.728,326.492,490.306,335.15,469.46,239.918,549.234,266.808,448.148,293.908,492.589,309.283,478.803
462.015,442.578,445.114,443.556,352.91,453.906,326.314,467.569,300.255,477.892,257.574,470.716,231.907,427.945,410.782,604.658,417.265,572.555,388.191,498.979,417.053,451.574,361.325,553.6,375.622,467.656,326.492,490.306,335.15,469.461,239.924,549.234,266.808,448.151,293.923,492.615,309.26,478.834
462.015,442.563,445.1,443.556,352.91,453.906,326.314,467.567,300.258,477.892,257.574,470.716,231.926,427.945,410.699,604.658,417.28,572.555,388.191,498.977,417.08,451.574,361.324,553.6,375.622,467.656,326.492,490.306,335.15,469.461,239.918,549.225,266.808,448.151,293.93,492.615,309.26,478.834
462.007,442.521,445.074,443.556,352.91,453.906,326.334,467.5,300.282,477.875,257.574,470.716,231.93,427.872,410.65,604.658,417.283,572.554,388.163,498.832,417.117,451.574,361.317,553.6,375.622,467.647,326.493,490.303,335.13,469.461,239.914,549.211,266.766,448.194,293.931,492.615,309.26,478.834
462.006,442.521,445.074,443.516,353.059,453.906,326.384,467.48,300.282,477.858,257.615,470.74,231.939,427.795,410.515,604.663,417.283,572.555,388.117,498.822,417.117,451.564,361.302,553.629,375.668,467.644,326.543,490.294,335.13,469.412,239.916,549.206,266.763,448.2,294.018,492.615,309.405,478.767
461.982,442.509,445.074,443.513,353.059,453.925,326.387,467.462,300.282,477.858,257.615,470.74,231.97,427.716,410.493,604.665,417.291,572.554,388.117,498.816,417.117,451.547,361.302,553.635,375.669,467.633,326.556,490.294,335.13,469.372,239.914,549.206,266.763,448.22,294.018,492.614,309.405,478.751
461.966,442.486,445.074,443.488,353.068,453.94,326.387,467.462,300.271,477.858,257.615,470.74,231.989,427.795,410.445,604.727,417.283,572.57,388.117,498.778,417.117,451.546,361.302,553.668,375.669,467.614,326.572,490.294,335.13,469.372,239.913,549.202,266.766,448.253,294.018,492.614,309.405,478.751
461.959,442.497,445.091,443.488,353.068,453.97,326.403,467.428,300.258,477.859,257.526,470.731,231.988,427.716,410.445,604.727,417.26,572.57,388.117,498.778,417.088,451.526,363.389,553.952,375.668,467.614,326.572,490.285,335.098,469.336,239.914,549.206,266.767,448.208,293.978,492.618,309.39,478.751
461.957,442.497,445.091,443.465,353.036,453.974,326.403,467.428,300.222,477.859,257.483,470.706,231.989,427.664,410.408,604.737,417.241,572.571,388.117,498.778,417.088,451.526,363.406,553.975,375.629,467.614,326.556,490.271,335.009,469.336,239.916,549.209,266.767,448.208,293.956,492.622,309.387,478.751
461.945,442.497,445.045,443.464,352.908,454.059,326.501,467.223,300.217,477.859,257.295,470.68,231.992,427.643,410.368,604.752,417.232,572.612,388.093,498.824,417.077,451.526,363.408,553.976,375.611,467.648,326.511,490.265,334.991,469.327,239.927,549.212,266.767,448.208,293.938,492.622,309.337,478.751
461.927,442.507,445.02,443.457,352.941,454.079,326.384,467.498,300.222,477.859,257.293,470.65,231.992,427.628,410.367,604.765,417.227,572.612,388.076,498.85,417.075,451.537,363.414,553.99,375.575,467.664,326.509,490.263,335.009,469.346,239.929,549.209,266.717,448.179,293.934,492.631,309.332,478.759
461.919,442.512,444.965,443.457,352.908,454.093,326.421,467.219,300.217,477.848,257.293,470.65,231.992,427.628,410.319,604.769,417.215,572.612,388.076,498.86,417.011,451.537,363.408,553.99,375.57,467.664,326.501,490.246,334.99,469.327,239.932,549.209,266.712,448.146,293.932,492.622,309.332,478.751
461.9,442.561,444.964,443.457,352.903,454.095,326.333,467.219,300.2,477.839,257.278,470.706,231.999,427.637,410.25,604.771,417.213,572.612,388.079,498.864,416.979,451.537,363.408,553.99,375.561,467.648,326.491,490.236,334.99,469.315,239.941,549.209,266.706,448.125,293.911,492.618,309.332,478.747
461.887,442.576,444.961,443.415,352.733,454.116,326.342,467.201,300.133,477.821,257.278,470.708,232.055,427.636,410.246,604.771,417.215,572.584,388.076,498.864,416.961,451.537,363.395,553.975,375.49,467.534,326.407,490.146,334.868,469.292,239.943,549.209,266.538,448.125,293.911,492.612,309.375,478.645
461.857,442.578,444.96,443.415,352.733,454.121,326.333,467.201,300.045,477.816,257.278,470.708,232.056,427.636,410.241,604.771,417.215,572.572,388.076,498.86,416.957,451.537,363.391,553.968,375.486,467.534,326.314,490.146,334.839,469.292,239.943,549.204,266.513,448.125,293.901,492.612,309.375,478.585
461.875,442.586,444.96,443.414,352.733,454.121,326.342,467.194,300.044,477.816,257.278,470.708,232.06,427.636,410.241,604.759,417.213,572.55,388.053,498.849,416.957,451.537,363.375,553.964,375.486,467.434,326.314,490.146,334.839,469.291,239.943,549.209,266.5,448.118,293.84,492.612,309.375,478.573
461.875,442.586,444.949,443.409,352.736,454.131,326.333,467.201,299.927,477.796,257.19,470.692,232.06,427.624,410.241,604.753,417.213,572.529,388.038,498.848,416.949,451.543,363.372,553.959,375.488,467.392,326.306,490.2,334.833,469.292,239.955,549.21,266.5,448.118,293.781,492.651,309.293,478.573
