Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
353.581,364.256,346.802,375.043,301.599,445.794,289.772,467.619,274.74,484.243,238.329,496.111,193.811,473.317,417.503,502.594,402.694,477.126,343.779,448.31,339.425,397.882,344.478,545.274,334.123,481.372,299.654,483.19,297.235,461.61,242.885,557.65,237.16,458.378,274.725,497.887,281.909,481.153
353.636,364.256,347.006,376.605,301.599,445.907,289.773,467.725,274.744,484.263,238.355,496.14,193.811,473.418,417.503,502.684,402.694,477.203,343.793,448.389,339.425,398.095,344.481,545.28,334.156,481.373,299.66,483.309,297.236,461.794,242.89,557.663,237.16,458.434,274.735,497.954,281.914,481.229
353.654,364.256,347.006,376.605,301.599,445.974,289.773,467.777,274.744,484.268,238.355,496.141,193.816,473.434,417.503,502.781,402.694,477.261,343.793,448.389,339.425,398.279,344.485,545.282,334.189,481.374,299.66,483.363,297.236,461.841,242.89,557.67,237.16,458.453,274.754,497.954,281.914,481.254
353.659,364.256,347.027,376.605,301.545,446.038,289.773,467.808,274.744,484.263,238.329,496.141,193.816,473.465,417.458,502.838,402.644,477.295,343.793,448.389,339.425,398.279,344.485,545.282,334.218,481.374,299.66,483.367,297.235,461.842,242.888,557.673,237.16,458.505,274.761,497.961,281.909,481.27
353.659,364.256,347.006,376.605,301.535,446.061,289.772,467.81,274.74,484.268,238.326,496.14,193.811,473.515,417.375,502.906,402.631,477.392,343.785,448.41,339.414,398.279,344.485,545.28,334.226,481.374,299.654,483.396,297.186,461.883,242.885,557.682,237.168,458.641,274.761,497.965,281.873,481.285
353.659,364.295,347.003,376.605,301.534,446.061,289.758,467.835,274.735,484.276,238.284,496.097,193.817,473.552,417.366,502.906,402.497,477.411,343.785,448.44,339.407,398.264,344.481,545.28,334.226,481.433,299.596,483.468,297.175,461.883,242.888,557.682,237.177,458.67,274.761,497.984,281.871,481.295
353.593,364.295,347.003,376.653,301.532,446.061,289.727,467.858,274.714,484.339,238.067,496.071,193.833,473.596,417.349,502.913,402.44,477.477,343.744,448.44,339.412,398.239,344.461,545.261,334.226,481.461,299.595,483.49,297.121,461.883,242.882,557.675,237.186,458.659,274.756,498.052,281.851,481.358
353.567,364.295,347.003,376.653,301.514,446.005,289.727,467.858,274.697,484.34,238.034,496.055,193.833,473.626,417.349,502.913,402.343,477.491,343.744,448.44,339.412,398.191,344.439,545.256,334.122,481.534,299.595,483.511,297.114,461.883,242.882,557.673,237.186,458.67,274.753,498.068,281.834,481.363
353.525,364.269,346.977,376.653,301.47,446.005,289.72,467.858,274.684,484.389,237.892,496.055,193.813,473.638,417.295,502.918,402.338,477.498,343.703,448.37,339.366,398.094,344.438,545.204,334.101,481.558,299.578,483.566,297.095,461.897,242.898,557.67,237.186,458.686,274.74,498.101,281.811,481.398
353.466,364.269,346.668,375.33,301.441,446.005,289.619,467.844,274.549,484.49,237.86,496.055,193.819,473.638,417.164,502.923,402.313,477.5,343.695,448.313,339.348,398.087,344.438,545.112,334.093,481.56,299.571,483.622,297.015,461.973,242.927,557.656,236.679,459.426,274.687,498.101,281.756,481.487
353.447,364.269,346.606,375.33,301.374,446.039,289.503,467.823,274.441,484.49,237.849,496.08,193.819,473.638,417.071,502.944,402.299,477.521,343.695,448.313,339.321,398.087,344.406,545.108,334.093,481.56,299.54,483.645,296.949,462.026,242.927,557.64,236.661,459.467,274.658,498.101,281.655,481.525
353.447,364.329,346.596,375.33,301.374,446.039,289.496,467.82,274.417,484.49,237.837,496.087,193.813,473.64,416.947,502.923,402.149,477.529,343.694,448.288,339.29,398.051,344.392,545.079,334.093,481.571,299.54,483.654,296.934,462.058,242.927,557.623,236.649,459.467,274.617,498.122,281.635,481.527
353.424,364.334,346.588,375.392,301.374,446.039,289.482,467.807,274.396,484.455,237.837,496.089,193.813,473.64,416.835,502.927,402.107,477.569,343.693,448.276,339.275,398.051,344.392,545.074,334.114,481.56,299.506,483.66,296.924,462.059,242.916,557.606,236.642,459.467,274.609,498.122,281.629,481.543
353.424,364.342,346.586,375.403,301.377,446.015,289.449,467.807,274.314,484.446,237.401,496.15,193.79,473.64,416.774,502.923,402.107,477.65,343.693,448.288,339.226,397.994,344.392,545.069,334.114,481.56,299.477,483.741,296.895,462.068,242.902,557.6,236.473,459.397,274.437,498.208,281.509,481.567
