Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
445.08,355.918,435.145,362.007,403.592,389.88,393.579,399.958,381.965,409.642,359.715,407.206,345.304,391.378,458.03,430.217,451.408,415.865,423.349,398.718,428.452,373.39,407.916,445.253,414.993,412.131,392.576,412.364,396.334,399.969,362.352,448.758,385.411,397.165,381.482,418.7,384.474,408.388
445.085,356.052,435.146,362.037,403.639,389.88,393.609,399.958,382.021,409.644,359.718,407.214,345.312,391.378,458.039,430.233,451.424,415.88,423.361,398.745,428.453,373.415,408.004,445.253,414.995,412.131,392.629,412.366,396.373,399.97,362.367,448.758,385.458,397.165,381.504,418.7,384.52,408.388
445.086,356.052,435.146,362.037,403.642,389.881,393.609,399.958,382.023,409.644,359.722,407.225,345.312,391.378,458.047,430.287,451.431,415.893,423.361,398.75,428.453,373.415,408.006,445.253,414.995,412.131,392.63,412.366,396.375,399.97,362.37,448.758,385.459,397.165,381.513,418.7,384.523,408.388
445.085,356.052,435.145,362.044,403.642,389.881,393.61,399.958,382.025,409.644,359.725,407.226,345.314,391.377,458.039,430.292,451.431,415.902,423.361,398.75,428.452,373.416,408.006,445.253,414.993,412.076,392.632,412.364,396.38,399.97,362.372,448.757,385.459,397.162,381.513,418.7,384.523,408.388
445.08,356.047,435.146,362.037,403.639,389.889,393.61,399.956,382.03,409.647,359.727,407.227,345.314,391.377,458.039,430.339,451.431,415.912,423.361,398.76,428.453,373.416,408.004,445.253,414.968,412.055,392.632,412.356,396.38,399.969,362.372,448.757,385.458,397.161,381.518,418.701,384.523,408.389
445.071,355.962,435.12,362.028,403.637,389.893,393.609,399.956,382.03,409.662,359.731,407.235,345.315,391.377,458.067,430.342,451.431,415.943,423.353,398.76,428.449,373.416,408.003,445.253,414.92,411.988,392.632,412.356,396.38,399.971,362.377,448.757,385.457,397.161,381.518,418.711,384.52,408.393
445.071,355.959,435.12,362.026,403.622,389.899,393.605,399.956,382.03,409.669,359.731,407.235,345.315,391.377,458.083,430.346,451.374,415.943,423.345,398.733,428.436,373.416,407.977,445.264,414.861,411.96,392.622,412.356,396.367,399.971,362.378,448.757,385.455,397.162,381.518,418.717,384.52,408.393
445.062,355.959,435.111,362.028,403.578,389.943,393.55,399.974,381.985,409.703,359.731,407.24,345.315,391.376,458.083,430.342,451.368,415.948,423.335,398.733,428.432,373.426,407.957,445.284,414.835,411.96,392.585,412.357,396.32,400.002,362.382,448.757,385.428,397.171,381.488,418.727,384.477,408.403
445.062,355.959,435.111,362.028,403.571,389.958,393.549,399.977,381.983,409.707,359.724,407.24,345.312,391.376,458.091,430.342,451.342,415.96,423.301,398.741,428.415,373.435,407.94,445.285,414.811,411.96,392.572,412.366,396.317,400.011,362.379,448.761,385.416,397.195,381.486,418.728,384.468,408.408
445.036,355.951,435.058,362.085,403.569,389.986,393.542,399.996,381.965,409.728,359.721,407.253,345.312,391.359,458.13,430.346,451.314,415.975,423.301,398.741,428.375,373.458,407.901,445.289,414.704,412.011,392.517,412.367,396.267,400.021,362.379,448.778,385.414,397.199,381.478,418.762,384.432,408.416
445.014,355.951,435.043,362.091,403.565,389.995,393.534,399.999,381.958,409.746,359.721,407.264,345.312,391.353,458.133,430.363,451.279,415.982,423.281,398.76,428.372,373.466,407.86,445.308,414.679,412.018,392.516,412.367,396.264,400.023,362.38,448.778,385.413,397.199,381.467,418.781,384.431,408.426
444.99,355.951,435.04,362.097,403.563,390.003,393.528,400.005,381.956,409.762,359.72,407.267,345.31,391.35,458.148,430.363,451.278,416.011,423.27,398.802,428.371,373.468,407.855,445.308,414.653,412.034,392.515,412.383,396.259,400.03,362.38,448.778,385.411,397.221,381.436,418.819,384.429,408.432
444.984,355.972,435.031,362.149,403.535,390.041,393.506,400.086,381.876,409.834,359.7,407.267,345.311,391.344,458.149,430.363,451.278,416.011,423.208,398.865,428.355,373.521,407.85,445.308,414.563,412.055,392.46,412.417,396.259,400.121,362.379,448.764,385.368,397.358,381.372,418.918,384.373,408.499
444.984,356.064,435.027,362.204,403.495,390.048,393.473,400.086,381.85,409.878,359.638,407.33,345.311,391.342,458.149,430.311,451.258,416.011,423.168,398.895,428.328,373.56,407.837,445.285,414.422,412.095,392.379,412.447,396.216,400.121,362.361,448.75,385.367,397.389,381.372,418.972,384.307,408.505
444.984,356.119,435.027,362.249,403.492,390.048,393.467,400.086,381.84,409.878,359.62,407.385,345.304,391.342,458.15,430.289,451.233,416.008,423.118,398.902,428.321,373.56,407.821,445.245,414.303,412.105,392.36,412.462,396.205,400.122,362.356,448.75,385.367,397.426,381.372,418.972,384.296,408.505
444.977,356.152,435.027,362.269,403.483,390.05,393.461,400.086,381.82,409.888,359.618,407.403,345.299,391.342,458.149,430.289,451.214,416.008,423.088,398.895,428.318,373.581,407.798,445.238,414.278,412.105,392.356,412.464,396.186,400.125,362.355,448.745,385.352,397.445,381.372,418.983,384.29,408.505
444.977,356.157,435.027,362.286,403.481,390.055,393.459,400.089,381.822,409.898,359.608,407.441,345.287,391.344,458.14,430.289,451.202,416.008,423.05,398.895,428.308,373.587,407.766,445.238,414.262,412.133,392.348,412.477,396.177,400.126,362.348,448.742,385.333,397.445,381.351,418.987,384.289,408.518
444.675,356.327,434.702,362.514,403.395,390.181,393.408,400.199,381.833,410.017,359.547,407.49,345.242,391.494,458.133,430.302,451.189,416.065,422.98,398.886,428.069,373.72,407.74,445.245,414.174,412.133,392.346,412.529,396.131,400.253,362.276,448.724,385.277,397.458,381.351,418.987,384.268,408.602
444.637,356.327,434.693,362.514,403.395,390.181,393.408,400.199,381.833,410.022,359.534,407.491,345.233,391.494,458.13,430.308,451.159,416.113,422.926,398.88,428.06,373.72,407.706,445.37,414.08,412.125,392.346,412.529,396.131,400.253,362.274,448.724,385.276,397.458,381.35,418.997,384.268,408.614
444.637,356.346,434.693,362.514,403.395,390.186,393.408,400.201,381.822,410.043,359.534,407.501,345.231,391.5,458.11,430.313,451.143,416.152,422.873,398.88,428.06,373.72,407.704,445.452,413.992,412.125,392.346,412.529,396.12,400.257,362.26,448.724,385.259,397.475,381.335,419.016,384.259,408.616
444.66,356.351,434.693,362.511,403.395,390.204,393.408,400.201,381.822,410.09,359.518,407.545,345.229,391.494,458.104,430.321,451.137,416.155,422.813,398.88,428.06,373.713,407.619,445.496,413.988,412.137,392.336,412.529,396.117,400.265,362.26,448.755,385.237,397.475,381.328,419.022,384.259,408.62
444.645,356.351,434.698,362.51,403.395,390.278,393.408,400.307,381.756,410.194,359.489,407.546,345.229,391.49,458.073,430.321,451.127,416.177,422.788,398.88,428.071,373.701,407.617,445.552,413.983,412.272,392.271,412.541,396.085,400.361,362.26,448.778,385.211,397.475,381.307,419.069,384.215,408.682
444.645,356.351,434.698,362.505,403.395,390.278,393.368,400.36,381.683,410.217,359.486,407.572,345.231,391.482,458.04,430.321,451.07,416.189,422.778,398.88,428.073,373.701,407.581,445.62,413.955,412.351,392.263,412.541,396.069,400.403,362.304,448.779,385.104,397.419,381.303,419.103,384.193,408.697
444.645,356.353,434.698,362.505,403.395,390.283,393.366,400.361,381.68,410.225,359.48,407.589,345.231,391.47,458.031,430.313,451.048,416.177,422.76,398.88,428.073,373.702,407.561,445.64,413.947,412.434,392.216,412.556,396.053,400.409,362.326,448.83,385.104,397.419,381.296,419.106,384.17,408.699
444.644,356.353,434.694,362.505,403.396,390.283,393.359,400.364,381.644,410.227,359.474,407.651,345.236,391.47,458.024,430.301,451.045,416.155,422.758,398.87,428.073,373.702,407.547,445.647,413.947,412.44,392.204,412.587,396.048,400.419,362.369,448.869,385.104,397.419,381.286,419.127,384.146,408.715
444.628,356.369,434.645,362.551,403.389,390.27,393.346,400.371,381.586,410.301,359.434,407.651,345.25,391.47,457.892,430.178,450.953,416.064,422.735,398.847,428.067,373.712,407.54,445.93,413.849,412.746,392.111,412.631,396.002,400.452,362.385,448.876,385.112,397.498,381.218,419.179,384.05,408.768
444.593,356.449,434.629,362.605,403.389,390.27,393.329,400.382,381.56,410.338,359.412,407.676,345.25,391.47,457.873,430.142,450.907,415.998,422.691,398.847,428.055,373.748,407.54,446.075,413.839,412.914,392.092,412.638,395.979,400.453,362.387,448.876,385.112,397.517,381.191,419.211,384.021,408.79
444.553,356.497,434.615,362.609,403.376,390.284,393.274,400.395,381.504,410.391,359.406,407.676,345.25,391.47,457.873,430.126,450.854,415.992,422.691,398.847,428.046,373.75,407.527,446.093,413.764,412.914,392.067,412.64,395.958,400.457,362.389,448.876,385.112,397.517,381.093,419.277,383.967,408.79
444.532,356.524,434.609,362.658,403.376,390.293,393.251,400.406,381.432,410.391,359.403,407.648,345.255,391.467,457.869,430.126,450.832,415.992,422.691,398.876,428.01,373.766,407.523,446.155,413.76,412.914,392.063,412.654,395.956,400.457,362.402,448.841,385.111,397.517,381.021,419.277,383.9,408.79
444.519,356.534,434.6,362.66,403.376,390.302,393.207,400.406,381.401,410.391,359.262,407.591,345.265,391.416,457.869,430.126,450.83,415.992,422.701,398.884,427.991,373.787,407.504,446.163,413.752,412.88,391.953,412.655,395.887,400.483,362.402,448.837,385.049,397.515,381.017,419.277,383.848,408.789
444.47,356.534,434.587,362.66,403.382,390.302,393.202,400.406,381.399,410.362,359.259,407.587,345.255,391.394,457.869,430.148,450.817,416.007,422.712,398.889,427.989,373.794,407.502,446.163,413.752,412.879,391.947,412.655,395.887,400.483,362.399,448.837,385.049,397.514,381.005,419.265,383.848,408.777
444.459,356.534,434.557,362.658,403.384,390.308,393.198,400.406,381.399,410.356,359.251,407.587,345.255,391.39,457.88,430.15,450.811,416.016,422.722,398.899,427.973,373.794,407.502,446.163,413.748,412.879,391.932,412.662,395.882,400.488,362.399,448.837,385.047,397.514,381.005,419.263,383.848,408.777
444.459,356.495,434.557,362.641,403.385,390.309,393.194,400.406,381.395,410.356,359.247,407.587,345.256,391.388,457.895,430.165,450.811,416.016,422.755,398.899,427.973,373.794,407.502,446.163,413.748,412.879,391.93,412.666,395.882,400.492,362.383,448.837,385.047,397.515,381.002,419.261,383.814,408.777
444.463,356.468,434.557,362.637,403.385,390.402,393.189,400.462,381.383,410.356,359.247,407.573,345.255,391.388,457.91,430.301,450.817,416.007,422.755,398.889,427.973,373.775,407.545,446.157,413.674,412.929,391.879,412.698,395.874,400.542,362.382,448.897,385.024,397.515,381.005,419.24,383.806,408.788
444.463,356.465,434.572,362.597,403.386,390.402,393.167,400.462,381.383,410.379,359.241,407.585,345.255,391.393,457.914,430.306,450.865,415.997,422.759,398.875,427.973,373.763,407.555,446.149,413.668,412.932,391.852,412.706,395.84,400.547,362.374,448.897,385.024,397.511,381.005,419.237,383.777,408.792
444.471,356.465,434.587,362.597,403.386,390.414,393.167,400.465,381.368,410.385,359.241,407.585,345.256,391.393,457.942,430.357,450.908,415.997,422.755,398.868,427.973,373.763,407.555,446.149,413.656,412.954,391.852,412.706,395.84,400.548,362.374,448.897,385.024,397.527,381.007,419.237,383.777,408.793
444.495,356.453,434.587,362.592,403.389,390.414,393.167,400.475,381.368,410.39,359.272,407.585,345.279,391.397,457.98,430.357,450.923,415.997,422.751,398.868,427.959,373.763,407.545,446.149,413.654,412.972,391.852,412.706,395.84,400.56,362.374,448.897,385.039,397.527,381.008,419.24,383.777,408.806
444.537,356.413,434.587,362.586,403.396,390.414,393.189,400.48,381.368,410.411,359.272,407.611,345.279,391.403,457.994,430.401,450.923,416.039,422.74,398.865,427.949,373.781,407.539,446.292,413.61,412.972,391.866,412.706,395.834,400.561,362.374,448.897,385.04,397.511,381.012,419.303,383.786,408.824
444.537,356.413,434.568,362.592,403.396,390.414,393.21,400.48,381.37,410.415,359.306,407.611,345.291,391.397,458.029,430.432,450.925,416.039,422.729,398.868,427.929,373.784,407.531,446.303,413.601,412.992,391.866,412.709,395.851,400.571,362.382,448.885,385.04,397.508,381.019,419.313,383.787,408.832
444.537,356.413,434.557,362.593,403.396,390.424,393.214,400.493,381.386,410.433,359.306,407.644,345.297,391.403,458.062,430.434,450.925,416.076,422.722,398.882,427.91,373.787,407.527,446.311,413.592,413.005,391.876,412.723,395.852,400.586,362.387,448.897,385.04,397.542,381.044,419.332,383.794,408.842
444.515,356.413,434.489,362.593,403.372,390.509,393.238,400.55,381.483,410.479,359.286,407.648,345.304,391.405,458.117,430.435,450.914,416.085,422.644,398.882,427.908,373.824,407.455,446.311,413.592,413.005,391.882,412.756,395.852,400.658,362.39,448.907,385.017,397.542,381.049,419.377,383.822,408.886
