Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
404.078,503.82,396.813,512.46,369.436,545.622,359.217,561.072,344.147,573.61,319.133,566.466,297.714,545.624,420.747,598.977,420.899,579.243,382.642,557.566,390.45,525.189,380.858,624.805,373.548,584.861,360.305,576.631,362.927,560.875,291.847,629.615,315.934,567.829,340.572,582.286,348.847,572.196
404.078,503.823,396.848,512.46,369.44,545.622,359.217,561.086,344.16,573.619,319.147,566.498,298.047,545.696,420.752,598.977,420.899,579.248,382.643,557.574,390.45,525.19,380.858,624.856,373.578,584.871,360.306,576.631,362.93,560.875,291.847,629.62,315.937,567.829,340.589,582.286,348.863,572.196
404.078,503.823,396.85,512.46,369.442,545.622,359.222,561.086,344.162,573.619,319.15,566.498,298.053,545.699,420.756,598.977,420.899,579.254,382.648,557.576,390.452,525.19,380.868,624.877,373.584,584.872,360.306,576.631,362.931,560.875,291.848,629.622,315.942,567.836,340.591,582.286,348.865,572.196
404.076,503.82,396.853,512.456,369.44,545.614,359.222,561.086,344.162,573.619,319.153,566.498,298.053,545.699,420.756,598.977,420.889,579.248,382.648,557.576,390.452,525.19,380.868,624.889,373.588,584.877,360.306,576.631,362.934,560.875,291.847,629.625,315.937,567.829,340.593,582.286,348.865,572.192
404.076,503.819,396.855,512.455,369.44,545.607,359.225,561.079,344.163,573.61,319.177,566.495,298.053,545.696,420.752,598.964,420.889,579.254,382.657,557.576,390.452,525.19,380.868,624.891,373.588,584.878,360.306,576.631,362.937,560.872,291.848,629.626,315.937,567.827,340.593,582.286,348.866,572.191
404.076,503.819,396.866,512.424,369.379,545.518,359.236,561.047,344.169,573.61,319.177,566.495,298.053,545.694,420.752,598.964,420.888,579.265,382.686,557.623,390.452,525.19,380.839,624.926,373.584,584.894,360.303,576.624,362.94,560.87,291.845,629.654,315.942,567.827,340.593,582.291,348.875,572.165
404.083,503.818,396.879,512.418,369.323,545.492,359.24,561.04,344.186,573.602,319.177,566.495,298.053,545.694,420.676,598.959,420.728,579.269,382.711,557.651,390.452,525.169,380.839,624.931,373.574,584.93,360.293,576.624,362.94,560.858,291.849,629.654,315.949,567.869,340.593,582.3,348.879,572.164
404.088,503.818,396.879,512.418,369.323,545.492,359.24,561.04,344.186,573.602,319.15,566.529,298.049,545.694,420.668,598.934,420.64,579.271,382.716,557.654,390.452,525.169,380.835,624.937,373.563,584.93,360.289,576.624,362.94,560.858,291.846,629.654,315.962,568.907,340.59,582.311,348.879,572.164
404.088,503.82,396.879,512.418,369.323,545.492,359.24,561.04,344.186,573.6,319.135,566.542,298.044,545.715,420.636,598.933,420.539,579.382,382.733,557.654,390.449,525.17,380.821,624.937,373.493,586.071,360.278,576.627,362.935,560.852,291.849,629.627,315.975,568.907,340.59,582.349,348.879,572.164
404.087,503.838,396.823,512.419,369.335,545.496,359.194,561.043,344.111,573.595,319.058,566.542,297.995,545.772,420.335,598.933,420.507,579.406,382.79,557.654,390.418,525.169,380.78,624.937,373.474,586.116,360.212,576.64,362.889,560.847,291.853,629.626,316.012,568.912,340.486,582.36,348.819,572.199
